date,value
1857,21.287
1858,21.511
1859,21.189
1860,21.122
1861,20.879
1862,21.656
1873,21.249
1874,21.775
1875,21.154
1876,21.474
1877,21.693
1878,21.753
1879,20.935
1880,20.631
1881,20.940
1882,21.192
1883,21.172
1884,20.960
1885,21.558
1886,21.551
1887,21.137
1888,21.126
1889,21.893
1890,20.817
1891,21.106
1892,21.050
1893,21.511
1894,21.447
1895,21.525
1896,21.667
1897,21.647
1898,21.221
1899,21.558
1900,21.790
1901,21.751
1902,21.636
1903,21.585
1904,20.819
1905,21.504
1906,21.332
1907,21.051
1908,21.350
1909,21.605
1910,21.588
1911,21.224
1912,21.924
1913,21.824
1914,21.732
1915,21.745
1916,21.979
1917,21.675
1918,20.945
1919,21.260
1920,21.784
1921,21.927
1922,21.910
1923,21.622
1924,22.010
1925,21.546
1926,21.923
1927,21.916
1928,22.112
1929,21.864
1930,21.619
1931,22.054
1932,21.623
1933,21.835
1934,21.980
1935,21.741
1936,21.534
1937,21.736
1938,21.734
1939,21.526
1940,21.751
1941,22.308
1942,21.892
1943,21.677
1944,22.164
1945,21.996
1946,22.160
1947,22.126
1948,21.896
1949,21.928
1950,21.572
1951,22.002
1952,22.188
1953,21.725
1954,21.567
1955,21.578
1956,21.522
1957,21.992
1958,22.020
1959,22.082
1960,21.927
1961,21.939
1962,21.849
1963,21.838
1964,21.686
1965,21.820
1966,22.103
1967,21.776
1968,21.748
1969,22.191
1970,22.150
1971,21.837
1972,22.011
1973,22.350
1974,21.623
1975,21.739
1976,21.447
1977,21.951
1978,21.817
1979,22.145
1980,22.078
1981,22.028
1982,21.820
1983,22.367
1984,22.356
1985,22.022
1986,22.036
1987,22.750
1988,22.412
1989,22.122
1990,22.466
1991,22.095
1992,22.499
1993,22.291
1994,22.189
1995,22.936
1996,22.479
1997,22.317
1998,23.120
1999,22.382
2000,22.361
2001,22.503
2002,22.926
2003,23.067
2004,22.573
2005,22.966
2006,21.947
2007,22.427
2008,22.287
2009,22.317
2010,22.682
2011,22.030
2012,22.123
2013,22.508
