date,value
1743,8.620
1744,14.062
1745,5.588
1750,13.098
1751,13.573
1752,8.240
1753,12.557
1754,12.548
1755,13.536
1756,13.026
1757,12.730
1758,12.599
1759,12.493
1760,12.155
1761,12.876
1762,12.700
1763,12.025
1764,12.864
1765,12.737
1766,13.789
1767,13.455
1768,12.475
1769,12.395
1770,12.376
1771,12.371
1772,13.711
1773,12.693
1774,12.896
1775,13.222
1776,12.206
1777,12.220
1778,13.151
1779,13.182
1780,12.918
1781,12.999
1782,12.186
1783,12.657
1784,12.339
1785,11.784
1786,12.142
1787,12.747
1788,14.016
1789,12.574
1790,12.798
1791,13.168
1792,12.562
1793,12.293
1794,12.980
1795,13.766
1796,12.753
1797,13.342
1798,12.946
1799,13.431
1800,12.987
1801,13.442
1802,13.522
1803,12.408
1804,12.773
1805,11.794
1806,12.923
1807,13.113
1808,11.620
1809,11.949
1810,12.339
1811,12.779
1812,11.591
1813,12.940
1814,11.609
1815,11.829
1816,11.411
1817,12.075
1818,12.476
1819,12.382
1820,12.437
1821,12.237
1822,13.027
1823,12.359
1824,12.980
1825,12.382
1826,12.218
1827,12.758
1828,12.523
1829,11.599
1830,13.485
1831,12.323
1832,11.600
1833,12.250
1834,12.788
1835,11.705
1836,12.311
1837,11.410
1838,11.598
1839,12.202
1840,11.745
1841,13.074
1842,12.037
1843,12.494
1844,12.090
1845,12.410
1846,13.409
1847,12.041
1848,13.884
1849,12.190
1850,12.816
1851,12.316
1852,12.745
1853,12.811
1854,11.952
1855,12.334
1856,12.061
1857,11.995
1858,13.938
1859,12.676
1860,12.694
1861,12.510
1862,12.939
1863,13.166
1864,12.922
1865,12.416
1866,12.802
1867,12.666
1868,12.740
1869,12.535
1870,12.010
1871,11.860
1872,13.292
1873,12.853
1874,11.946
1875,11.506
1876,12.658
1877,12.402
1878,12.604
1879,12.325
1880,13.484
1881,12.023
1882,12.520
1883,11.932
1884,11.822
1885,12.642
1886,12.676
1887,12.516
1888,12.961
1889,12.042
1890,12.141
1891,13.134
1892,12.679
1893,12.904
1894,12.325
1895,12.401
1896,13.299
1897,12.289
1898,12.895
1899,12.586
1900,13.069
1901,13.595
1902,12.483
1903,12.544
1904,12.529
1905,13.409
1906,12.180
1907,12.224
1908,12.247
1909,12.560
1910,12.665
1911,12.484
1912,12.058
1913,12.352
1914,12.016
1915,12.690
1916,13.550
1917,12.684
1918,12.731
1919,12.321
1920,12.698
1921,12.511
1922,12.670
1923,13.313
1924,12.552
1925,12.691
1926,13.253
1927,13.618
1928,12.897
1929,13.224
1930,13.207
1931,12.661
1932,13.742
1933,12.011
1934,13.524
1935,12.943
1936,13.118
1937,13.254
1938,12.614
1939,13.058
1940,12.648
1941,12.056
1942,13.611
1943,13.197
1944,12.447
1945,12.945
1946,13.473
1947,14.651
1948,12.754
1949,12.518
1950,13.813
1951,13.570
1952,13.574
1953,12.586
1954,12.450
1955,13.148
1956,12.172
1957,13.078
1958,13.195
1959,12.406
1960,13.335
1961,13.317
1962,13.069
1963,13.086
1964,12.515
1965,12.378
1966,13.205
1967,12.622
1968,12.870
1969,12.803
1970,12.840
1971,12.534
1972,12.608
1973,12.487
1974,12.560
1975,12.568
1976,12.036
1977,13.223
1978,12.264
1979,12.989
1980,12.162
1981,12.579
1982,13.015
1983,12.511
1984,12.641
1985,12.948
1986,13.056
1987,12.997
1988,13.044
1989,12.804
1990,13.469
1991,12.339
1992,13.085
1993,13.123
1994,14.100
1995,12.782
1996,12.737
1997,12.901
1998,13.311
1999,13.654
2000,13.747
2001,13.690
2002,13.560
2003,13.627
2004,13.258
2005,12.747
2006,12.977
2007,13.891
2008,13.955
2009,13.844
2010,13.775
2011,13.443
2012,13.768
2013,14.994
