date,value
1843,27.234
1844,19.813
1848,26.962
1849,27.147
1850,26.834
1851,27.372
1861,26.139
1862,26.485
1863,24.528
1864,27.165
1865,27.404
1866,27.260
1867,27.594
1868,27.470
1869,26.996
1870,27.358
1871,26.814
1872,27.293
1873,27.553
1874,27.433
1875,27.179
1876,27.301
1877,27.725
1878,27.757
1879,27.224
1880,27.326
1881,27.878
1882,27.207
1883,27.422
1884,27.294
1885,27.288
1886,27.548
1887,27.199
1888,27.409
1889,27.745
1890,27.345
1891,27.610
1892,27.656
1893,27.518
1894,27.370
1895,27.129
1896,27.454
1897,27.416
1898,27.110
1899,27.648
1900,27.588
1901,27.636
1902,27.850
1903,27.057
1904,27.630
1905,27.504
1906,27.408
1907,27.296
1908,27.430
1909,27.699
1910,27.085
1911,26.847
1912,27.464
1913,27.540
1914,27.636
1915,27.971
1916,27.083
1917,27.180
1918,27.171
1919,27.381
1920,27.458
1921,27.273
1922,27.861
1923,27.479
1924,28.125
1925,27.393
1926,27.789
1927,27.483
1928,27.531
1929,27.797
1930,27.537
1931,27.707
1932,27.423
1933,27.216
1934,27.378
1935,27.620
1936,27.403
1937,27.296
1938,27.429
1939,27.295
1940,27.688
1941,28.001
1942,27.910
1943,27.598
1944,27.983
1945,27.611
1946,27.791
1947,27.955
1948,27.795
1949,27.497
1950,27.131
1951,27.894
1952,27.823
1953,27.998
1954,28.046
1955,27.670
1956,27.613
1957,27.440
1958,28.019
1959,27.438
1960,27.786
1961,27.760
1962,27.920
1963,27.752
1964,27.145
1965,27.786
1966,27.897
1967,27.641
1968,27.466
1969,28.266
1970,28.259
1971,27.623
1972,27.423
1973,27.675
1974,27.696
1975,27.606
1976,27.571
1977,28.569
1978,28.070
1979,28.100
1980,28.301
1981,28.135
1982,27.327
1983,27.370
1984,27.400
1985,27.724
1986,27.867
1987,28.094
1988,28.140
1989,27.585
1990,28.260
1991,27.697
1992,27.284
1993,28.070
1994,28.397
1995,27.986
1996,28.319
1997,28.121
1998,29.293
1999,29.298
2000,28.878
2001,29.010
2002,29.058
2003,29.228
2004,29.104
2005,28.993
2006,28.984
2007,29.156
2008,28.685
2009,29.128
2010,29.671
2011,29.205
2012,29.426
2013,29.371
