date,value
1855,11.729
1856,13.999
1857,14.221
1858,14.016
1859,14.415
1860,14.116
1861,14.059
1862,13.951
1863,13.621
1864,14.112
1865,14.607
1866,14.396
1867,14.257
1868,14.397
1869,14.157
1870,14.122
1871,13.809
1872,13.869
1873,14.441
1874,13.834
1875,13.937
1876,14.210
1877,14.894
1878,14.049
1879,14.289
1880,14.242
1881,14.089
1882,14.148
1883,14.158
1884,14.117
1885,13.637
1886,13.969
1887,14.085
1888,14.399
1889,13.669
1890,13.988
1891,14.240
1892,13.952
1893,13.925
1894,14.160
1895,14.590
1896,15.101
1897,14.540
1898,13.794
1899,14.668
1900,14.807
1901,14.809
1902,14.621
1903,14.376
1904,14.432
1905,14.191
1906,14.695
1907,14.003
1908,14.360
1909,14.256
1910,14.165
1911,13.886
1912,14.499
1913,15.159
1914,14.490
1915,14.585
1916,14.447
1917,14.660
1918,14.361
1919,14.739
1920,14.611
1921,14.177
1922,14.261
1923,14.068
1924,14.117
1925,14.592
1926,14.868
1927,14.714
1928,14.206
1929,14.767
1930,14.843
1931,14.116
1932,14.979
1933,14.582
1934,14.354
1935,14.816
1936,14.696
1937,14.751
1938,14.498
1939,14.633
1940,14.595
1941,14.452
1942,14.408
1943,14.904
1944,15.365
1945,15.391
1946,14.618
1947,14.777
1948,14.778
1949,14.771
1950,14.795
1951,14.837
1952,14.916
1953,14.975
1954,14.491
1955,14.191
1956,14.021
1957,14.656
1958,14.943
1959,14.354
1960,14.994
1961,14.973
1962,14.852
1963,14.847
1964,14.431
1965,14.910
1966,14.678
1967,15.050
1968,15.197
1969,15.263
1970,15.195
1971,14.651
1972,14.818
1973,14.598
1974,14.638
1975,14.940
1976,14.440
1977,15.351
1978,15.186
1979,14.975
1980,15.227
1981,15.167
1982,15.257
1983,14.954
1984,14.401
1985,15.326
1986,15.335
1987,15.188
1988,14.836
1989,15.543
1990,15.155
1991,15.098
1992,14.739
1993,15.099
1994,15.579
1995,15.150
1996,15.212
1997,15.621
1998,15.262
1999,15.065
2000,14.751
2001,15.370
2002,15.184
2003,15.518
2004,15.442
2005,15.113
2006,15.561
2007,14.628
2008,15.476
2009,15.534
2010,15.079
2011,15.340
2012,15.689
2013,14.457
