date,value
1852,20.189
1853,20.958
1854,20.285
1855,20.799
1856,21.148
1857,20.966
1858,21.330
1859,21.189
1860,21.246
1861,21.198
1862,21.155
1863,21.309
1864,21.044
1865,21.218
1866,21.417
1867,21.644
1868,21.448
1869,21.522
1870,21.428
1871,21.460
1872,21.207
1873,21.158
1874,21.126
1875,21.054
1876,21.087
1877,21.641
1878,22.381
1879,21.185
1880,21.661
1881,21.793
1882,21.647
1883,21.521
1884,21.550
1885,21.422
1886,21.450
1887,21.155
1888,21.955
1889,22.174
1890,21.480
1891,20.834
1892,21.542
1893,21.646
1894,20.917
1895,21.233
1896,21.397
1897,21.818
1898,21.571
1899,21.187
1900,21.767
1901,21.583
1902,21.598
1903,21.177
1904,20.971
1905,21.178
1906,21.885
1907,21.295
1908,20.865
1909,21.053
1910,21.569
1911,21.348
1912,21.826
1913,21.188
1914,22.186
1915,22.145
1916,21.504
1917,20.772
1918,21.369
1919,21.829
1920,21.324
1921,21.680
1922,21.450
1923,21.537
1924,21.213
1925,21.098
1926,21.703
1927,21.398
1928,22.019
1929,21.101
1930,21.641
1931,21.239
1932,21.460
1933,21.387
1934,21.507
1935,21.397
1936,21.716
1937,21.527
1938,22.089
1939,21.340
1940,21.682
1941,21.363
1942,21.926
1943,21.317
1944,21.530
1945,21.604
1946,21.241
1947,21.590
1948,21.460
1949,20.985
1950,21.323
1951,21.557
1952,21.487
1953,21.475
1954,21.559
1955,21.563
1956,21.006
1957,21.903
1958,21.997
1959,22.098
1960,21.211
1961,21.964
1962,21.803
1963,21.698
1964,21.651
1965,22.092
1966,21.361
1967,21.625
1968,21.462
1969,21.848
1970,21.776
1971,21.654
1972,22.012
1973,22.413
1974,21.238
1975,21.693
1976,21.193
1977,21.893
1978,21.605
1979,22.252
1980,22.586
1981,22.164
1982,21.911
1983,22.261
1984,21.517
1985,22.043
1986,22.093
1987,22.072
1988,22.630
1989,21.863
1990,22.356
1991,22.487
1992,21.933
1993,22.160
1994,22.030
1995,21.955
1996,22.325
1997,22.086
1998,22.665
1999,22.065
2000,21.710
2001,21.793
2002,22.461
2003,22.440
2004,22.287
2005,22.897
2006,22.264
2007,22.487
2008,22.226
2009,22.691
2010,22.078
2011,21.767
2012,22.025
2013,22.143
