date,value
1743,7.106
1744,10.681
1745,3.472
1750,10.341
1751,10.147
1752,6.061
1753,10.427
1754,9.138
1755,11.065
1756,10.301
1757,10.168
1758,9.879
1759,10.785
1760,10.569
1761,10.659
1762,9.981
1763,10.011
1764,9.452
1765,10.132
1766,10.090
1767,10.114
1768,10.029
1769,9.158
1770,9.129
1771,8.765
1772,9.876
1773,9.710
1774,9.330
1775,10.143
1776,10.459
1777,10.013
1778,9.937
1779,11.773
1780,10.656
1781,10.511
1782,9.535
1783,11.097
1784,11.539
1785,10.170
1786,8.503
1787,10.502
1788,10.474
1789,9.852
1790,9.609
1791,9.698
1792,9.576
1793,9.688
1794,11.095
1795,10.705
1796,10.411
1797,9.833
1798,10.669
1799,9.822
1800,9.430
1801,9.764
1802,10.379
1803,10.645
1804,10.097
1805,8.757
1806,10.122
1807,9.430
1808,9.596
1809,9.022
1810,9.890
1811,11.592
1812,10.391
1813,9.923
1814,10.395
1815,10.166
1816,8.031
1817,9.201
1818,10.662
1819,9.901
1820,9.597
1821,9.653
1822,11.683
1823,10.063
1824,9.650
1825,10.119
1826,11.130
1827,11.525
1828,10.038
1829,9.917
1830,10.890
1831,11.010
1832,8.890
1833,10.449
1834,10.782
1835,9.363
1836,9.466
1837,8.792
1838,10.420
1839,9.376
1840,9.672
1841,11.519
1842,10.223
1843,9.493
1844,9.600
1845,10.371
1846,11.667
1847,9.828
1848,10.714
1849,9.256
1850,9.872
1851,8.941
1852,10.085
1853,10.370
1854,9.294
1855,11.136
1856,9.306
1857,10.074
1858,10.704
1859,11.104
1860,8.936
1861,10.444
1862,9.964
1863,9.969
1864,10.049
1865,10.747
1866,9.839
1867,9.182
1868,10.602
1869,9.344
1870,10.587
1871,10.343
1872,10.376
1873,9.544
1874,10.231
1875,10.069
1876,10.524
1877,9.560
1878,10.307
1879,9.835
1880,10.649
1881,9.897
1882,9.432
1883,9.244
1884,9.907
1885,9.761
1886,10.158
1887,9.062
1888,9.987
1889,9.457
1890,9.582
1891,9.714
1892,9.611
1893,10.917
1894,9.492
1895,11.173
1896,8.931
1897,10.368
1898,9.885
1899,10.608
1900,9.787
1901,10.018
1902,8.819
1903,9.560
1904,9.529
1905,9.176
1906,10.444
1907,9.125
1908,9.789
1909,8.654
1910,9.600
1911,10.255
1912,9.469
1913,9.894
1914,10.727
1915,9.267
1916,9.599
1917,11.772
1918,9.721
1919,8.618
1920,9.835
1921,10.496
1922,8.705
1923,9.393
1924,9.068
1925,9.372
1926,9.946
1927,10.333
1928,9.882
1929,11.441
1930,10.099
1931,9.041
1932,9.627
1933,11.435
1934,10.446
1935,9.848
1936,9.670
1937,9.966
1938,9.956
1939,9.810
1940,10.762
1941,9.995
1942,11.488
1943,10.228
1944,9.548
1945,11.575
1946,11.494
1947,12.647
1948,10.239
1949,10.455
1950,10.850
1951,9.915
1952,9.495
1953,10.102
1954,10.177
1955,9.211
1956,9.845
1957,10.115
1958,9.709
1959,10.694
1960,9.989
1961,10.436
1962,9.357
1963,12.073
1964,10.474
1965,9.040
1966,10.808
1967,10.057
1968,10.272
1969,10.524
1970,9.499
1971,9.831
1972,9.333
1973,9.759
1974,10.073
1975,10.072
1976,10.368
1977,9.961
1978,9.232
1979,10.154
1980,9.297
1981,9.627
1982,10.330
1983,10.295
1984,9.650
1985,10.914
1986,10.442
1987,10.175
1988,10.457
1989,10.921
1990,10.935
1991,10.621
1992,10.489
1993,9.926
1994,10.997
1995,10.697
1996,8.893
1997,11.536
1998,10.369
1999,10.934
2000,11.034
2001,10.543
2002,11.036
2003,10.870
2004,10.453
2005,10.728
2006,11.095
2007,11.146
2008,10.505
2009,11.609
2010,11.443
2011,11.305
2012,10.352
2013,10.060
