date,value
1849,26.584
1850,26.483
1851,26.714
1856,27.989
1857,25.902
1858,26.921
1859,26.489
1860,26.437
1861,26.650
1862,27.599
1873,26.784
1874,26.725
1875,26.360
1876,26.319
1877,26.931
1878,26.992
1879,26.417
1880,26.737
1881,27.086
1882,26.646
1883,27.078
1884,27.246
1885,26.108
1886,26.402
1887,25.866
1888,26.063
1889,26.079
1890,25.534
1891,25.977
1892,26.180
1893,26.352
1894,26.217
1895,26.619
1896,26.442
1897,26.930
1898,26.452
1899,26.923
1900,27.030
1901,26.933
1902,26.742
1903,26.309
1904,26.089
1905,26.453
1906,26.882
1907,26.430
1908,26.683
1909,26.575
1910,26.792
1911,26.266
1912,26.673
1913,27.335
1914,27.524
1915,27.350
1916,26.983
1917,27.589
1918,27.080
1919,27.368
1920,27.075
1921,27.322
1922,27.329
1923,27.311
1924,27.454
1925,27.147
1926,27.682
1927,27.277
1928,27.266
1929,26.988
1930,27.597
1931,27.705
1932,27.220
1933,27.511
1934,27.361
1935,27.412
1936,27.300
1937,27.645
1938,27.644
1939,27.028
1940,27.613
1941,28.035
1942,27.725
1943,27.218
1944,27.584
1945,27.497
1946,27.265
1947,27.637
1948,27.099
1949,27.636
1950,27.162
1951,27.418
1952,27.272
1953,27.186
1954,26.950
1955,26.867
1956,26.950
1957,27.088
1958,27.351
1959,27.307
1960,27.204
1961,26.944
1962,27.028
1963,27.399
1964,27.046
1965,27.047
1966,27.244
1967,26.976
1968,27.176
1969,27.574
1970,27.525
1971,27.159
1972,27.361
1973,27.887
1974,27.099
1975,26.951
1976,26.961
1977,27.462
1978,27.244
1979,27.561
1980,27.564
1981,27.463
1982,27.296
1983,27.730
1984,27.546
1985,27.504
1986,27.346
1987,28.208
1988,27.592
1989,27.160
1990,27.794
1991,27.381
1992,27.231
1993,27.598
1994,27.336
1995,27.616
1996,27.704
1997,27.542
1998,28.089
1999,27.680
2000,27.638
2001,27.676
2002,27.820
2003,27.965
2004,27.872
2005,28.153
2006,28.144
2007,28.071
2008,27.691
2009,28.156
2010,28.326
2011,28.061
2012,27.752
2013,28.161
