date,value
1796,24.682
1797,25.667
1798,24.582
1799,24.939
1800,24.868
1801,24.504
1802,25.297
1803,25.050
1804,25.358
1805,24.966
1806,24.882
1807,24.552
1813,24.223
1814,23.840
1815,23.750
1816,23.500
1817,23.534
1818,23.649
1819,23.352
1820,23.666
1821,24.573
1822,24.767
1823,24.399
1824,24.964
1825,24.771
1826,24.784
1827,25.001
1828,24.564
1829,24.373
1830,24.714
1831,24.104
1832,24.436
1833,24.552
1834,24.349
1835,23.326
1836,24.350
1837,24.203
1838,24.152
1839,24.207
1840,24.581
1841,24.674
1842,24.377
1843,24.437
1844,24.000
1845,24.169
1846,24.388
1847,24.049
1848,24.037
1849,24.045
1850,24.553
1851,24.527
1852,24.225
1853,24.716
1854,24.722
1855,24.651
1856,24.218
1857,23.957
1858,24.539
1859,24.609
1860,24.335
1861,24.263
1863,24.476
1864,24.304
1865,24.669
1866,24.771
1867,24.752
1868,24.403
1869,24.389
1870,24.462
1871,24.674
1872,24.678
1873,24.684
1874,24.476
1875,24.532
1876,24.454
1877,24.413
1878,25.090
1879,25.096
1880,24.558
1881,24.556
1882,24.755
1883,24.317
1884,24.171
1885,24.605
1886,24.750
1887,24.451
1888,24.602
1889,25.186
1890,24.553
1891,24.618
1892,24.692
1893,23.897
1894,24.771
1895,24.695
1896,25.122
1897,25.192
1898,24.879
1899,24.605
1900,25.219
1901,25.059
1902,24.746
1903,24.911
1904,24.671
1905,24.108
1906,24.843
1907,24.673
1908,24.863
1909,24.952
1910,24.533
1911,24.504
1912,24.689
1913,24.454
1914,24.600
1915,25.147
1916,24.903
1917,24.573
1918,24.480
1919,25.000
1920,24.891
1921,24.833
1922,25.143
1923,24.912
1924,25.224
1925,24.471
1926,24.820
1927,24.716
1928,25.024
1929,24.756
1930,24.685
1931,25.138
1932,25.154
1933,24.773
1934,24.758
1935,24.989
1936,24.857
1937,24.744
1938,25.054
1939,25.264
1940,24.974
1941,25.240
1942,25.198
1943,24.970
1944,24.970
1945,24.818
1946,25.038
1947,25.227
1948,24.970
1949,24.660
1950,25.020
1951,25.282
1952,25.159
1953,25.370
1954,25.209
1955,25.100
1956,24.995
1957,25.252
1958,25.808
1959,24.989
1960,25.484
1961,25.070
1962,25.033
1963,25.106
1964,25.305
1965,25.039
1966,25.484
1967,24.992
1968,24.941
1969,25.254
1970,25.187
1971,24.635
1972,25.144
1973,25.266
1974,25.040
1975,25.144
1976,25.202
1977,25.047
1978,25.039
1979,25.711
1980,25.341
1981,24.952
1982,25.144
1983,25.070
1984,25.065
1985,25.421
1986,25.294
1987,25.642
1988,25.710
1989,25.305
1990,25.282
1991,25.135
1992,25.122
1993,25.003
1994,25.262
1995,25.416
1996,25.440
1997,24.859
1998,25.524
1999,25.715
2000,25.150
2001,25.337
2002,25.380
2003,25.281
2004,25.386
2005,25.532
2006,25.766
2007,25.344
2008,25.389
2009,25.905
2010,25.940
2011,25.205
2012,25.534
2013,25.968
