date,value
1743,5.928
1744,12.284
1745,4.173
1750,11.020
1751,15.665
1752,7.231
1753,14.308
1754,13.036
1755,12.997
1756,12.051
1757,13.379
1758,11.599
1759,11.390
1760,12.074
1761,13.421
1762,11.618
1763,10.926
1764,10.767
1765,10.656
1766,11.825
1767,12.755
1768,11.684
1769,11.221
1770,11.294
1771,11.238
1772,11.365
1773,13.063
1774,13.365
1775,11.274
1776,11.354
1777,10.118
1778,11.061
1779,12.379
1780,14.504
1781,11.902
1782,12.491
1783,12.911
1784,12.653
1785,13.135
1786,13.573
1787,11.641
1788,13.052
1789,11.752
1790,11.667
1791,11.164
1792,11.414
1793,11.452
1794,12.009
1795,11.865
1796,10.611
1797,11.452
1798,12.057
1799,14.079
1800,11.709
1801,11.407
1802,11.500
1803,12.816
1804,12.688
1805,10.684
1806,10.935
1807,12.144
1808,13.274
1809,10.752
1810,11.035
1811,12.897
1812,13.223
1813,12.137
1814,10.820
1815,11.877
1816,11.514
1817,10.876
1818,11.426
1819,11.391
1820,11.179
1821,11.117
1822,11.675
1823,11.648
1824,11.272
1825,12.390
1826,12.513
1827,11.905
1828,14.018
1829,13.107
1830,12.660
1831,10.993
1832,12.136
1833,11.367
1834,11.651
1835,10.650
1836,11.523
1837,12.755
1838,10.552
1839,11.004
1840,13.010
1841,13.355
1842,12.265
1843,10.396
1844,12.066
1845,11.470
1846,11.209
1847,12.311
1848,12.269
1849,12.357
1850,11.092
1851,11.856
1852,10.614
1853,11.038
1854,11.023
1855,12.669
1856,9.883
1857,10.615
1858,12.088
1859,11.881
1860,10.825
1861,12.493
1862,14.402
1863,11.998
1864,11.985
1865,12.287
1866,11.570
1867,11.213
1868,12.609
1869,11.967
1870,10.938
1871,13.290
1872,12.551
1873,11.992
1874,12.540
1875,14.255
1876,11.658
1877,10.356
1878,11.973
1879,12.889
1880,12.349
1881,12.906
1882,12.696
1883,13.591
1884,10.732
1885,12.869
1886,10.676
1887,11.599
1888,12.056
1889,12.459
1890,14.019
1891,12.584
1892,11.807
1893,10.683
1894,11.291
1895,11.467
1896,12.857
1897,11.327
1898,11.832
1899,11.600
1900,10.963
1901,11.798
1902,11.219
1903,11.750
1904,11.264
1905,12.830
1906,11.448
1907,13.626
1908,11.091
1909,13.242
1910,10.877
1911,11.490
1912,11.142
1913,12.283
1914,10.936
1915,10.812
1916,11.580
1917,11.864
1918,11.050
1919,10.472
1920,11.074
1921,11.344
1922,14.165
1923,11.573
1924,12.674
1925,11.949
1926,11.099
1927,13.836
1928,12.590
1929,12.636
1930,11.192
1931,11.371
1932,13.097
1933,11.666
1934,13.908
1935,11.847
1936,11.285
1937,12.596
1938,11.908
1939,11.072
1940,13.275
1941,12.022
1942,12.296
1943,11.728
1944,11.360
1945,12.848
1946,12.406
1947,12.453
1948,12.735
1949,10.300
1950,12.867
1951,11.486
1952,11.519
1953,11.312
1954,13.141
1955,10.879
1956,10.970
1957,11.979
1958,11.361
1959,12.240
1960,11.248
1961,12.170
1962,12.125
1963,11.957
1964,11.547
1965,11.472
1966,12.778
1967,13.035
1968,12.139
1969,11.636
1970,10.935
1971,10.563
1972,11.713
1973,11.292
1974,11.631
1975,11.025
1976,10.878
1977,12.116
1978,11.196
1979,12.037
1980,11.212
1981,11.859
1982,12.839
1983,10.819
1984,10.746
1985,12.957
1986,11.721
1987,11.519
1988,10.759
1989,11.102
1990,12.769
1991,12.422
1992,11.022
1993,11.754
1994,12.200
1995,11.846
1996,12.730
1997,10.225
1998,12.286
1999,11.789
2000,13.268
2001,12.984
2002,14.115
2003,12.225
2004,12.390
2005,11.821
2006,12.328
2007,12.314
2008,13.174
2009,11.894
2010,12.893
2011,11.048
2012,14.862
2013,13.412
