date,value
1743,0.767
1744,9.917
1745,4.665
1750,10.917
1751,11.653
1752,3.601
1753,10.110
1754,11.270
1755,11.680
1756,12.850
1757,12.013
1758,9.792
1759,12.315
1760,11.961
1761,11.931
1762,10.614
1763,11.895
1764,12.175
1765,9.673
1766,10.300
1767,10.020
1768,10.328
1769,12.173
1770,10.994
1771,12.219
1772,11.458
1773,13.910
1774,14.039
1775,10.966
1776,12.615
1777,10.327
1778,13.026
1779,10.800
1780,9.955
1781,12.033
1782,12.349
1783,13.834
1784,11.011
1785,10.006
1786,12.181
1787,10.993
1788,12.911
1789,12.522
1790,11.408
1791,9.831
1792,12.707
1793,11.346
1794,10.580
1795,11.166
1796,12.752
1797,13.981
1798,12.120
1799,11.173
1800,11.185
1801,10.693
1802,11.771
1803,11.701
1804,13.234
1805,11.754
1806,10.837
1807,11.168
1808,12.872
1809,12.150
1810,10.802
1811,10.096
1812,11.861
1813,10.714
1814,10.109
1815,10.098
1816,10.170
1817,11.400
1818,9.252
1819,13.051
1820,10.975
1821,10.751
1822,10.424
1823,10.184
1824,8.985
1825,10.677
1826,11.879
1827,11.707
1828,12.600
1829,12.161
1830,11.036
1831,12.577
1832,10.747
1833,10.774
1834,11.949
1835,10.365
1836,10.956
1837,10.488
1838,11.847
1839,11.454
1840,10.054
1841,12.275
1842,11.419
1843,9.213
1844,11.620
1845,10.618
1846,11.637
1847,10.812
1848,10.821
1849,10.320
1850,11.226
1851,11.657
1852,11.346
1853,12.175
1854,12.739
1855,13.017
1856,11.809
1857,12.188
1858,13.238
1859,11.617
1860,12.996
1861,9.592
1862,12.370
1863,10.199
1864,9.783
1865,10.609
1866,12.721
1867,11.315
1868,13.361
1869,9.919
1870,10.318
1871,10.827
1872,12.434
1873,9.624
1874,12.055
1875,11.474
1876,10.939
1877,9.996
1878,11.463
1879,12.198
1880,10.733
1881,9.772
1882,11.469
1883,11.311
1884,11.399
1885,12.495
1886,11.048
1887,10.679
1888,11.797
1889,11.573
1890,11.775
1891,11.067
1892,12.532
1893,10.223
1894,9.270
1895,11.209
1896,13.227
1897,13.854
1898,10.597
1899,10.790
1900,10.797
1901,13.487
1902,10.516
1903,10.233
1904,10.968
1905,11.057
1906,11.669
1907,12.149
1908,11.568
1909,12.159
1910,11.176
1911,11.042
1912,9.903
1913,10.238
1914,10.917
1915,11.850
1916,10.555
1917,11.634
1918,11.120
1919,12.002
1920,11.813
1921,11.812
1922,11.558
1923,10.794
1924,11.257
1925,10.997
1926,11.352
1927,11.271
1928,10.477
1929,11.005
1930,10.292
1931,12.122
1932,12.182
1933,11.464
1934,11.528
1935,12.589
1936,10.510
1937,11.143
1938,11.403
1939,11.643
1940,10.988
1941,10.863
1942,12.187
1943,10.173
1944,11.087
1945,10.581
1946,13.169
1947,11.404
1948,11.853
1949,11.719
1950,10.246
1951,11.422
1952,10.866
1953,13.296
1954,11.770
1955,12.712
1956,12.022
1957,10.245
1958,10.980
1959,11.393
1960,10.386
1961,10.652
1962,11.064
1963,12.405
1964,11.503
1965,11.560
1966,10.738
1967,11.491
1968,9.976
1969,11.235
1970,11.301
1971,11.051
1972,10.834
1973,10.791
1974,8.755
1975,12.525
1976,10.063
1977,9.841
1978,9.510
1979,9.812
1980,11.901
1981,11.586
1982,9.154
1983,10.850
1984,12.983
1985,12.749
1986,11.535
1987,10.288
1988,13.132
1989,10.040
1990,9.627
1991,10.435
1992,10.291
1993,12.090
1994,10.374
1995,10.904
1996,12.071
1997,9.831
1998,13.046
1999,12.684
2000,9.981
2001,11.089
2002,10.505
2003,11.824
2004,10.414
2005,12.212
2006,11.485
2007,11.550
2008,10.117
2009,10.878
2010,11.940
2011,11.470
2012,11.526
2013,15.931
