date,value
1825,24.975
1826,25.122
1827,25.663
1828,25.001
1829,24.548
1830,25.134
1831,24.325
1832,24.823
1835,23.748
1836,24.399
1837,24.330
1838,23.967
1839,24.374
1840,24.485
1841,24.375
1842,24.675
1843,24.723
1844,24.149
1845,24.028
1846,24.925
1847,24.620
1848,24.659
1849,25.254
1850,25.027
1851,24.675
1852,24.668
1853,24.267
1854,24.222
1855,24.317
1856,24.477
1857,24.394
1858,24.730
1859,24.686
1860,24.374
1861,24.793
1862,24.718
1863,24.677
1864,24.355
1865,24.811
1866,24.549
1867,25.030
1868,24.428
1869,25.594
1870,24.852
1871,24.627
1872,24.873
1873,24.552
1874,24.870
1875,24.682
1876,24.679
1877,25.011
1878,25.515
1879,24.619
1880,24.981
1881,25.005
1882,24.963
1883,24.783
1884,24.515
1885,24.355
1886,24.498
1887,24.338
1888,24.335
1889,24.693
1890,24.340
1891,24.977
1892,24.346
1893,24.690
1894,24.884
1895,24.986
1896,25.264
1897,25.694
1898,25.076
1899,24.620
1900,24.548
1901,23.934
1902,24.803
1903,24.642
1904,24.275
1905,24.424
1906,24.755
1907,24.749
1908,24.758
1909,25.032
1910,24.203
1911,25.014
1912,25.049
1913,24.727
1914,24.815
1915,25.193
1916,24.722
1917,24.536
1918,25.080
1919,25.182
1920,24.885
1921,25.086
1922,25.261
1923,25.173
1924,25.244
1925,25.127
1926,25.066
1927,25.032
1928,24.955
1929,25.041
1930,25.252
1931,25.041
1932,25.452
1933,25.527
1934,25.418
1935,25.212
1936,25.197
1937,25.199
1938,24.864
1939,25.076
1940,24.921
1941,25.533
1942,25.131
1943,24.961
1944,25.175
1945,25.398
1946,25.737
1947,25.950
1948,25.594
1949,25.221
1950,24.783
1951,25.344
1952,25.434
1953,25.671
1954,24.929
1955,25.093
1956,24.859
1957,25.383
1958,25.487
1959,25.509
1960,25.352
1961,25.492
1962,25.039
1963,25.101
1964,25.496
1965,25.308
1966,25.013
1967,25.281
1968,25.046
1969,25.618
1970,25.141
1971,25.255
1972,25.504
1973,25.546
1974,25.102
1975,25.495
1976,24.829
1977,25.208
1978,25.351
1979,25.493
1980,25.673
1981,25.268
1982,25.683
1983,25.871
1984,25.253
1985,25.334
1986,25.382
1987,25.462
1988,25.506
1989,25.315
1990,25.550
1991,25.863
1992,25.648
1993,25.603
1994,25.909
1995,26.005
1996,25.451
1997,26.088
1998,26.228
1999,25.367
2000,25.285
2001,25.524
2002,25.787
2003,25.865
2004,25.744
2005,25.919
2006,25.709
2007,25.859
2008,25.525
2009,25.908
2010,25.502
2011,25.843
2012,25.734
2013,26.213
