date,value
1855,19.533
1856,19.933
1857,19.866
1858,20.099
1859,20.793
1860,20.579
1861,20.204
1862,20.141
1863,20.379
1864,20.195
1865,20.426
1866,20.494
1867,20.548
1868,20.588
1869,20.618
1870,20.427
1871,20.411
1872,20.388
1873,21.079
1874,20.232
1875,19.889
1876,20.577
1877,21.166
1878,20.834
1879,20.268
1880,20.361
1881,20.581
1882,20.267
1883,20.300
1884,20.199
1885,20.224
1886,20.096
1887,20.562
1888,20.631
1889,20.429
1890,20.149
1891,20.324
1892,20.159
1893,20.070
1894,20.375
1895,20.739
1896,21.046
1897,20.737
1898,20.319
1899,20.629
1900,21.113
1901,20.994
1902,20.911
1903,20.410
1904,20.626
1905,21.041
1906,20.789
1907,20.436
1908,20.282
1909,20.434
1910,20.439
1911,20.394
1912,20.863
1913,20.999
1914,21.225
1915,21.630
1916,20.603
1917,19.861
1918,20.461
1919,21.036
1920,20.524
1921,20.484
1922,20.490
1923,20.460
1924,20.718
1925,20.920
1926,21.385
1927,20.842
1928,21.049
1929,20.823
1930,21.130
1931,20.796
1932,20.821
1933,20.805
1934,20.716
1935,20.996
1936,21.364
1937,21.329
1938,20.972
1939,21.009
1940,21.379
1941,21.359
1942,20.794
1943,20.677
1944,21.115
1945,21.144
1946,21.222
1947,20.745
1948,20.995
1949,20.778
1950,20.845
1951,20.931
1952,20.807
1953,21.278
1954,20.912
1955,20.765
1956,20.276
1957,20.851
1958,21.034
1959,21.109
1960,20.595
1961,21.368
1962,20.797
1963,21.511
1964,20.837
1965,21.233
1966,21.206
1967,21.458
1968,21.132
1969,21.754
1970,21.516
1971,20.740
1972,21.336
1973,21.314
1974,20.789
1975,21.042
1976,20.829
1977,21.247
1978,21.285
1979,21.039
1980,21.034
1981,20.978
1982,21.300
1983,21.572
1984,21.292
1985,21.483
1986,21.483
1987,21.873
1988,21.467
1989,21.157
1990,21.326
1991,21.754
1992,21.206
1993,21.525
1994,21.985
1995,21.731
1996,21.054
1997,21.611
1998,21.467
1999,21.032
2000,21.077
2001,21.234
2002,21.606
2003,21.263
2004,21.571
2005,21.372
2006,21.470
2007,21.129
2008,21.189
2009,21.378
2010,21.446
2011,21.555
2012,21.607
2013,20.641
