date,value
1832,23.859
1833,24.518
1834,24.347
1835,23.537
1836,23.921
1837,23.609
1838,23.727
1839,23.804
1840,24.098
1841,23.934
1842,24.321
1843,24.441
1845,24.014
1846,24.820
1847,24.197
1848,24.163
1849,24.227
1850,24.212
1851,24.342
1852,24.360
1853,24.370
1854,24.465
1855,24.491
1856,23.965
1857,24.014
1858,23.990
1859,24.368
1860,24.420
1861,24.102
1862,23.924
1863,24.194
1864,24.131
1865,24.231
1866,24.339
1867,24.493
1868,24.610
1869,24.747
1870,24.543
1871,24.436
1872,24.436
1873,24.742
1874,24.384
1875,23.913
1876,24.216
1877,24.841
1878,25.011
1879,24.147
1880,24.342
1881,24.435
1882,24.070
1883,24.089
1884,23.964
1885,24.311
1886,24.010
1887,24.279
1888,24.550
1889,24.639
1890,24.081
1891,24.264
1892,24.150
1893,23.911
1894,24.333
1895,24.467
1896,24.588
1897,24.468
1898,24.366
1899,24.447
1900,24.905
1901,24.778
1902,24.711
1903,24.575
1904,23.996
1905,24.740
1906,24.516
1907,24.341
1908,24.518
1909,24.405
1910,24.418
1911,24.289
1912,24.478
1913,24.596
1914,24.899
1915,25.119
1916,24.443
1917,23.798
1918,24.310
1919,24.837
1920,24.410
1921,24.276
1922,24.500
1923,24.358
1924,24.432
1925,24.538
1926,25.009
1927,24.702
1928,24.939
1929,24.644
1930,24.844
1931,24.796
1932,24.973
1933,24.613
1934,24.649
1935,24.853
1936,25.061
1937,25.050
1938,24.874
1939,24.930
1940,25.114
1941,25.196
1942,24.879
1943,24.558
1944,24.905
1945,24.724
1946,24.974
1947,24.696
1948,24.853
1949,24.617
1950,24.639
1951,24.797
1952,24.852
1953,24.996
1954,24.967
1955,24.766
1956,24.480
1957,24.802
1958,25.268
1959,25.157
1960,24.753
1961,25.146
1962,24.842
1963,25.172
1964,24.734
1965,24.984
1966,25.086
1967,25.014
1968,24.631
1969,25.283
1970,25.191
1971,24.609
1972,25.097
1973,25.170
1974,24.582
1975,24.677
1976,24.719
1977,25.132
1978,24.928
1979,24.944
1980,25.148
1981,24.983
1982,25.230
1983,25.351
1984,25.110
1985,24.966
1986,25.131
1987,25.563
1988,25.177
1989,24.871
1990,25.275
1991,25.292
1992,25.251
1993,25.355
1994,25.455
1995,25.554
1996,25.338
1997,25.559
1998,25.959
1999,25.287
2000,25.197
2001,25.504
2002,25.800
2003,25.621
2004,25.497
2005,25.806
2006,25.517
2007,25.668
2008,25.410
2009,25.601
2010,25.812
2011,25.429
2012,25.717
2013,25.348
