date,value
1816,11.872
1817,10.473
1818,10.766
1819,10.343
1820,11.470
1821,11.515
1822,11.700
1823,11.261
1824,11.902
1825,11.737
1826,11.720
1827,12.010
1828,11.507
1829,11.312
1830,11.720
1831,10.993
1832,11.135
1833,11.481
1834,11.334
1835,10.327
1836,11.272
1837,10.625
1838,14.456
1840,11.447
1841,11.454
1842,11.373
1843,11.460
1844,10.980
1845,11.135
1846,11.482
1847,11.117
1848,10.928
1849,11.007
1850,12.213
1851,11.755
1852,11.158
1853,11.652
1854,11.662
1855,11.824
1856,10.881
1857,11.924
1858,11.488
1859,11.608
1860,11.254
1861,11.217
1863,11.452
1864,11.244
1865,11.572
1866,11.670
1867,11.738
1868,11.392
1869,11.426
1870,11.461
1871,11.630
1872,11.661
1873,11.682
1874,11.476
1875,11.460
1876,11.406
1877,11.411
1878,11.847
1879,12.181
1880,11.756
1881,11.668
1882,11.703
1883,11.329
1884,11.145
1885,11.402
1886,11.704
1887,11.362
1888,11.523
1889,12.152
1890,11.495
1891,11.476
1892,11.712
1893,10.886
1894,11.708
1895,11.556
1896,11.976
1897,11.967
1898,11.950
1899,11.485
1900,12.016
1901,11.984
1902,11.569
1903,11.752
1904,11.651
1905,11.011
1906,11.797
1907,11.555
1908,11.930
1909,12.026
1910,11.607
1911,11.434
1912,11.535
1913,11.357
1914,11.591
1915,12.204
1916,11.871
1917,11.560
1918,11.511
1919,11.998
1920,11.806
1921,11.760
1922,12.136
1923,11.859
1924,12.080
1925,11.299
1926,11.709
1927,11.543
1928,12.056
1929,11.649
1930,11.653
1931,12.062
1932,11.975
1933,11.832
1934,11.684
1935,11.837
1936,11.788
1937,11.916
1938,12.020
1939,12.157
1940,11.933
1941,12.196
1942,12.230
1943,11.926
1944,11.976
1945,11.901
1946,12.277
1947,12.261
1948,11.822
1949,11.776
1950,11.966
1951,12.279
1952,12.197
1953,12.240
1954,12.280
1955,12.015
1956,12.067
1957,12.027
1958,12.620
1959,12.109
1960,12.425
1961,12.009
1962,11.834
1963,11.748
1964,12.237
1965,11.611
1966,12.250
1967,11.718
1968,11.634
1969,12.290
1970,12.107
1971,11.768
1972,12.121
1973,12.380
1974,12.194
1975,12.248
1976,12.259
1977,12.005
1978,11.875
1979,12.443
1980,12.232
1981,12.059
1982,12.045
1983,11.740
1984,12.296
1985,12.404
1986,11.994
1987,12.321
1988,12.656
1989,12.250
1990,12.206
1991,11.995
1992,11.827
1993,12.088
1994,12.300
1995,12.428
1996,12.375
1997,11.579
1998,12.590
1999,12.815
2000,11.998
2001,12.426
2002,12.180
2003,12.233
2004,12.208
2005,12.446
2006,12.854
2007,12.700
2008,12.456
2009,13.115
2010,12.947
2011,12.400
2012,12.280
2013,13.331
