date,value
1857,21.065
1858,21.375
1859,21.454
1860,21.583
1861,21.364
1862,20.980
1863,21.407
1864,21.386
1865,21.693
1866,21.632
1867,21.737
1868,21.412
1869,21.737
1870,21.427
1871,21.505
1872,21.507
1873,20.410
1874,21.558
1875,21.260
1876,21.268
1877,21.752
1878,21.704
1879,21.149
1880,21.074
1881,21.336
1882,21.346
1883,21.409
1884,21.151
1885,21.623
1886,21.703
1887,21.348
1888,21.318
1889,21.921
1890,21.186
1891,21.509
1892,21.271
1893,21.467
1894,21.470
1895,21.561
1896,21.976
1897,21.671
1898,21.073
1899,21.567
1900,22.021
1901,21.522
1902,21.427
1903,21.450
1904,20.912
1905,21.459
1906,21.205
1907,20.970
1908,21.566
1909,21.508
1910,21.348
1911,21.391
1912,21.836
1913,22.072
1914,22.171
1915,21.741
1916,21.890
1917,21.539
1918,21.171
1919,21.719
1920,21.944
1921,21.581
1922,22.451
1923,22.033
1924,21.751
1925,21.411
1926,21.977
1927,21.899
1928,21.944
1929,22.284
1930,21.628
1931,22.028
1932,21.774
1933,22.037
1934,21.899
1935,21.471
1936,21.583
1937,21.513
1938,21.999
1939,21.282
1940,22.063
1941,22.511
1942,22.367
1943,21.858
1944,21.939
1945,21.814
1946,22.118
1947,22.435
1948,21.757
1949,22.274
1950,22.124
1951,21.785
1952,22.471
1953,21.620
1954,21.814
1955,21.438
1956,21.848
1957,22.463
1958,22.119
1959,22.262
1960,22.151
1961,22.157
1962,22.222
1963,21.493
1964,22.028
1965,22.242
1966,22.410
1967,21.632
1968,21.930
1969,22.312
1970,22.856
1971,22.081
1972,22.058
1973,22.373
1974,21.224
1975,21.670
1976,21.144
1977,22.064
1978,21.694
1979,22.366
1980,21.846
1981,21.606
1982,22.488
1983,22.964
1984,22.526
1985,22.273
1986,22.308
1987,23.144
1988,22.253
1989,22.104
1990,22.945
1991,22.060
1992,23.291
1993,22.681
1994,22.379
1995,23.214
1996,22.200
1997,22.337
1998,23.071
1999,22.978
2000,21.872
2001,22.351
2002,22.986
2003,23.395
2004,22.346
2005,23.369
2006,21.804
2007,22.400
2008,22.311
2009,22.140
2010,22.730
2011,21.955
2012,22.400
2013,21.826
