date,value
1856,25.654
1857,23.834
1858,24.827
1859,24.557
1860,24.795
1861,24.584
1862,25.758
1873,24.966
1874,24.996
1875,24.609
1876,24.807
1877,25.148
1878,25.272
1879,24.573
1880,24.622
1881,24.880
1882,24.717
1883,24.713
1884,24.456
1885,24.694
1886,24.601
1887,24.343
1888,24.563
1889,25.007
1890,24.431
1891,24.619
1892,24.757
1893,24.512
1894,24.843
1895,24.761
1896,24.825
1897,25.129
1898,25.002
1899,25.075
1900,25.054
1901,25.808
1902,24.989
1903,25.010
1904,24.304
1905,24.968
1906,24.711
1907,24.974
1908,24.729
1909,24.626
1910,24.376
1911,24.696
1912,25.195
1913,25.179
1914,25.884
1915,25.479
1916,24.849
1917,24.846
1918,24.892
1919,25.551
1920,24.527
1921,25.196
1922,24.745
1923,25.004
1924,25.482
1925,25.150
1926,25.425
1927,25.567
1928,25.544
1929,25.009
1930,25.221
1931,25.895
1932,25.365
1933,25.731
1934,25.278
1935,25.564
1936,25.586
1937,25.523
1938,25.680
1939,25.327
1940,25.436
1941,26.020
1942,25.941
1943,25.334
1944,25.416
1945,25.502
1946,25.347
1947,25.622
1948,25.344
1949,25.484
1950,25.252
1951,25.342
1952,25.617
1953,25.497
1954,25.295
1955,24.886
1956,25.051
1957,25.254
1958,25.669
1959,25.402
1960,25.403
1961,25.112
1962,25.129
1963,25.347
1964,25.153
1965,25.272
1966,25.361
1967,25.114
1968,25.144
1969,25.485
1970,25.430
1971,25.101
1972,25.451
1973,25.805
1974,25.142
1975,25.263
1976,25.286
1977,25.477
1978,25.399
1979,25.677
1980,25.787
1981,25.276
1982,25.257
1983,25.590
1984,25.295
1985,25.309
1986,25.506
1987,25.868
1988,25.534
1989,25.318
1990,25.716
1991,25.700
1992,25.092
1993,25.749
1994,25.683
1995,25.632
1996,25.717
1997,26.043
1998,26.204
1999,25.469
2000,25.613
2001,25.710
2002,25.819
2003,26.015
2004,26.140
2005,26.332
2006,26.205
2007,26.068
2008,25.969
2009,26.511
2010,26.330
2011,25.639
2012,25.640
2013,26.211
