date,value
1768,5.257
1769,10.600
1775,7.849
1776,8.055
1777,7.171
1778,5.402
1779,8.305
1780,11.094
1781,3.111
1782,8.356
1796,10.728
1797,5.133
1811,8.294
1812,7.825
1813,8.856
1815,7.476
1816,5.324
1817,6.358
1818,8.619
1820,7.566
1821,7.561
1822,7.596
1823,7.499
1824,8.798
1825,8.154
1826,8.088
1827,8.356
1828,8.239
1829,7.994
1830,7.271
1831,7.258
1832,7.218
1833,7.632
1834,7.533
1835,6.507
1836,7.259
1837,7.070
1838,7.524
1839,7.569
1840,7.899
1841,7.786
1842,7.181
1843,8.579
1844,6.685
1845,7.174
1846,8.799
1847,7.621
1848,6.995
1849,7.262
1850,7.704
1851,7.684
1852,7.986
1853,7.834
1854,7.903
1855,7.815
1856,8.074
1857,7.445
1858,7.320
1859,7.413
1860,7.759
1861,7.732
1862,7.526
1863,7.739
1864,8.186
1865,7.945
1866,7.349
1867,7.710
1868,8.026
1869,8.107
1870,8.588
1871,8.067
1872,8.238
1873,8.022
1874,8.523
1875,7.298
1876,7.922
1877,8.662
1878,8.461
1879,7.975
1880,7.855
1881,8.152
1882,8.080
1883,7.746
1884,7.438
1885,7.793
1886,7.954
1887,7.981
1888,7.736
1889,7.799
1890,8.972
1891,7.842
1892,7.986
1893,8.309
1894,8.094
1895,7.718
1896,8.098
1897,8.004
1898,8.403
1899,7.454
1900,8.498
1901,8.190
1902,7.695
1903,7.507
1904,7.525
1905,7.954
1906,8.609
1907,8.788
1908,8.477
1909,8.165
1910,7.847
1911,8.048
1912,7.728
1913,7.523
1914,7.942
1915,7.890
1916,8.233
1917,7.572
1918,6.945
1919,8.630
1920,8.316
1921,8.788
1922,7.959
1923,8.260
1924,8.115
1925,8.343
1926,7.742
1927,8.039
1928,8.394
1929,7.691
1930,8.874
1931,8.870
1932,9.004
1933,8.264
1934,7.701
1935,8.308
1936,8.240
1937,8.921
1938,7.782
1939,8.347
1940,8.757
1941,8.344
1942,8.415
1943,6.797
1944,8.684
1945,7.664
1946,8.211
1947,6.422
1948,9.110
1949,8.259
1950,7.988
1951,8.417
1952,8.730
1953,8.435
1954,8.601
1955,8.787
1956,7.379
1957,8.144
1958,8.519
1959,7.785
1960,8.900
1961,8.389
1962,8.187
1963,6.896
1964,7.894
1965,7.581
1966,8.664
1967,8.336
1968,7.974
1969,7.798
1970,8.243
1971,8.684
1972,7.334
1973,9.235
1974,7.802
1975,9.095
1976,8.654
1977,8.641
1978,7.670
1979,8.292
1980,8.461
1981,8.986
1982,8.088
1983,8.316
1984,8.520
1985,8.317
1986,7.923
1987,8.553
1988,8.995
1989,9.034
1990,8.671
1991,9.081
1992,7.404
1993,8.617
1994,9.199
1995,9.044
1996,8.637
1997,8.797
1998,10.367
1999,9.072
2000,8.409
2001,9.510
2002,8.546
2003,9.356
2004,7.932
2005,8.993
2006,9.981
2007,8.809
2008,9.160
2009,8.707
2010,7.885
2011,9.513
2012,10.160
2013,9.523
