date,value
1820,11.867
1821,11.779
1822,12.324
1823,11.760
1833,11.743
1834,10.887
1835,12.596
1836,11.764
1837,14.250
1838,13.649
1839,13.391
1840,13.754
1841,13.341
1842,12.021
1843,11.984
1844,11.830
1845,12.103
1846,12.287
1847,10.619
1848,11.829
1849,11.896
1850,11.902
1851,13.378
1852,13.699
1853,12.206
1854,12.553
1855,12.438
1856,12.048
1857,11.728
1858,10.830
1859,12.449
1860,13.649
1861,12.081
1862,13.552
1863,12.075
1864,13.473
1865,14.074
1866,13.760
1867,11.167
1868,12.341
1869,12.393
1870,12.520
1871,12.598
1872,12.366
1873,11.053
1874,12.657
1875,12.582
1876,12.454
1877,12.383
1878,12.703
1879,12.515
1880,12.473
1881,14.120
1882,12.442
1883,12.153
1884,13.516
1885,12.064
1886,12.262
1887,10.942
1888,12.308
1889,12.401
1890,12.132
1891,12.220
1892,13.967
1893,12.455
1894,12.576
1895,13.890
1896,12.283
1897,14.168
1898,14.244
1899,12.545
1900,11.245
1901,11.278
1902,11.069
1903,12.123
1904,12.127
1905,13.389
1906,12.362
1907,14.012
1908,14.086
1909,12.345
1910,13.919
1911,12.211
1912,13.695
1913,13.794
1914,12.549
1915,10.906
1916,12.338
1917,12.323
1918,12.402
1919,12.758
1920,11.249
1921,12.250
1922,12.713
1923,12.598
1924,12.597
1925,11.153
1926,12.693
1927,12.612
1928,12.833
1929,12.718
1930,12.602
1931,12.510
1932,11.420
1933,12.618
1934,12.186
1935,12.904
1936,12.377
1937,12.550
1938,11.572
1939,12.857
1940,12.609
1941,11.688
1942,11.794
1943,13.037
1944,12.909
1945,11.829
1946,13.121
1947,11.500
1948,12.978
1949,12.822
1950,12.671
1951,12.712
1952,12.714
1953,13.039
1954,11.031
1955,12.516
1956,12.547
1957,10.894
1958,11.372
1959,13.032
1960,12.618
1961,11.624
1962,12.573
1963,11.578
1964,11.467
1965,11.180
1966,12.712
1967,12.763
1968,11.254
1969,12.723
1970,14.213
1971,11.265
1972,12.716
1973,11.482
1974,11.324
1975,11.643
1976,12.118
1977,11.523
1978,11.623
1979,12.540
1980,11.423
1981,12.991
1982,11.443
1983,11.429
1984,11.264
1985,12.664
1986,12.601
1987,11.327
1988,12.897
1989,11.468
1990,11.912
1991,11.393
1992,12.521
1993,12.535
1994,11.831
1995,11.619
1996,12.716
1997,11.773
1998,12.401
1999,11.967
2000,13.366
2001,12.160
2002,11.950
2003,11.761
2004,11.984
2005,12.169
2006,12.347
2007,12.241
2008,12.325
2009,13.696
2010,11.915
2011,12.011
2012,13.342
2013,14.385
