date,value
1856,24.566
1857,22.976
1858,23.773
1859,23.708
1860,23.926
1861,23.641
1862,24.711
1873,24.132
1874,24.021
1875,23.707
1876,23.823
1877,24.217
1878,24.193
1879,23.492
1880,23.612
1881,23.952
1882,23.752
1883,23.941
1884,23.632
1885,23.810
1886,23.688
1887,23.188
1888,23.550
1889,23.882
1890,22.913
1891,23.433
1892,23.605
1893,23.511
1894,23.746
1895,23.795
1896,23.776
1897,24.151
1898,23.709
1899,24.137
1900,24.123
1901,24.450
1902,23.897
1903,23.813
1904,23.156
1905,24.000
1906,23.864
1907,23.803
1908,23.786
1909,23.712
1910,23.645
1911,23.715
1912,24.332
1913,24.503
1914,24.727
1915,24.544
1916,24.122
1917,24.447
1918,24.055
1919,24.620
1920,23.903
1921,24.381
1922,24.237
1923,24.175
1924,24.661
1925,24.123
1926,24.587
1927,24.596
1928,24.401
1929,24.208
1930,24.431
1931,24.948
1932,24.482
1933,24.803
1934,24.394
1935,24.650
1936,24.708
1937,24.748
1938,24.900
1939,24.367
1940,24.507
1941,25.106
1942,24.959
1943,24.388
1944,24.691
1945,24.768
1946,24.585
1947,24.782
1948,24.440
1949,24.677
1950,24.433
1951,24.407
1952,24.456
1953,24.414
1954,24.201
1955,24.117
1956,24.133
1957,24.459
1958,24.593
1959,24.513
1960,24.508
1961,24.254
1962,24.363
1963,24.554
1964,24.292
1965,24.335
1966,24.499
1967,24.366
1968,24.356
1969,24.655
1970,24.610
1971,24.252
1972,24.533
1973,24.908
1974,24.232
1975,24.230
1976,24.294
1977,24.681
1978,24.507
1979,24.787
1980,24.769
1981,24.300
1982,24.296
1983,24.676
1984,24.483
1985,24.375
1986,24.507
1987,25.019
1988,24.677
1989,24.219
1990,24.890
1991,24.734
1992,24.297
1993,24.662
1994,24.632
1995,24.818
1996,24.701
1997,24.817
1998,25.323
1999,24.656
2000,24.613
2001,24.652
2002,24.950
2003,25.012
2004,25.171
2005,25.268
2006,25.293
2007,25.210
2008,25.121
2009,25.407
2010,25.465
2011,24.877
2012,24.877
2013,25.308
