date,value
1856,24.448
1857,23.266
1858,23.900
1859,23.894
1860,24.009
1861,23.702
1862,24.472
1873,24.217
1874,24.178
1875,23.825
1876,23.927
1877,24.342
1878,24.326
1879,23.522
1880,23.417
1881,23.769
1882,23.826
1883,23.927
1884,23.665
1885,24.070
1886,23.983
1887,23.462
1888,23.781
1889,24.324
1890,23.231
1891,23.538
1892,23.761
1893,23.871
1894,23.999
1895,24.009
1896,24.024
1897,24.305
1898,23.920
1899,24.278
1900,24.288
1901,24.676
1902,24.237
1903,24.174
1904,23.378
1905,24.093
1906,23.958
1907,24.036
1908,23.971
1909,23.983
1910,23.961
1911,23.832
1912,24.661
1913,24.517
1914,24.504
1915,24.459
1916,24.418
1917,24.307
1918,23.948
1919,24.229
1920,24.187
1921,24.528
1922,24.081
1923,24.171
1924,24.849
1925,24.240
1926,24.622
1927,24.700
1928,24.615
1929,24.228
1930,24.333
1931,24.809
1932,24.364
1933,24.612
1934,24.755
1935,24.767
1936,24.660
1937,24.860
1938,24.785
1939,24.396
1940,24.459
1941,25.026
1942,24.958
1943,24.436
1944,25.066
1945,25.067
1946,24.653
1947,24.889
1948,24.582
1949,24.980
1950,24.697
1951,24.676
1952,24.678
1953,24.573
1954,24.258
1955,24.274
1956,24.327
1957,24.582
1958,24.657
1959,24.643
1960,24.590
1961,24.365
1962,24.569
1963,24.692
1964,24.451
1965,24.452
1966,24.698
1967,24.438
1968,24.426
1969,24.697
1970,24.741
1971,24.326
1972,24.559
1973,24.913
1974,24.367
1975,24.393
1976,24.260
1977,24.761
1978,24.609
1979,24.891
1980,24.757
1981,24.600
1982,24.433
1983,24.882
1984,24.714
1985,24.514
1986,24.581
1987,25.130
1988,24.918
1989,24.606
1990,24.766
1991,24.822
1992,24.550
1993,24.680
1994,24.843
1995,25.097
1996,24.668
1997,25.061
1998,25.540
1999,24.813
2000,24.786
2001,24.733
2002,25.048
2003,25.057
2004,25.128
2005,25.269
2006,25.283
2007,25.230
2008,25.292
2009,25.349
2010,25.559
2011,24.775
2012,24.873
2013,25.139
