date,value
1791,21.646
1792,18.641
1793,18.459
1794,18.858
1795,18.758
1796,18.839
1797,19.106
1798,19.164
1799,18.980
1800,18.979
1801,19.378
1802,19.506
1803,19.449
1804,19.124
1805,18.768
1806,18.984
1807,18.945
1808,18.169
1809,17.518
1810,17.627
1811,17.666
1812,17.494
1813,17.965
1814,18.077
1815,17.818
1816,17.405
1817,17.634
1818,18.384
1819,18.004
1820,18.165
1821,18.153
1822,18.054
1823,18.417
1824,19.211
1825,18.411
1826,18.336
1827,19.291
1828,18.458
1829,18.397
1830,18.717
1831,18.073
1832,17.364
1833,18.311
1834,18.164
1835,17.725
1836,18.189
1837,17.795
1838,17.662
1839,17.944
1840,17.926
1841,18.584
1842,18.337
1843,18.370
1844,18.204
1845,18.524
1846,19.090
1847,18.678
1848,18.607
1849,18.509
1850,17.945
1851,18.895
1852,18.603
1853,19.337
1854,18.169
1855,18.700
1856,18.149
1857,17.717
1858,18.328
1859,18.525
1860,19.116
1861,17.680
1862,17.750
1863,18.149
1864,18.631
1865,18.963
1866,18.793
1867,18.695
1868,18.355
1869,18.976
1870,18.807
1871,18.355
1872,18.972
1873,19.153
1874,18.341
1875,17.535
1876,18.906
1877,19.145
1878,19.077
1879,19.557
1880,18.017
1881,18.601
1882,17.734
1883,18.451
1884,18.050
1885,19.026
1886,18.510
1887,18.897
1888,18.496
1889,18.969
1890,18.742
1891,18.635
1892,18.864
1893,18.265
1894,18.175
1895,18.523
1896,18.394
1897,18.015
1898,18.505
1899,18.517
1900,19.021
1901,19.444
1902,19.013
1903,18.479
1904,18.396
1905,18.423
1906,18.508
1907,17.903
1908,17.904
1909,19.098
1910,18.235
1911,17.932
1912,18.479
1913,18.123
1914,18.449
1915,19.140
1916,19.245
1917,18.990
1918,18.725
1919,18.878
1920,18.031
1921,18.151
1922,19.149
1923,19.175
1924,19.042
1925,18.866
1926,19.108
1927,19.474
1928,19.278
1929,18.625
1930,19.250
1931,19.030
1932,18.934
1933,18.219
1934,19.139
1935,19.427
1936,19.296
1937,19.460
1938,18.751
1939,19.329
1940,19.065
1941,19.318
1942,18.947
1943,18.833
1944,18.950
1945,18.714
1946,19.305
1947,19.873
1948,18.479
1949,18.233
1950,18.796
1951,19.301
1952,19.291
1953,18.244
1954,19.151
1955,19.733
1956,18.857
1957,19.106
1958,19.403
1959,18.437
1960,19.936
1961,19.095
1962,19.893
1963,19.569
1964,18.613
1965,18.923
1966,19.653
1967,18.375
1968,19.193
1969,19.213
1970,19.298
1971,18.907
1972,18.594
1973,18.990
1974,18.840
1975,18.836
1976,18.576
1977,19.057
1978,19.238
1979,19.556
1980,18.850
1981,19.232
1982,18.566
1983,18.424
1984,18.943
1985,19.198
1986,19.284
1987,18.883
1988,19.080
1989,19.080
1990,19.194
1991,19.083
1992,18.049
1993,18.949
1994,19.802
1995,19.079
1996,19.476
1997,18.876
1998,19.964
1999,20.074
2000,19.442
2001,20.012
2002,19.729
2003,19.735
2004,19.596
2005,19.587
2006,19.540
2007,19.945
2008,20.145
2009,20.157
2010,20.952
2011,19.682
2012,20.012
2013,20.350
