date,value
1743,5.468
1744,9.542
1745,4.392
1750,11.122
1751,12.517
1752,5.308
1753,11.234
1754,9.659
1755,10.093
1756,9.367
1757,10.164
1758,9.508
1759,9.459
1760,10.433
1761,10.765
1762,9.651
1763,8.921
1764,8.983
1765,9.867
1766,11.291
1767,9.925
1768,9.485
1769,8.506
1770,9.541
1771,10.067
1772,9.512
1773,9.504
1774,10.978
1775,9.844
1776,10.045
1777,10.851
1778,10.704
1779,10.653
1780,11.622
1781,10.159
1782,9.514
1783,9.945
1784,10.522
1785,11.292
1786,10.783
1787,9.385
1788,9.111
1789,10.138
1790,8.322
1791,8.633
1792,10.085
1793,9.427
1794,11.224
1795,10.550
1796,9.179
1797,9.860
1798,10.644
1799,9.860
1800,11.304
1801,9.635
1802,9.408
1803,9.647
1804,9.880
1805,8.352
1806,8.898
1807,9.330
1808,11.984
1809,8.843
1810,9.877
1811,10.448
1812,9.026
1813,8.698
1814,9.146
1815,9.777
1816,9.355
1817,8.756
1818,9.209
1819,9.517
1820,9.271
1821,10.076
1822,10.456
1823,8.980
1824,8.566
1825,8.711
1826,9.908
1827,10.682
1828,10.192
1829,10.926
1830,11.097
1831,9.575
1832,8.542
1833,9.263
1834,9.511
1835,8.816
1836,8.942
1837,8.837
1838,10.111
1839,8.807
1840,11.433
1841,10.638
1842,9.870
1843,8.278
1844,10.463
1845,10.590
1846,10.368
1847,10.598
1848,9.567
1849,9.474
1850,8.663
1851,7.578
1852,8.751
1853,10.241
1854,9.643
1855,10.218
1856,8.451
1857,10.526
1858,10.618
1859,9.879
1860,8.883
1861,10.304
1862,10.440
1863,8.889
1864,9.744
1865,13.109
1866,8.611
1867,9.683
1868,10.388
1869,9.979
1870,10.440
1871,9.968
1872,9.950
1873,9.243
1874,9.839
1875,9.660
1876,9.043
1877,8.182
1878,10.194
1879,8.878
1880,9.343
1881,9.295
1882,9.074
1883,9.601
1884,8.486
1885,9.649
1886,10.015
1887,9.976
1888,8.771
1889,10.681
1890,9.635
1891,9.548
1892,9.501
1893,9.339
1894,9.116
1895,11.124
1896,10.485
1897,9.046
1898,8.615
1899,9.291
1900,8.452
1901,10.033
1902,9.047
1903,10.196
1904,9.313
1905,8.954
1906,9.336
1907,9.677
1908,9.382
1909,9.270
1910,8.419
1911,9.986
1912,8.727
1913,9.339
1914,9.570
1915,8.608
1916,8.427
1917,11.019
1918,8.494
1919,8.023
1920,8.616
1921,9.838
1922,9.037
1923,8.873
1924,9.616
1925,9.122
1926,9.556
1927,9.071
1928,9.189
1929,10.293
1930,9.599
1931,10.315
1932,9.299
1933,11.066
1934,9.570
1935,9.344
1936,8.476
1937,10.662
1938,9.797
1939,9.385
1940,10.704
1941,9.179
1942,10.077
1943,10.800
1944,10.148
1945,10.127
1946,10.525
1947,11.318
1948,9.042
1949,9.176
1950,10.735
1951,8.816
1952,10.806
1953,11.017
1954,10.067
1955,9.594
1956,8.448
1957,9.488
1958,10.066
1959,11.051
1960,9.329
1961,11.140
1962,8.302
1963,11.487
1964,9.247
1965,8.504
1966,9.701
1967,9.865
1968,10.342
1969,10.206
1970,9.833
1971,9.503
1972,9.003
1973,10.112
1974,8.970
1975,9.094
1976,9.551
1977,8.805
1978,8.777
1979,10.124
1980,8.689
1981,11.593
1982,11.141
1983,10.166
1984,8.888
1985,9.992
1986,10.350
1987,10.855
1988,9.196
1989,9.680
1990,9.690
1991,9.515
1992,9.506
1993,9.480
1994,10.745
1995,10.037
1996,10.661
1997,10.125
1998,9.172
1999,9.621
2000,10.020
2001,9.968
2002,9.637
2003,11.618
2004,9.917
2005,10.053
2006,11.948
2007,9.998
2008,9.642
2009,10.406
2010,11.572
2011,9.820
2012,10.290
2013,12.447
