date,value
1864,28.245
1875,29.112
1876,28.124
1877,28.744
1878,28.938
1880,28.928
1881,28.590
1882,28.468
1883,28.304
1884,28.174
1885,28.479
1886,28.580
1887,28.140
1888,28.298
1889,28.647
1890,28.575
1891,28.589
1892,28.293
1893,28.443
1894,28.320
1895,28.445
1896,28.476
1897,28.750
1898,28.867
1899,28.594
1900,28.544
1901,28.513
1902,28.523
1903,28.324
1904,28.587
1905,28.546
1906,28.432
1907,28.156
1908,28.189
1909,28.435
1910,28.893
1911,28.744
1912,28.303
1913,28.228
1914,28.873
1915,29.255
1916,28.092
1917,28.049
1918,27.978
1919,28.993
1920,28.810
1921,28.394
1922,28.071
1923,28.300
1924,28.680
1925,28.503
1926,28.858
1927,28.559
1928,28.612
1929,28.632
1930,28.603
1931,28.770
1932,28.271
1933,28.649
1934,28.421
1935,28.721
1936,28.497
1937,28.516
1938,28.652
1939,28.817
1940,28.991
1941,29.429
1942,29.223
1943,28.834
1944,29.089
1945,29.121
1946,28.845
1947,29.017
1948,28.880
1949,28.699
1950,28.356
1951,28.707
1952,28.566
1953,28.774
1954,28.724
1955,28.613
1956,28.343
1957,28.311
1958,29.011
1959,28.670
1960,28.701
1961,28.870
1962,28.718
1963,29.098
1964,28.644
1965,28.422
1966,28.820
1967,28.555
1968,28.544
1969,29.148
1970,28.989
1971,28.609
1972,29.089
1973,29.115
1974,28.467
1975,28.698
1976,28.716
1977,29.019
1978,29.063
1979,29.036
1980,29.509
1981,28.879
1982,29.047
1983,29.177
1984,28.691
1985,28.690
1986,28.798
1987,29.114
1988,29.532
1989,28.797
1990,29.303
1991,29.289
1992,28.999
1993,28.741
1994,29.062
1995,29.260
1996,29.165
1997,29.269
1998,29.781
1999,29.372
2000,29.860
2001,29.477
2002,29.532
2003,29.758
2004,29.541
2005,29.809
2006,29.777
2007,29.786
2008,29.339
2009,29.897
2010,29.837
2011,29.844
2012,29.924
2013,30.745
