date,value
1824,25.494
1825,25.617
1826,25.468
1827,25.907
1828,25.848
1829,25.186
1830,25.835
1831,24.845
1832,24.554
1835,24.703
1836,23.303
1837,25.768
1838,24.811
1839,25.006
1840,24.998
1841,24.717
1842,25.122
1843,25.010
1844,24.539
1845,24.664
1846,25.435
1847,25.124
1848,25.042
1849,25.293
1850,25.250
1851,25.273
1852,24.899
1853,25.227
1854,25.177
1855,25.396
1856,25.749
1857,24.731
1858,24.731
1859,24.921
1860,24.934
1861,25.216
1862,25.137
1863,25.239
1864,25.017
1865,25.323
1866,24.944
1867,25.150
1868,25.365
1869,25.611
1870,25.198
1871,25.314
1872,25.377
1873,25.015
1874,25.115
1875,25.161
1876,25.386
1877,25.772
1878,25.998
1879,25.366
1880,25.235
1881,25.078
1882,24.943
1883,25.116
1884,24.887
1885,25.260
1886,24.899
1887,24.818
1888,25.167
1889,25.340
1890,25.061
1891,25.232
1892,25.027
1893,24.945
1894,24.987
1895,25.264
1896,25.443
1897,25.682
1898,25.376
1899,25.363
1900,25.760
1901,25.555
1902,25.352
1903,25.480
1904,25.011
1905,25.564
1906,25.373
1907,25.170
1908,25.307
1909,25.132
1910,24.994
1911,25.320
1912,25.492
1913,25.012
1914,25.484
1915,25.760
1916,25.112
1917,24.834
1918,25.063
1919,25.585
1920,25.502
1921,25.202
1922,25.086
1923,25.309
1924,25.648
1925,25.367
1926,25.864
1927,25.645
1928,25.655
1929,25.462
1930,25.593
1931,25.787
1932,25.665
1933,25.505
1934,25.379
1935,25.298
1936,25.676
1937,25.713
1938,25.455
1939,25.492
1940,25.943
1941,26.092
1942,26.018
1943,25.600
1944,25.542
1945,25.366
1946,25.542
1947,25.956
1948,26.031
1949,25.585
1950,25.238
1951,25.500
1952,25.921
1953,25.965
1954,25.573
1955,25.306
1956,25.454
1957,25.861
1958,26.013
1959,26.068
1960,26.084
1961,25.749
1962,25.740
1963,25.828
1964,25.808
1965,25.574
1966,25.797
1967,25.773
1968,25.769
1969,26.095
1970,25.678
1971,25.424
1972,25.648
1973,25.905
1974,25.425
1975,25.604
1976,25.491
1977,26.029
1978,25.958
1979,25.768
1980,26.366
1981,26.102
1982,25.964
1983,26.256
1984,25.758
1985,25.765
1986,25.932
1987,26.295
1988,26.115
1989,25.901
1990,26.171
1991,26.053
1992,25.941
1993,25.917
1994,26.281
1995,26.358
1996,25.871
1997,26.697
1998,26.676
1999,26.173
2000,25.880
2001,26.341
2002,26.581
2003,26.626
2004,26.359
2005,26.521
2006,26.586
2007,26.626
2008,26.199
2009,26.423
2010,26.456
2011,26.251
2012,26.340
2013,26.290
