date,value
1787,22.832
1788,13.851
1789,22.532
1790,22.131
1791,22.463
1792,17.111
1793,21.510
1794,22.615
1795,20.254
1799,22.520
1800,22.515
1801,22.893
1802,18.296
1803,16.766
1804,21.178
1805,22.997
1806,22.341
1807,22.234
1808,21.698
1809,19.886
1811,25.412
1812,23.145
1813,21.682
1816,20.446
1817,21.413
1818,22.124
1819,21.331
1820,18.745
1821,22.188
1822,21.933
1823,21.807
1824,22.508
1825,22.298
1826,22.217
1827,22.501
1828,21.976
1829,21.935
1830,22.417
1831,21.805
1832,21.552
1833,21.936
1834,22.358
1835,21.422
1836,21.837
1837,21.733
1838,21.702
1839,21.643
1840,21.844
1841,21.674
1842,22.862
1843,22.202
1844,21.673
1845,21.713
1846,22.650
1847,22.030
1848,21.679
1849,21.892
1850,22.182
1851,22.487
1852,22.128
1853,21.986
1854,22.004
1855,21.918
1856,21.885
1857,21.538
1858,22.028
1859,22.183
1860,22.051
1861,22.101
1862,21.767
1863,21.554
1864,22.310
1865,22.233
1866,22.064
1867,22.647
1868,22.069
1869,22.218
1870,22.382
1871,22.056
1872,22.021
1873,21.938
1874,21.865
1875,21.917
1876,22.269
1877,22.322
1878,22.727
1879,21.920
1880,21.416
1881,22.687
1882,22.270
1883,21.992
1884,21.623
1885,21.568
1886,21.716
1887,22.254
1888,22.012
1889,21.641
1890,21.478
1891,21.988
1892,22.243
1893,22.690
1894,21.888
1895,22.615
1896,21.985
1897,22.513
1898,22.096
1899,22.888
1900,22.264
1901,22.385
1902,22.415
1903,22.047
1904,21.871
1905,22.121
1906,22.044
1907,21.455
1908,22.017
1909,22.084
1910,22.170
1911,21.945
1912,22.161
1913,22.319
1914,22.393
1915,22.611
1916,22.216
1917,22.045
1918,21.963
1919,22.387
1920,22.185
1921,22.115
1922,22.336
1923,22.549
1924,22.514
1925,22.127
1926,23.239
1927,22.857
1928,22.298
1929,22.328
1930,22.247
1931,22.334
1932,22.218
1933,21.898
1934,21.830
1935,22.071
1936,22.266
1937,23.108
1938,22.577
1939,22.307
1940,22.586
1941,22.527
1942,22.323
1943,22.186
1944,22.334
1945,22.985
1946,21.814
1947,22.590
1948,22.553
1949,22.544
1950,22.476
1951,21.959
1952,22.330
1953,22.466
1954,21.902
1955,23.171
1956,21.893
1957,21.944
1958,22.733
1959,22.108
1960,22.424
1961,23.084
1962,22.717
1963,22.479
1964,22.787
1965,22.253
1966,22.774
1967,22.347
1968,22.279
1969,22.747
1970,22.982
1971,21.850
1972,21.389
1973,22.492
1974,21.966
1975,22.164
1976,21.598
1977,22.586
1978,22.857
1979,23.047
1980,22.926
1981,23.022
1982,22.368
1983,23.381
1984,22.413
1985,22.856
1986,22.418
1987,23.731
1988,22.812
1989,23.254
1990,23.402
1991,22.640
1992,22.734
1993,22.302
1994,22.945
1995,23.371
1996,23.262
1997,23.643
1998,23.690
1999,22.836
2000,23.020
2001,23.705
2002,23.458
2003,23.409
2004,23.421
2005,23.508
2006,23.442
2007,23.145
2008,23.323
2009,23.381
2010,24.114
2011,23.401
2012,23.303
2013,23.744
