date,value
1743,9.346
1744,14.537
1745,7.932
1750,14.121
1751,14.710
1752,9.621
1753,13.628
1754,13.655
1755,13.345
1756,13.676
1757,13.512
1758,12.389
1759,13.504
1760,13.071
1761,13.699
1762,13.609
1763,12.962
1764,13.638
1765,13.655
1766,13.538
1767,13.603
1768,12.905
1769,13.399
1770,13.249
1771,13.740
1772,14.371
1773,13.336
1774,13.956
1775,14.104
1776,13.598
1777,13.420
1778,13.780
1779,13.956
1780,14.376
1781,13.989
1782,13.022
1783,13.545
1784,13.327
1785,13.117
1786,13.533
1787,13.673
1788,14.137
1789,12.906
1790,13.731
1791,13.767
1792,13.726
1793,13.709
1794,13.612
1795,13.721
1796,13.531
1797,13.377
1798,13.704
1799,13.217
1800,14.117
1801,13.911
1802,14.080
1803,13.771
1804,14.220
1805,13.259
1806,13.869
1807,13.323
1808,12.615
1809,12.794
1810,12.560
1811,12.998
1812,12.575
1813,12.829
1814,12.437
1815,13.008
1816,12.368
1817,13.514
1818,13.813
1819,13.190
1820,13.018
1821,13.801
1822,13.822
1823,13.248
1824,13.592
1825,13.756
1826,13.494
1827,13.380
1828,13.817
1829,12.942
1830,13.480
1831,13.785
1832,13.305
1833,13.243
1834,14.204
1835,13.103
1836,13.243
1837,13.222
1838,13.390
1839,13.310
1840,13.185
1841,13.381
1842,13.371
1843,13.551
1844,13.374
1845,13.011
1846,14.005
1847,13.445
1848,13.120
1849,13.463
1850,13.528
1851,13.253
1852,13.956
1853,12.695
1854,13.280
1855,12.813
1856,13.816
1857,13.392
1858,13.830
1859,13.451
1860,12.836
1861,13.491
1862,13.562
1863,13.346
1864,13.683
1865,13.631
1866,13.708
1867,13.896
1868,13.895
1869,13.529
1870,13.747
1871,13.203
1872,13.393
1873,13.339
1874,13.590
1875,13.645
1876,13.786
1877,13.756
1878,13.677
1879,12.986
1880,13.389
1881,14.027
1882,13.359
1883,12.812
1884,13.036
1885,12.881
1886,13.109
1887,12.853
1888,12.763
1889,12.552
1890,12.681
1891,12.925
1892,13.375
1893,13.972
1894,13.139
1895,13.970
1896,12.837
1897,14.123
1898,13.681
1899,14.608
1900,13.629
1901,13.087
1902,13.325
1903,13.282
1904,13.844
1905,13.149
1906,13.381
1907,13.305
1908,13.626
1909,13.049
1910,13.074
1911,13.410
1912,13.221
1913,13.557
1914,13.345
1915,13.489
1916,13.346
1917,12.801
1918,13.216
1919,13.167
1920,13.888
1921,13.847
1922,13.367
1923,13.449
1924,13.713
1925,12.930
1926,14.246
1927,13.788
1928,13.978
1929,13.929
1930,13.901
1931,13.679
1932,13.169
1933,13.651
1934,13.513
1935,13.455
1936,13.413
1937,14.124
1938,13.855
1939,13.410
1940,13.665
1941,13.258
1942,13.767
1943,14.208
1944,13.504
1945,14.528
1946,13.407
1947,14.417
1948,14.487
1949,14.510
1950,14.239
1951,13.347
1952,13.795
1953,13.893
1954,13.430
1955,14.538
1956,12.670
1957,13.537
1958,14.019
1959,13.981
1960,13.782
1961,14.636
1962,13.813
1963,13.395
1964,14.065
1965,13.655
1966,13.970
1967,13.698
1968,13.939
1969,13.211
1970,13.720
1971,13.092
1972,12.811
1973,13.420
1974,13.324
1975,13.374
1976,13.435
1977,13.548
1978,13.717
1979,13.832
1980,13.604
1981,14.273
1982,14.205
1983,14.195
1984,13.366
1985,14.132
1986,13.876
1987,14.461
1988,14.161
1989,15.046
1990,14.762
1991,14.007
1992,13.955
1993,13.501
1994,14.651
1995,15.072
1996,14.151
1997,15.106
1998,14.552
1999,14.367
2000,14.469
2001,14.616
2002,14.648
2003,14.997
2004,14.396
2005,14.304
2006,15.106
2007,14.241
2008,14.230
2009,14.968
2010,14.246
2011,15.321
2012,14.580
2013,14.859
