date,value
1743,0.727
1744,8.654
1745,1.397
1750,11.145
1751,12.542
1752,3.817
1753,10.060
1754,11.312
1755,10.426
1756,11.002
1757,10.848
1758,9.838
1759,10.903
1760,10.486
1761,11.882
1762,9.191
1763,10.646
1764,10.934
1765,9.513
1766,10.653
1767,10.118
1768,9.163
1769,10.737
1770,11.571
1771,10.925
1772,10.120
1773,11.262
1774,12.595
1775,13.032
1776,11.731
1777,9.410
1778,11.292
1779,9.841
1780,9.691
1781,10.698
1782,10.583
1783,12.663
1784,9.493
1785,8.740
1786,11.022
1787,11.337
1788,11.698
1789,11.436
1790,11.512
1791,11.062
1792,10.152
1793,10.285
1794,9.648
1795,9.943
1796,11.679
1797,10.562
1798,12.762
1799,9.947
1800,9.606
1801,10.267
1802,9.789
1803,11.974
1804,12.308
1805,10.662
1806,10.752
1807,9.117
1808,13.042
1809,12.494
1810,11.039
1811,9.488
1812,10.074
1813,9.709
1814,9.346
1815,9.198
1816,10.575
1817,10.580
1818,9.270
1819,12.135
1820,11.559
1821,9.520
1822,9.473
1823,9.951
1824,9.713
1825,9.517
1826,11.307
1827,11.828
1828,11.444
1829,10.742
1830,9.461
1831,11.466
1832,9.961
1833,9.957
1834,11.808
1835,10.376
1836,9.070
1837,9.254
1838,10.492
1839,13.490
1840,10.007
1841,11.432
1842,10.383
1843,10.400
1844,10.578
1845,9.067
1846,9.284
1847,11.113
1848,8.820
1849,8.871
1850,11.227
1851,9.970
1852,11.907
1853,9.636
1854,11.922
1855,11.490
1856,9.949
1857,9.239
1858,12.383
1859,10.059
1860,11.608
1861,11.078
1862,10.096
1863,10.203
1864,9.895
1865,9.145
1866,11.331
1867,9.370
1868,12.068
1869,11.098
1870,9.508
1871,8.347
1872,10.977
1873,11.232
1874,10.759
1875,10.064
1876,10.999
1877,8.727
1878,10.207
1879,11.082
1880,10.668
1881,9.766
1882,10.384
1883,10.289
1884,10.736
1885,10.489
1886,10.187
1887,10.783
1888,9.717
1889,10.160
1890,10.183
1891,11.104
1892,8.908
1893,10.268
1894,9.602
1895,10.219
1896,11.930
1897,10.861
1898,9.681
1899,9.476
1900,10.665
1901,12.650
1902,10.270
1903,8.860
1904,9.889
1905,9.596
1906,10.419
1907,10.636
1908,10.469
1909,10.501
1910,10.146
1911,9.858
1912,9.064
1913,9.247
1914,11.461
1915,10.042
1916,9.126
1917,10.271
1918,9.928
1919,11.156
1920,9.644
1921,10.383
1922,10.478
1923,8.989
1924,10.237
1925,10.102
1926,9.719
1927,9.759
1928,9.174
1929,9.819
1930,10.582
1931,9.310
1932,9.427
1933,10.982
1934,11.720
1935,9.872
1936,8.666
1937,11.855
1938,10.410
1939,10.073
1940,10.094
1941,9.877
1942,10.854
1943,9.570
1944,9.977
1945,11.118
1946,11.451
1947,11.874
1948,10.622
1949,10.836
1950,10.367
1951,11.456
1952,10.389
1953,10.835
1954,11.640
1955,12.927
1956,10.228
1957,9.958
1958,9.753
1959,9.265
1960,8.960
1961,9.629
1962,9.503
1963,10.848
1964,10.182
1965,10.901
1966,9.946
1967,9.949
1968,11.179
1969,9.946
1970,9.809
1971,11.262
1972,9.680
1973,11.369
1974,8.937
1975,9.782
1976,8.756
1977,9.721
1978,9.524
1979,10.016
1980,11.447
1981,10.137
1982,10.097
1983,12.425
1984,10.646
1985,11.272
1986,10.341
1987,10.258
1988,12.327
1989,9.058
1990,8.523
1991,9.330
1992,10.205
1993,10.658
1994,11.753
1995,10.825
1996,10.242
1997,10.124
1998,11.519
1999,11.287
2000,9.863
2001,11.195
2002,11.013
2003,10.436
2004,10.443
2005,11.201
2006,10.856
2007,9.303
2008,8.921
2009,10.756
2010,11.371
2011,11.002
2012,10.902
2013,14.337
