date,value
1850,22.396
1859,22.377
1864,22.419
1875,22.101
1876,22.326
1877,22.924
1878,23.129
1880,22.821
1881,23.015
1882,22.631
1883,22.434
1884,22.287
1885,22.553
1886,22.603
1887,22.304
1888,22.362
1889,22.848
1890,22.796
1891,22.665
1892,22.532
1893,22.546
1894,22.517
1895,22.654
1896,22.687
1897,22.937
1898,23.224
1899,22.888
1900,22.794
1901,22.981
1902,22.723
1903,22.621
1904,22.718
1905,22.714
1906,22.576
1907,22.353
1908,22.497
1909,22.408
1910,23.116
1911,22.910
1912,22.503
1913,22.407
1914,23.202
1915,23.339
1916,22.475
1917,22.278
1918,22.461
1919,23.269
1920,22.810
1921,22.698
1922,22.484
1923,22.445
1924,22.838
1925,22.717
1926,22.920
1927,22.777
1928,22.801
1929,22.958
1930,22.988
1931,23.312
1932,22.717
1933,23.093
1934,22.838
1935,23.036
1936,22.843
1937,22.857
1938,22.876
1939,23.060
1940,23.303
1941,23.490
1942,23.287
1943,22.986
1944,23.169
1945,23.206
1946,23.053
1947,23.149
1948,22.909
1949,22.937
1950,22.658
1951,22.900
1952,23.175
1953,23.201
1954,23.005
1955,23.029
1956,22.661
1957,22.851
1958,23.363
1959,23.149
1960,22.942
1961,22.896
1962,22.860
1963,23.074
1964,22.848
1965,22.851
1966,22.956
1967,22.718
1968,22.635
1969,23.187
1970,23.136
1971,22.752
1972,23.251
1973,23.446
1974,22.792
1975,22.848
1976,23.000
1977,23.137
1978,23.117
1979,23.329
1980,23.642
1981,23.155
1982,23.256
1983,23.493
1984,23.192
1985,22.917
1986,23.193
1987,23.627
1988,23.519
1989,22.856
1990,23.380
1991,23.412
1992,23.240
1993,22.989
1994,23.209
1995,23.397
1996,23.359
1997,23.424
1998,23.689
1999,23.447
2000,23.763
2001,23.662
2002,23.823
2003,23.857
2004,23.779
2005,23.897
2006,23.778
2007,23.724
2008,23.603
2009,24.274
2010,23.928
2011,24.074
2012,23.976
2013,24.632
