date,value
1744,8.213
1750,9.825
1751,9.613
1752,1.599
1753,8.398
1754,8.407
1755,10.110
1756,9.234
1757,11.226
1758,10.112
1759,9.160
1760,10.873
1761,12.727
1762,8.730
1763,11.273
1764,8.885
1765,7.210
1766,8.848
1767,9.737
1768,10.876
1769,11.549
1770,8.568
1771,9.852
1772,9.408
1773,9.402
1774,9.367
1775,11.283
1776,10.332
1777,9.056
1778,9.628
1779,9.127
1780,8.155
1781,9.582
1782,9.779
1783,8.734
1784,7.562
1785,8.737
1786,9.938
1787,9.907
1788,8.869
1789,11.184
1790,8.704
1791,8.979
1792,11.918
1793,8.471
1794,8.863
1795,8.018
1796,8.804
1797,9.856
1798,10.817
1799,9.359
1800,7.379
1801,8.113
1802,7.512
1803,8.790
1804,9.227
1805,10.891
1806,9.537
1807,10.754
1808,10.419
1809,9.493
1810,7.989
1811,10.857
1812,8.390
1813,9.546
1814,9.265
1815,7.905
1816,8.979
1817,10.924
1818,9.242
1819,10.608
1820,8.519
1821,7.723
1822,8.387
1823,9.897
1824,10.738
1825,7.844
1826,9.650
1827,9.639
1828,9.884
1829,11.313
1830,8.900
1831,9.938
1832,7.355
1833,9.447
1834,9.467
1835,8.737
1836,6.741
1837,8.400
1838,8.745
1839,10.178
1840,8.658
1841,8.212
1842,11.235
1843,8.944
1844,9.463
1845,8.885
1846,10.418
1847,9.868
1848,7.767
1849,8.764
1850,9.350
1851,9.750
1852,11.639
1853,10.126
1854,10.445
1855,9.316
1856,7.790
1857,8.554
1858,10.842
1859,9.483
1860,8.265
1861,10.144
1862,8.235
1863,8.477
1864,10.092
1865,10.289
1866,9.593
1867,7.781
1868,10.161
1869,7.820
1870,9.358
1871,8.201
1872,8.420
1873,9.729
1874,9.122
1875,10.670
1876,9.408
1877,6.707
1878,8.364
1879,9.497
1880,11.075
1881,8.209
1882,10.311
1883,8.558
1884,9.165
1885,9.641
1886,8.459
1887,11.077
1888,9.757
1889,10.095
1890,9.566
1891,8.692
1892,7.832
1893,8.560
1894,9.827
1895,9.700
1896,10.144
1897,9.255
1898,9.404
1899,8.302
1900,8.373
1901,9.609
1902,8.595
1903,8.829
1904,7.454
1905,11.054
1906,8.301
1907,7.672
1908,7.758
1909,9.343
1910,7.723
1911,9.194
1912,10.629
1913,8.164
1914,8.236
1915,8.286
1916,9.891
1917,9.923
1918,7.841
1919,9.922
1920,9.032
1921,8.671
1922,9.622
1923,8.414
1924,10.304
1925,10.072
1926,10.743
1927,11.303
1928,8.191
1929,9.247
1930,8.833
1931,8.953
1932,8.057
1933,9.730
1934,11.226
1935,9.001
1936,10.537
1937,10.481
1938,8.493
1939,9.562
1940,10.359
1941,10.804
1942,9.262
1943,8.937
1944,9.787
1945,9.497
1946,8.512
1947,10.639
1948,8.816
1949,8.544
1950,9.164
1951,8.605
1952,8.609
1953,9.222
1954,10.228
1955,9.502
1956,8.941
1957,9.628
1958,7.954
1959,9.995
1960,10.758
1961,10.925
1962,7.745
1963,9.392
1964,9.883
1965,7.833
1966,9.400
1967,8.006
1968,8.705
1969,9.698
1970,10.277
1971,9.099
1972,10.816
1973,9.793
1974,8.785
1975,8.635
1976,10.388
1977,8.825
1978,9.049
1979,9.881
1980,8.866
1981,9.697
1982,7.816
1983,9.129
1984,9.017
1985,9.828
1986,8.400
1987,9.161
1988,10.918
1989,9.443
1990,8.637
1991,8.402
1992,11.886
1993,8.546
1994,8.692
1995,8.728
1996,9.601
1997,10.343
1998,9.661
1999,9.373
2000,8.352
2001,9.418
2002,11.194
2003,10.488
2004,9.032
2005,8.568
2006,9.828
2007,9.366
2008,8.269
2009,8.771
2010,9.702
2011,9.244
2012,10.029
2013,11.530
