date,value
1867,24.696
1868,23.369
1869,24.729
1870,24.854
1871,24.942
1872,25.018
1873,24.450
1874,23.782
1875,23.994
1876,25.002
1883,24.378
1884,24.029
1885,23.981
1886,24.359
1887,24.460
1890,24.447
1891,24.311
1892,24.456
1893,24.774
1894,24.678
1895,24.542
1896,24.624
1897,24.835
1898,24.970
1899,24.585
1900,24.420
1901,24.436
1902,24.131
1903,24.790
1904,24.373
1905,24.457
1906,24.743
1907,24.470
1908,24.503
1909,24.550
1910,25.026
1911,24.791
1912,24.642
1913,24.524
1914,24.541
1915,24.971
1916,24.985
1917,24.726
1918,24.739
1919,24.603
1920,24.505
1921,24.878
1922,24.602
1923,24.330
1924,24.876
1925,24.602
1926,24.616
1927,25.516
1928,25.054
1929,25.117
1930,24.514
1931,24.966
1932,25.278
1933,25.147
1934,25.026
1935,25.228
1936,25.251
1937,25.353
1938,25.374
1939,24.664
1940,24.825
1941,25.241
1942,24.978
1943,25.132
1944,24.918
1945,24.914
1946,25.150
1947,25.411
1948,25.159
1949,25.214
1950,25.294
1951,24.945
1952,25.415
1953,25.246
1954,25.350
1955,25.270
1956,25.152
1957,25.017
1958,25.073
1959,25.355
1960,25.170
1961,25.355
1962,25.059
1963,25.087
1964,25.310
1965,24.559
1966,24.741
1967,24.950
1968,25.072
1969,25.028
1970,25.276
1971,25.425
1972,25.153
1973,25.680
1974,25.551
1975,25.667
1976,25.423
1977,25.114
1978,25.000
1979,25.251
1980,25.282
1981,25.429
1982,25.259
1983,25.270
1984,25.548
1985,25.473
1986,25.015
1987,25.163
1988,25.920
1989,25.445
1990,25.400
1991,25.348
1992,25.296
1993,25.007
1994,25.149
1995,25.716
1996,25.861
1997,25.323
1998,25.865
1999,25.687
2000,25.837
2001,25.751
2002,25.713
2003,25.447
2004,25.508
2005,25.643
2006,25.632
2007,26.055
2008,25.730
2009,25.227
2010,25.918
2011,25.723
2012,25.478
2013,25.941
