date,value
1856,24.400
1857,23.120
1858,23.744
1859,23.663
1860,23.772
1861,23.488
1862,24.413
1873,23.963
1874,23.964
1875,23.637
1876,23.788
1877,24.125
1878,24.011
1879,23.223
1880,23.252
1881,23.642
1882,23.609
1883,23.822
1884,23.530
1885,23.854
1886,23.776
1887,23.125
1888,23.475
1889,24.007
1890,22.855
1891,23.246
1892,23.429
1893,23.600
1894,23.655
1895,23.740
1896,23.706
1897,24.042
1898,23.613
1899,24.108
1900,24.062
1901,24.287
1902,23.909
1903,23.809
1904,23.129
1905,23.799
1906,23.743
1907,23.841
1908,23.839
1909,23.810
1910,23.866
1911,23.522
1912,24.336
1913,24.368
1914,24.246
1915,24.266
1916,24.300
1917,24.190
1918,23.779
1919,24.133
1920,24.136
1921,24.354
1922,23.974
1923,23.974
1924,24.616
1925,23.998
1926,24.448
1927,24.550
1928,24.293
1929,24.099
1930,24.174
1931,24.495
1932,24.113
1933,24.431
1934,24.593
1935,24.535
1936,24.476
1937,24.772
1938,24.631
1939,24.200
1940,24.287
1941,24.829
1942,24.688
1943,24.201
1944,24.877
1945,24.934
1946,24.402
1947,24.728
1948,24.400
1949,24.839
1950,24.434
1951,24.494
1952,24.438
1953,24.374
1954,24.020
1955,24.189
1956,24.157
1957,24.440
1958,24.342
1959,24.444
1960,24.531
1961,24.196
1962,24.358
1963,24.596
1964,24.264
1965,24.283
1966,24.596
1967,24.290
1968,24.257
1969,24.504
1970,24.499
1971,24.167
1972,24.265
1973,24.696
1974,24.150
1975,24.173
1976,23.909
1977,24.554
1978,24.347
1979,24.694
1980,24.624
1981,24.295
1982,24.128
1983,24.613
1984,24.624
1985,24.303
1986,24.296
1987,24.847
1988,24.774
1989,24.508
1990,24.571
1991,24.567
1992,24.240
1993,24.545
1994,24.647
1995,24.937
1996,24.465
1997,24.730
1998,25.395
1999,24.737
2000,24.572
2001,24.514
2002,24.834
2003,24.912
2004,24.853
2005,24.965
2006,25.158
2007,25.064
2008,25.128
2009,25.135
2010,25.221
2011,24.731
2012,24.832
2013,24.839
