date,value
1743,7.176
1744,9.363
1745,3.818
1750,9.355
1751,9.026
1752,6.194
1753,8.593
1754,8.479
1755,8.197
1756,8.670
1757,8.638
1758,7.915
1759,8.895
1760,8.256
1761,8.934
1762,8.222
1763,7.962
1764,8.264
1765,8.035
1766,8.268
1767,8.992
1768,8.258
1769,8.280
1770,8.101
1771,8.013
1772,8.283
1773,8.387
1774,8.144
1775,9.130
1776,9.222
1777,8.427
1778,8.911
1779,9.878
1780,9.737
1781,9.568
1782,7.444
1783,8.833
1784,7.510
1785,7.943
1786,7.707
1787,8.790
1788,9.518
1789,8.626
1790,8.946
1791,8.845
1792,8.804
1793,8.765
1794,9.217
1795,9.184
1796,8.693
1797,8.759
1798,9.103
1799,7.278
1800,8.400
1801,8.825
1802,8.514
1803,8.207
1804,8.591
1805,8.107
1806,8.805
1807,8.025
1808,8.132
1809,8.091
1810,7.995
1811,8.955
1812,7.683
1813,8.354
1814,8.181
1815,8.163
1816,7.210
1817,8.093
1818,8.952
1819,8.589
1820,8.760
1821,8.896
1822,9.354
1823,7.961
1824,8.762
1825,9.141
1826,9.336
1827,8.629
1828,9.332
1829,7.498
1830,8.120
1831,9.145
1832,8.661
1833,8.545
1834,9.614
1835,8.613
1836,8.026
1837,8.045
1838,8.073
1839,8.033
1840,8.029
1841,8.202
1842,8.764
1843,8.555
1844,8.149
1845,7.879
1846,9.648
1847,8.572
1848,8.566
1849,8.522
1850,8.408
1851,8.505
1852,9.199
1853,7.946
1854,8.692
1855,8.326
1856,8.357
1857,9.450
1858,8.544
1859,8.853
1860,7.396
1861,8.666
1862,8.503
1863,8.921
1864,8.086
1865,8.924
1866,8.688
1867,8.295
1868,9.466
1869,8.688
1870,8.310
1871,8.401
1872,8.986
1873,8.452
1874,8.648
1875,8.693
1876,8.758
1877,8.407
1878,9.487
1879,7.666
1880,8.571
1881,8.650
1882,8.682
1883,8.348
1884,8.971
1885,7.858
1886,7.920
1887,7.909
1888,7.692
1889,8.419
1890,8.398
1891,8.056
1892,7.553
1893,9.195
1894,8.634
1895,9.792
1896,8.726
1897,8.669
1898,9.257
1899,8.991
1900,8.724
1901,8.519
1902,8.174
1903,8.500
1904,8.440
1905,8.569
1906,8.691
1907,8.248
1908,8.725
1909,8.008
1910,8.547
1911,9.274
1912,8.621
1913,9.024
1914,9.169
1915,8.247
1916,8.554
1917,7.985
1918,8.798
1919,7.872
1920,8.925
1921,9.689
1922,8.092
1923,8.370
1924,8.610
1925,8.506
1926,9.047
1927,8.471
1928,8.787
1929,8.437
1930,8.763
1931,8.435
1932,8.857
1933,9.305
1934,9.363
1935,8.993
1936,8.752
1937,8.842
1938,9.399
1939,9.067
1940,9.293
1941,8.398
1942,8.456
1943,9.369
1944,8.919
1945,9.656
1946,8.850
1947,9.761
1948,9.294
1949,9.814
1950,8.811
1951,8.589
1952,8.502
1953,9.387
1954,8.612
1955,8.712
1956,8.366
1957,9.357
1958,8.768
1959,9.771
1960,9.071
1961,9.198
1962,8.073
1963,9.611
1964,8.856
1965,8.264
1966,8.732
1967,8.993
1968,8.686
1969,8.611
1970,8.814
1971,9.244
1972,8.658
1973,8.956
1974,8.917
1975,9.259
1976,9.289
1977,8.789
1978,8.672
1979,8.134
1980,8.798
1981,8.611
1982,9.158
1983,9.236
1984,9.087
1985,8.253
1986,8.878
1987,8.445
1988,9.138
1989,9.736
1990,9.858
1991,8.998
1992,9.193
1993,8.769
1994,9.331
1995,9.627
1996,8.659
1997,9.855
1998,9.585
1999,9.830
2000,9.566
2001,9.289
2002,9.906
2003,9.945
2004,9.893
2005,9.847
2006,10.129
2007,10.021
2008,9.505
2009,9.631
2010,8.480
2011,10.085
2012,9.185
2013,9.108
