date,value
1779,2.306
1780,12.552
1781,11.430
1782,11.608
1783,11.135
1785,13.195
1786,11.760
1788,12.011
1789,10.367
1791,10.350
1792,10.084
1795,8.210
1808,6.079
1809,11.287
1810,9.454
1811,8.809
1812,12.054
1813,12.789
1814,9.473
1815,11.620
1816,10.045
1817,9.794
1818,11.441
1819,10.371
1820,10.593
1821,10.320
1822,10.326
1823,9.867
1824,10.896
1825,10.884
1826,9.914
1827,10.797
1828,11.434
1829,11.053
1830,10.153
1831,10.356
1832,10.792
1833,10.757
1834,10.947
1835,10.125
1836,9.997
1837,10.561
1838,10.368
1839,10.465
1840,11.909
1841,12.643
1842,9.725
1843,9.839
1844,9.515
1845,11.031
1846,9.745
1847,10.239
1848,12.075
1849,11.277
1850,10.745
1851,12.346
1852,9.935
1853,11.634
1854,10.709
1855,10.534
1856,10.957
1857,9.184
1858,11.167
1859,11.878
1860,13.141
1861,10.437
1862,10.439
1863,10.953
1864,11.902
1865,9.954
1866,11.098
1867,9.720
1868,11.001
1869,11.697
1870,10.058
1871,10.034
1872,11.358
1873,9.483
1874,11.451
1875,12.279
1876,11.811
1877,12.002
1878,11.101
1879,10.777
1880,11.860
1881,10.820
1882,9.934
1883,11.885
1884,9.451
1885,11.366
1886,9.467
1887,10.587
1888,11.601
1889,10.567
1890,12.101
1891,11.280
1892,11.528
1893,11.160
1894,10.841
1895,8.806
1896,10.596
1897,11.702
1898,11.963
1899,12.317
1900,9.815
1901,10.077
1902,9.762
1903,12.540
1904,9.839
1905,11.795
1906,10.264
1907,10.478
1908,10.661
1909,10.819
1910,11.431
1911,11.885
1912,10.013
1913,10.154
1914,9.837
1915,9.277
1916,10.506
1917,12.118
1918,11.677
1919,11.395
1920,11.827
1921,10.715
1922,10.593
1923,10.571
1924,10.614
1925,10.836
1926,10.079
1927,12.161
1928,10.880
1929,12.952
1930,11.956
1931,11.152
1932,11.340
1933,10.770
1934,11.267
1935,10.769
1936,11.388
1937,11.316
1938,11.845
1939,10.393
1940,10.884
1941,10.483
1942,12.669
1943,11.510
1944,10.767
1945,10.588
1946,11.451
1947,11.117
1948,10.264
1949,10.111
1950,10.780
1951,11.885
1952,9.845
1953,12.377
1954,11.247
1955,10.399
1956,11.578
1957,10.290
1958,9.350
1959,9.539
1960,9.606
1961,10.900
1962,10.649
1963,9.508
1964,11.200
1965,10.300
1966,10.488
1967,9.978
1968,12.043
1969,10.345
1970,11.167
1971,12.154
1972,12.357
1973,10.071
1974,10.535
1975,12.307
1976,10.026
1977,10.674
1978,9.324
1979,10.496
1980,10.992
1981,9.442
1982,11.184
1983,9.716
1984,10.702
1985,13.118
1986,11.923
1987,9.855
1988,10.255
1989,12.630
1990,10.926
1991,12.431
1992,10.925
1993,12.132
1994,11.120
1995,11.446
1996,10.099
1997,10.527
1998,12.220
1999,9.769
2000,11.416
2001,10.825
2002,11.743
2003,9.714
2004,10.206
2005,11.456
2006,13.139
2007,12.866
2008,13.336
2009,10.546
2010,11.102
2011,10.454
2012,12.349
2013,12.318
