date,value
1849,24.904
1850,24.918
1851,24.975
1856,24.890
1857,24.554
1858,24.737
1859,25.370
1860,24.859
1861,24.880
1862,24.546
1863,24.755
1864,25.002
1865,25.125
1866,25.556
1868,24.751
1869,24.813
1870,24.993
1873,24.042
1874,24.783
1875,24.370
1876,24.515
1877,25.021
1878,25.231
1879,24.824
1880,25.333
1881,25.651
1882,25.182
1883,25.822
1884,25.387
1885,24.638
1886,24.722
1887,24.630
1888,24.671
1889,24.097
1890,24.512
1891,24.848
1892,25.107
1893,25.012
1894,24.676
1895,24.815
1896,25.289
1897,25.459
1898,25.032
1899,25.582
1900,25.380
1901,25.392
1902,25.296
1903,25.126
1904,24.676
1905,25.173
1906,25.283
1907,24.742
1908,24.973
1909,24.844
1910,25.499
1911,24.970
1912,25.610
1913,25.709
1914,25.488
1915,25.598
1916,25.334
1917,25.193
1918,25.128
1919,25.372
1920,25.381
1921,25.376
1922,25.307
1923,25.418
1924,25.234
1925,25.372
1926,25.708
1927,25.386
1928,25.297
1929,25.400
1930,25.458
1931,25.655
1932,25.291
1933,25.480
1934,25.464
1935,25.313
1936,25.324
1937,25.682
1938,25.527
1939,25.465
1940,25.801
1941,25.899
1942,25.601
1943,25.275
1944,25.717
1945,25.662
1946,25.470
1947,25.806
1948,25.407
1949,25.609
1950,25.326
1951,25.470
1952,25.470
1953,25.649
1954,25.209
1955,25.338
1956,25.340
1957,25.529
1958,25.726
1959,25.658
1960,25.635
1961,25.432
1962,25.447
1963,25.774
1964,25.498
1965,25.374
1966,25.616
1967,25.290
1968,25.574
1969,26.011
1970,25.818
1971,25.440
1972,25.744
1973,26.037
1974,25.467
1975,25.339
1976,25.244
1977,25.800
1978,25.663
1979,25.932
1980,26.082
1981,25.862
1982,25.582
1983,26.189
1984,25.825
1985,25.819
1986,25.528
1987,26.307
1988,25.932
1989,25.735
1990,26.011
1991,26.051
1992,25.784
1993,26.028
1994,25.755
1995,25.946
1996,26.101
1997,25.986
1998,26.520
1999,25.842
2000,25.969
2001,26.289
2002,26.515
2003,26.410
2004,26.404
2005,26.507
2006,26.121
2007,26.317
2008,26.288
2009,26.326
2010,26.597
2011,26.343
2012,26.063
2013,26.687
