date,value
1849,26.995
1850,27.001
1851,27.132
1856,26.984
1857,26.746
1858,26.766
1859,27.519
1860,26.961
1861,27.035
1862,26.692
1863,26.687
1864,27.145
1865,27.258
1866,26.936
1868,26.750
1869,27.151
1870,27.321
1873,26.615
1874,26.773
1875,26.572
1876,27.071
1877,27.126
1878,27.374
1879,26.960
1880,27.175
1881,27.571
1882,27.330
1883,27.838
1884,27.206
1885,26.681
1886,26.781
1887,26.903
1888,27.015
1889,26.360
1890,26.744
1891,27.174
1892,27.656
1893,27.578
1894,26.836
1895,26.941
1896,27.736
1897,28.044
1898,27.463
1899,27.822
1900,27.463
1901,27.550
1902,27.630
1903,27.303
1904,26.732
1905,27.113
1906,27.294
1907,26.368
1908,27.014
1909,27.028
1910,27.540
1911,27.172
1912,27.311
1913,27.718
1914,27.415
1915,27.688
1916,27.277
1917,26.927
1918,27.159
1919,27.512
1920,27.337
1921,27.493
1922,27.346
1923,27.621
1924,27.454
1925,27.561
1926,28.089
1927,27.588
1928,27.254
1929,27.328
1930,27.174
1931,27.815
1932,27.466
1933,27.500
1934,27.152
1935,27.328
1936,27.674
1937,27.797
1938,27.674
1939,27.479
1940,27.669
1941,27.880
1942,27.560
1943,27.322
1944,27.836
1945,28.059
1946,27.502
1947,27.633
1948,27.369
1949,27.615
1950,27.418
1951,27.351
1952,27.263
1953,27.438
1954,27.340
1955,27.576
1956,27.252
1957,27.329
1958,27.820
1959,27.472
1960,27.573
1961,27.585
1962,27.757
1963,27.855
1964,27.607
1965,27.174
1966,27.716
1967,27.168
1968,27.322
1969,28.340
1970,28.139
1971,27.358
1972,27.701
1973,28.001
1974,27.171
1975,27.286
1976,27.259
1977,28.070
1978,27.658
1979,28.099
1980,28.094
1981,28.080
1982,27.587
1983,28.639
1984,27.898
1985,27.813
1986,27.745
1987,28.391
1988,28.056
1989,27.827
1990,28.136
1991,28.045
1992,28.034
1993,28.241
1994,27.904
1995,28.190
1996,28.299
1997,28.350
1998,28.826
1999,27.757
2000,28.064
2001,28.490
2002,28.548
2003,28.229
2004,28.373
2005,28.605
2006,28.177
2007,28.365
2008,28.346
2009,27.959
2010,28.803
2011,28.283
2012,28.302
2013,28.724
