date,value
1849,26.212
1850,26.225
1851,26.299
1856,26.223
1857,25.915
1858,26.013
1859,26.715
1860,26.151
1861,26.220
1862,25.891
1863,25.949
1864,26.351
1865,26.470
1866,26.448
1868,26.022
1869,26.307
1870,26.457
1873,25.635
1874,26.025
1875,25.719
1876,26.074
1877,26.322
1878,26.575
1879,26.180
1880,26.529
1881,26.744
1882,26.531
1883,27.061
1884,26.535
1885,25.912
1886,26.008
1887,26.060
1888,26.172
1889,25.477
1890,25.959
1891,26.349
1892,26.766
1893,26.602
1894,26.054
1895,26.125
1896,26.933
1897,27.153
1898,26.558
1899,26.978
1900,26.686
1901,26.777
1902,26.781
1903,26.530
1904,25.991
1905,26.391
1906,26.530
1907,25.839
1908,26.206
1909,26.244
1910,26.791
1911,26.367
1912,26.663
1913,26.964
1914,26.597
1915,26.856
1916,26.598
1917,26.364
1918,26.379
1919,26.623
1920,26.568
1921,26.712
1922,26.471
1923,26.855
1924,26.546
1925,26.707
1926,27.145
1927,26.735
1928,26.594
1929,26.541
1930,26.512
1931,27.088
1932,26.748
1933,26.854
1934,26.609
1935,26.607
1936,26.779
1937,27.017
1938,26.805
1939,26.696
1940,26.914
1941,27.107
1942,26.809
1943,26.564
1944,27.026
1945,27.189
1946,26.725
1947,26.933
1948,26.601
1949,26.868
1950,26.634
1951,26.691
1952,26.705
1953,26.882
1954,26.573
1955,26.803
1956,26.569
1957,26.675
1958,26.973
1959,26.752
1960,26.836
1961,26.800
1962,26.840
1963,27.079
1964,26.770
1965,26.506
1966,26.927
1967,26.493
1968,26.654
1969,27.434
1970,27.225
1971,26.687
1972,26.986
1973,27.195
1974,26.598
1975,26.568
1976,26.490
1977,27.158
1978,26.887
1979,27.211
1980,27.311
1981,27.209
1982,26.957
1983,27.700
1984,27.143
1985,27.138
1986,27.015
1987,27.546
1988,27.282
1989,27.034
1990,27.364
1991,27.354
1992,27.246
1993,27.453
1994,27.183
1995,27.373
1996,27.493
1997,27.436
1998,27.972
1999,27.150
2000,27.289
2001,27.664
2002,27.795
2003,27.464
2004,27.633
2005,27.959
2006,27.352
2007,27.518
2008,27.584
2009,27.310
2010,27.919
2011,27.491
2012,27.482
2013,27.907
