date,value
1856,25.095
1857,23.680
1858,24.363
1859,24.322
1860,24.467
1861,24.210
1862,25.158
1873,24.644
1874,24.600
1875,24.305
1876,24.401
1877,24.784
1878,24.621
1879,23.888
1880,24.072
1881,24.457
1882,24.291
1883,24.588
1884,24.273
1885,24.466
1886,24.370
1887,23.683
1888,24.060
1889,24.491
1890,23.383
1891,23.899
1892,24.035
1893,24.129
1894,24.227
1895,24.328
1896,24.298
1897,24.683
1898,24.196
1899,24.781
1900,24.711
1901,24.902
1902,24.445
1903,24.325
1904,23.737
1905,24.536
1906,24.423
1907,24.478
1908,24.485
1909,24.373
1910,24.479
1911,24.169
1912,24.930
1913,25.146
1914,25.034
1915,25.000
1916,24.930
1917,24.956
1918,24.523
1919,25.054
1920,24.832
1921,25.010
1922,24.753
1923,24.700
1924,25.247
1925,24.605
1926,25.104
1927,25.272
1928,24.832
1929,24.836
1930,24.955
1931,25.137
1932,24.844
1933,25.197
1934,25.232
1935,25.220
1936,25.212
1937,25.487
1938,25.404
1939,24.883
1940,25.009
1941,25.583
1942,25.358
1943,24.906
1944,25.420
1945,25.524
1946,25.106
1947,25.378
1948,25.093
1949,25.487
1950,25.076
1951,25.159
1952,25.087
1953,25.057
1954,24.641
1955,24.875
1956,24.689
1957,25.085
1958,24.997
1959,25.100
1960,25.145
1961,24.891
1962,25.016
1963,25.274
1964,24.886
1965,24.940
1966,25.271
1967,25.031
1968,24.997
1969,25.191
1970,25.196
1971,24.871
1972,25.003
1973,25.384
1974,24.843
1975,24.827
1976,24.651
1977,25.227
1978,25.022
1979,25.378
1980,25.367
1981,24.927
1982,24.855
1983,25.193
1984,25.204
1985,24.958
1986,24.902
1987,25.491
1988,25.409
1989,25.130
1990,25.285
1991,25.235
1992,24.889
1993,25.189
1994,25.287
1995,25.615
1996,25.238
1997,25.325
1998,26.004
1999,25.323
2000,25.221
2001,25.207
2002,25.527
2003,25.627
2004,25.594
2005,25.624
2006,25.785
2007,25.774
2008,25.769
2009,25.833
2010,25.903
2011,25.546
2012,25.537
2013,25.591
