date,value
1824,25.832
1825,25.977
1826,25.790
1827,26.079
1828,25.598
1829,25.508
1845,25.298
1846,25.934
1847,25.330
1848,25.437
1849,25.353
1850,25.532
1851,25.412
1852,25.482
1853,25.577
1854,25.412
1855,25.615
1856,25.332
1857,25.091
1858,25.443
1859,25.447
1860,25.487
1861,25.390
1862,25.162
1863,25.308
1864,25.466
1865,25.556
1866,25.622
1867,25.797
1868,25.538
1869,25.927
1870,25.470
1871,25.610
1872,25.643
1873,25.696
1874,25.670
1875,25.224
1876,25.502
1877,26.136
1878,26.384
1879,25.535
1880,25.162
1881,25.717
1882,25.401
1883,25.271
1884,25.190
1885,24.754
1886,25.182
1887,25.322
1888,25.743
1889,25.797
1890,24.926
1891,25.480
1892,25.335
1893,25.153
1894,25.245
1895,25.623
1896,25.727
1897,25.708
1898,25.384
1899,25.751
1900,25.927
1901,26.065
1902,25.821
1903,25.799
1904,25.282
1905,25.738
1906,25.644
1907,25.418
1908,25.469
1909,25.578
1910,25.510
1911,25.563
1912,25.820
1913,25.471
1914,25.846
1915,26.072
1916,25.663
1917,25.189
1918,25.400
1919,25.858
1920,25.626
1921,25.515
1922,25.532
1923,25.504
1924,25.664
1925,25.672
1926,26.188
1927,25.838
1928,25.945
1929,25.675
1930,25.831
1931,26.296
1932,26.122
1933,25.795
1934,25.679
1935,25.935
1936,25.990
1937,26.132
1938,25.917
1939,25.888
1940,26.480
1941,26.416
1942,26.361
1943,25.896
1944,26.070
1945,25.996
1946,25.917
1947,26.090
1948,25.928
1949,25.770
1950,26.024
1951,26.226
1952,26.412
1953,26.347
1954,25.970
1955,25.987
1956,25.870
1957,26.303
1958,26.727
1959,26.249
1960,26.158
1961,26.180
1962,26.276
1963,26.281
1964,26.396
1965,26.268
1966,26.447
1967,26.013
1968,25.908
1969,26.709
1970,26.261
1971,25.629
1972,26.092
1973,26.138
1974,25.841
1975,25.876
1976,26.004
1977,26.293
1978,26.306
1979,26.403
1980,26.456
1981,26.205
1982,26.353
1983,26.654
1984,25.887
1985,25.974
1986,26.292
1987,26.913
1988,26.409
1989,26.114
1990,26.566
1991,26.442
1992,26.504
1993,26.310
1994,26.430
1995,26.888
1996,26.488
1997,26.736
1998,27.138
1999,26.424
2000,26.394
2001,26.577
2002,26.608
2003,27.004
2004,26.871
2005,27.068
2006,26.821
2007,26.709
2008,26.619
2009,27.102
2010,27.116
2011,26.683
2012,26.800
2013,26.688
