date,value
1743,7.225
1744,12.950
1745,5.651
1750,12.013
1751,12.387
1752,8.186
1753,12.433
1754,13.545
1755,13.714
1756,11.651
1757,13.773
1758,11.634
1759,12.488
1760,12.351
1761,14.151
1762,12.407
1763,12.040
1764,11.577
1765,11.364
1766,12.480
1767,13.339
1768,12.570
1769,11.099
1770,12.114
1771,11.877
1772,12.553
1773,11.466
1774,12.477
1775,11.875
1776,11.991
1777,12.003
1778,12.076
1779,13.411
1780,12.432
1781,11.994
1782,11.985
1783,12.849
1784,13.185
1785,12.467
1786,11.554
1787,12.584
1788,12.801
1789,12.389
1790,11.631
1791,11.988
1792,11.359
1793,12.462
1794,12.135
1795,12.652
1796,11.494
1797,12.424
1798,12.921
1799,12.966
1800,11.715
1801,12.188
1802,12.152
1803,13.240
1804,11.268
1805,9.981
1806,11.816
1807,11.862
1808,11.361
1809,10.985
1810,11.389
1811,13.384
1812,12.796
1813,11.922
1814,11.496
1815,12.961
1816,11.091
1817,11.084
1818,11.390
1819,12.488
1820,12.277
1821,11.144
1822,12.366
1823,12.295
1824,11.703
1825,11.488
1826,12.451
1827,11.402
1828,12.411
1829,13.570
1830,13.685
1831,12.330
1832,10.659
1833,12.287
1834,12.202
1835,11.614
1836,12.357
1837,10.231
1838,11.309
1839,12.247
1840,11.424
1841,11.981
1842,13.044
1843,11.268
1844,13.035
1845,12.016
1846,12.276
1847,11.669
1848,12.753
1849,11.945
1850,11.783
1851,10.793
1852,11.413
1853,12.019
1854,10.818
1855,13.208
1856,10.919
1857,11.088
1858,12.941
1859,12.697
1860,10.692
1861,13.737
1862,12.823
1863,12.302
1864,11.293
1865,12.391
1866,11.584
1867,12.426
1868,11.977
1869,12.527
1870,12.412
1871,12.492
1872,12.225
1873,11.638
1874,10.746
1875,12.469
1876,12.221
1877,11.152
1878,12.205
1879,11.764
1880,12.463
1881,11.655
1882,11.761
1883,10.701
1884,10.928
1885,12.494
1886,11.423
1887,10.752
1888,12.612
1889,12.813
1890,11.818
1891,13.138
1892,12.040
1893,11.956
1894,12.286
1895,11.907
1896,11.866
1897,11.182
1898,11.934
1899,12.249
1900,11.827
1901,13.355
1902,11.880
1903,11.364
1904,11.640
1905,12.227
1906,10.937
1907,12.132
1908,11.526
1909,13.238
1910,11.505
1911,11.574
1912,10.655
1913,11.073
1914,11.795
1915,11.121
1916,12.063
1917,12.117
1918,11.282
1919,10.780
1920,11.816
1921,11.635
1922,13.056
1923,11.899
1924,12.007
1925,11.332
1926,12.005
1927,12.079
1928,11.772
1929,13.574
1930,12.143
1931,11.136
1932,12.354
1933,12.845
1934,12.355
1935,12.603
1936,11.904
1937,11.849
1938,11.321
1939,11.648
1940,14.013
1941,10.450
1942,13.731
1943,13.284
1944,11.170
1945,13.190
1946,13.302
1947,13.407
1948,11.776
1949,11.809
1950,13.644
1951,12.481
1952,11.888
1953,11.615
1954,13.543
1955,11.308
1956,11.842
1957,12.798
1958,11.917
1959,11.657
1960,11.843
1961,12.192
1962,11.894
1963,15.361
1964,12.372
1965,11.992
1966,13.171
1967,12.862
1968,12.699
1969,12.170
1970,11.311
1971,11.393
1972,11.494
1973,11.248
1974,11.745
1975,11.949
1976,11.042
1977,11.926
1978,10.767
1979,11.778
1980,11.691
1981,12.658
1982,11.922
1983,11.935
1984,11.194
1985,13.738
1986,12.519
1987,12.546
1988,11.990
1989,12.096
1990,12.434
1991,11.333
1992,12.549
1993,11.932
1994,13.110
1995,11.882
1996,11.126
1997,11.827
1998,13.239
1999,12.317
2000,14.443
2001,13.628
2002,12.899
2003,13.780
2004,11.919
2005,12.439
2006,13.373
2007,13.067
2008,12.977
2009,12.875
2010,11.961
2011,12.755
2012,14.265
2013,13.589
