date,value
1743,5.041
1744,13.296
1745,6.350
1750,13.072
1751,15.281
1752,6.412
1753,13.725
1754,12.091
1755,13.713
1756,12.433
1757,12.545
1758,12.471
1759,10.936
1760,11.949
1761,12.833
1762,10.834
1763,10.491
1764,10.934
1765,11.953
1766,13.712
1767,12.031
1768,12.501
1769,12.818
1770,11.623
1771,11.181
1772,11.716
1773,12.342
1774,13.750
1775,12.962
1776,11.829
1777,12.912
1778,12.745
1779,12.074
1780,13.592
1781,14.382
1782,13.074
1783,12.742
1784,13.160
1785,13.947
1786,12.387
1787,11.117
1788,13.650
1789,12.436
1790,11.139
1791,10.594
1792,13.356
1793,10.980
1794,13.086
1795,12.502
1796,11.022
1797,12.269
1798,12.860
1799,13.010
1800,15.291
1801,13.005
1802,11.857
1803,13.299
1804,11.761
1805,11.528
1806,10.490
1807,11.511
1808,14.567
1809,10.542
1810,11.851
1811,14.856
1812,11.525
1813,10.534
1814,11.310
1815,11.594
1816,12.307
1817,10.521
1818,12.167
1819,12.253
1820,13.288
1821,11.840
1822,13.211
1823,11.113
1824,11.480
1825,11.003
1826,12.343
1827,12.562
1828,13.429
1829,13.629
1830,12.354
1831,13.287
1832,11.051
1833,11.088
1834,13.064
1835,12.768
1836,11.167
1837,12.198
1838,12.388
1839,13.155
1840,13.791
1841,13.067
1842,11.556
1843,10.744
1844,12.837
1845,12.922
1846,13.080
1847,12.632
1848,12.896
1849,11.609
1850,10.666
1851,13.115
1852,9.908
1853,10.504
1854,11.426
1855,13.387
1856,12.434
1857,13.273
1858,12.719
1859,12.673
1860,11.450
1861,12.375
1862,14.269
1863,11.881
1864,12.182
1865,13.350
1866,12.290
1867,11.655
1868,11.784
1869,11.311
1870,12.431
1871,12.334
1872,13.247
1873,11.235
1874,11.496
1875,13.860
1876,11.873
1877,10.404
1878,12.161
1879,11.481
1880,12.129
1881,12.248
1882,11.172
1883,11.182
1884,10.215
1885,12.248
1886,12.001
1887,12.752
1888,12.383
1889,13.092
1890,13.344
1891,11.765
1892,11.877
1893,10.351
1894,12.065
1895,12.949
1896,13.036
1897,11.688
1898,11.299
1899,10.598
1900,10.306
1901,12.234
1902,10.042
1903,11.074
1904,10.974
1905,12.073
1906,11.973
1907,11.766
1908,12.488
1909,12.004
1910,10.195
1911,12.451
1912,10.092
1913,11.644
1914,11.550
1915,9.521
1916,10.476
1917,13.505
1918,10.005
1919,11.021
1920,9.965
1921,12.205
1922,12.712
1923,11.222
1924,12.958
1925,12.135
1926,11.540
1927,12.722
1928,12.097
1929,12.017
1930,11.543
1931,11.479
1932,13.504
1933,11.329
1934,13.522
1935,12.262
1936,11.330
1937,11.706
1938,12.328
1939,11.287
1940,12.623
1941,10.828
1942,12.057
1943,11.607
1944,11.812
1945,11.458
1946,13.200
1947,13.193
1948,12.545
1949,10.289
1950,12.089
1951,10.997
1952,12.212
1953,13.560
1954,12.257
1955,10.551
1956,11.321
1957,12.567
1958,11.376
1959,12.382
1960,12.571
1961,13.100
1962,12.940
1963,14.285
1964,12.090
1965,11.335
1966,11.903
1967,12.839
1968,12.819
1969,13.533
1970,11.784
1971,11.024
1972,11.277
1973,11.895
1974,10.389
1975,10.522
1976,11.667
1977,12.556
1978,11.109
1979,11.484
1980,11.168
1981,12.470
1982,12.804
1983,12.839
1984,11.896
1985,12.096
1986,13.637
1987,11.986
1988,11.189
1989,11.686
1990,11.947
1991,13.486
1992,13.276
1993,12.397
1994,11.545
1995,12.519
1996,13.289
1997,10.974
1998,11.640
1999,11.673
2000,13.016
2001,11.902
2002,13.917
2003,13.391
2004,11.485
2005,12.278
2006,13.160
2007,12.850
2008,11.531
2009,12.597
2010,12.775
2011,13.170
2012,14.047
2013,14.113
