date,value
1825,25.552
1839,24.785
1840,24.839
1841,24.581
1850,25.038
1851,25.248
1852,25.129
1853,25.179
1854,25.215
1855,25.269
1856,25.135
1866,25.261
1867,25.318
1868,25.329
1869,25.339
1870,25.040
1871,25.001
1872,25.188
1873,25.343
1874,25.281
1875,24.906
1876,25.049
1877,25.483
1878,25.876
1879,25.114
1880,25.157
1881,25.385
1882,25.305
1883,25.305
1884,24.930
1885,25.215
1886,25.220
1887,24.799
1888,25.323
1889,25.622
1890,25.033
1891,25.183
1892,25.223
1893,25.068
1894,25.045
1895,25.210
1896,25.252
1897,25.678
1898,25.303
1899,25.164
1900,25.735
1901,25.392
1902,25.205
1903,25.423
1904,25.029
1905,25.682
1906,25.654
1907,25.248
1908,25.349
1909,25.439
1910,25.406
1911,25.360
1912,25.499
1913,25.243
1914,25.453
1915,25.723
1916,25.370
1917,25.267
1918,25.070
1919,25.437
1920,25.522
1921,25.387
1922,25.350
1923,25.312
1924,25.529
1925,25.346
1926,25.794
1927,25.633
1928,25.702
1929,25.482
1930,25.665
1931,25.937
1932,25.681
1933,25.637
1934,25.567
1935,25.628
1936,25.725
1937,25.785
1938,25.687
1939,25.618
1940,25.656
1941,26.021
1942,26.170
1943,25.567
1944,25.681
1945,25.705
1946,25.914
1947,26.123
1948,25.909
1949,25.758
1950,25.654
1951,26.081
1952,26.078
1953,26.029
1954,25.816
1955,25.661
1956,25.672
1957,25.952
1958,26.169
1959,25.991
1960,26.029
1961,25.772
1962,25.789
1963,25.839
1964,25.836
1965,25.702
1966,25.944
1967,25.835
1968,25.951
1969,26.113
1970,26.060
1971,25.793
1972,26.062
1973,26.222
1974,25.897
1975,25.899
1976,25.781
1977,25.903
1978,25.985
1979,26.060
1980,26.030
1981,26.031
1982,25.942
1983,26.238
1984,25.773
1985,25.994
1986,26.057
1987,26.368
1988,26.251
1989,26.054
1990,26.238
1991,26.075
1992,26.170
1993,26.139
1994,26.084
1995,26.230
1996,26.215
1997,26.372
1998,26.755
1999,26.134
2000,26.190
2001,26.330
2002,26.529
2003,26.446
2004,26.435
2005,26.454
2006,26.382
2007,26.293
2008,26.065
2009,26.455
2010,26.537
2011,26.202
2012,26.322
2013,26.467
