date,value
1743,9.538
1744,14.006
1745,6.103
1750,13.271
1751,13.615
1752,8.750
1753,12.737
1754,12.563
1755,13.524
1756,12.849
1757,12.533
1758,11.792
1759,12.898
1760,12.732
1761,12.972
1762,12.743
1763,12.312
1764,12.931
1765,12.769
1766,12.612
1767,13.362
1768,11.811
1769,12.566
1770,12.517
1771,12.680
1772,14.048
1773,12.642
1774,12.723
1775,13.149
1776,12.414
1777,12.286
1778,13.160
1779,13.352
1780,13.099
1781,13.274
1782,12.200
1783,12.965
1784,12.346
1785,12.118
1786,12.291
1787,12.923
1788,13.157
1789,12.358
1790,12.993
1791,13.170
1792,12.759
1793,12.664
1794,13.174
1795,12.546
1796,12.802
1797,13.204
1798,12.929
1799,12.027
1800,13.165
1801,13.356
1802,13.487
1803,12.542
1804,13.028
1805,11.692
1806,12.941
1807,13.016
1808,11.537
1809,12.235
1810,12.545
1811,13.235
1812,11.624
1813,12.114
1814,11.515
1815,12.118
1816,11.302
1817,12.311
1818,12.666
1819,12.709
1820,12.554
1821,12.437
1822,13.564
1823,12.268
1824,12.792
1825,12.779
1826,12.571
1827,12.561
1828,13.051
1829,11.692
1830,12.495
1831,12.719
1832,12.236
1833,12.349
1834,13.142
1835,11.832
1836,12.162
1837,11.617
1838,11.873
1839,12.622
1840,12.202
1841,13.185
1842,12.201
1843,12.449
1844,12.398
1845,12.364
1846,13.493
1847,12.241
1848,12.567
1849,12.537
1850,11.792
1851,11.963
1852,12.784
1853,12.277
1854,12.087
1855,12.058
1856,12.391
1857,12.273
1858,11.833
1859,12.774
1860,11.936
1861,12.650
1862,13.118
1863,13.248
1864,11.985
1865,12.794
1866,12.858
1867,12.862
1868,12.904
1869,12.523
1870,12.096
1871,11.875
1872,13.166
1873,12.863
1874,12.202
1875,12.099
1876,12.690
1877,12.639
1878,12.578
1879,12.167
1880,12.750
1881,12.517
1882,12.803
1883,11.998
1884,12.169
1885,12.604
1886,12.575
1887,12.164
1888,12.036
1889,12.002
1890,11.943
1891,11.955
1892,12.577
1893,12.542
1894,12.520
1895,12.359
1896,11.950
1897,12.719
1898,13.083
1899,12.819
1900,12.998
1901,12.206
1902,12.517
1903,12.474
1904,12.932
1905,12.243
1906,12.330
1907,12.421
1908,12.338
1909,12.146
1910,12.374
1911,12.904
1912,12.214
1913,12.663
1914,12.341
1915,12.428
1916,13.012
1917,12.293
1918,12.400
1919,12.170
1920,13.341
1921,13.045
1922,12.586
1923,13.003
1924,12.761
1925,12.570
1926,13.157
1927,13.439
1928,13.221
1929,12.424
1930,13.224
1931,12.718
1932,12.669
1933,12.399
1934,13.323
1935,12.828
1936,12.974
1937,13.185
1938,12.694
1939,12.696
1940,11.888
1941,12.046
1942,12.798
1943,13.694
1944,12.550
1945,13.352
1946,13.323
1947,13.601
1948,13.204
1949,13.355
1950,13.713
1951,13.344
1952,13.261
1953,13.041
1954,12.448
1955,13.031
1956,13.170
1957,13.048
1958,13.152
1959,13.089
1960,13.073
1961,13.571
1962,12.658
1963,12.605
1964,12.991
1965,12.456
1966,13.041
1967,13.137
1968,12.845
1969,12.630
1970,12.841
1971,12.789
1972,12.717
1973,12.798
1974,12.808
1975,12.937
1976,12.503
1977,13.039
1978,12.374
1979,12.898
1980,12.240
1981,12.777
1982,13.440
1983,13.188
1984,12.486
1985,13.058
1986,13.133
1987,13.176
1988,13.508
1989,13.329
1990,13.717
1991,12.853
1992,13.582
1993,13.410
1994,14.285
1995,13.234
1996,13.007
1997,13.839
1998,13.662
1999,13.763
2000,14.126
2001,13.954
2002,13.934
2003,14.297
2004,13.560
2005,13.029
2006,13.787
2007,14.073
2008,13.881
2009,14.053
2010,13.325
2011,14.173
2012,14.079
2013,14.165
