date,value
1824,26.142
1825,26.085
1826,26.151
1827,26.666
1828,26.385
1829,25.674
1830,26.366
1831,25.438
1832,25.396
1834,22.947
1835,25.232
1836,25.561
1837,25.485
1838,25.275
1839,25.563
1840,25.589
1841,25.297
1842,25.701
1843,25.564
1844,25.102
1845,25.122
1846,25.937
1847,25.698
1848,25.695
1849,26.143
1850,25.982
1851,25.768
1852,25.455
1853,25.695
1854,25.637
1855,25.840
1856,26.314
1857,25.162
1858,25.304
1859,25.495
1860,25.550
1861,25.842
1862,25.809
1863,25.800
1864,25.388
1865,25.853
1866,25.245
1867,25.639
1868,26.042
1869,26.617
1870,25.727
1871,25.680
1872,26.061
1873,25.400
1874,25.725
1875,25.962
1876,26.088
1877,26.244
1878,26.789
1879,26.007
1880,25.897
1881,25.526
1882,25.467
1883,26.018
1884,25.425
1885,25.665
1886,25.550
1887,25.418
1888,25.727
1889,25.977
1890,25.535
1891,26.065
1892,25.607
1893,25.460
1894,25.424
1895,25.587
1896,25.778
1897,26.249
1898,25.889
1899,25.914
1900,26.200
1901,25.602
1902,25.859
1903,26.089
1904,25.733
1905,26.032
1906,25.863
1907,25.897
1908,25.944
1909,25.648
1910,25.387
1911,26.070
1912,26.112
1913,25.728
1914,26.021
1915,26.205
1916,25.781
1917,25.478
1918,25.729
1919,26.171
1920,26.056
1921,26.014
1922,26.033
1923,26.140
1924,26.324
1925,26.055
1926,26.383
1927,26.269
1928,26.228
1929,26.147
1930,26.311
1931,26.343
1932,26.260
1933,25.952
1934,25.905
1935,25.795
1936,26.179
1937,26.214
1938,25.991
1939,26.059
1940,26.475
1941,26.647
1942,26.580
1943,26.252
1944,26.159
1945,26.066
1946,26.260
1947,26.406
1948,26.471
1949,26.037
1950,25.723
1951,26.142
1952,26.361
1953,26.517
1954,26.143
1955,26.043
1956,26.035
1957,26.246
1958,26.502
1959,26.332
1960,26.464
1961,26.484
1962,26.117
1963,26.118
1964,26.406
1965,26.267
1966,26.183
1967,26.186
1968,26.195
1969,26.543
1970,26.151
1971,26.099
1972,26.406
1973,26.510
1974,26.034
1975,26.265
1976,26.297
1977,26.558
1978,26.394
1979,26.340
1980,26.663
1981,26.380
1982,26.660
1983,26.846
1984,26.355
1985,26.238
1986,26.321
1987,26.863
1988,26.736
1989,26.438
1990,26.740
1991,26.688
1992,26.720
1993,26.523
1994,26.911
1995,26.894
1996,26.475
1997,27.199
1998,27.236
1999,26.536
2000,26.469
2001,26.703
2002,27.001
2003,27.066
2004,26.904
2005,26.835
2006,27.034
2007,27.014
2008,26.622
2009,26.860
2010,26.521
2011,26.641
2012,26.885
2013,27.125
