date,value
1808,14.386
1809,17.934
1810,17.947
1811,18.008
1812,18.011
1813,18.640
1814,18.653
1815,19.312
1817,20.725
1818,7.855
1819,17.062
1820,18.572
1821,18.776
1822,18.661
1823,18.882
1824,19.672
1825,19.112
1826,19.043
1827,19.843
1828,19.061
1829,19.044
1830,19.352
1831,18.604
1832,18.137
1833,18.912
1834,18.784
1835,18.302
1836,18.735
1837,18.465
1838,18.267
1839,18.500
1840,18.577
1841,18.918
1842,19.051
1843,18.939
1844,18.742
1845,18.929
1846,19.612
1847,19.179
1848,19.021
1849,19.086
1850,18.508
1851,19.403
1852,19.147
1853,19.653
1854,18.792
1855,19.207
1856,18.649
1857,18.332
1858,19.102
1859,19.182
1860,19.542
1861,18.074
1862,17.990
1863,18.514
1864,19.268
1865,19.641
1866,19.378
1867,19.449
1868,19.110
1869,19.614
1870,19.316
1871,18.592
1872,19.315
1873,19.633
1874,18.973
1875,18.006
1876,19.321
1877,19.837
1878,19.752
1879,19.881
1880,18.904
1881,19.522
1882,18.774
1883,19.151
1884,18.700
1885,19.337
1886,18.742
1887,19.272
1888,19.313
1889,19.488
1890,19.280
1891,19.335
1892,19.540
1893,18.902
1894,18.507
1895,18.856
1896,19.102
1897,18.633
1898,19.089
1899,19.266
1900,19.559
1901,20.114
1902,19.609
1903,18.895
1904,18.888
1905,18.936
1906,19.241
1907,18.523
1908,18.747
1909,19.754
1910,18.834
1911,18.512
1912,19.107
1913,18.573
1914,18.832
1915,19.481
1916,19.601
1917,19.375
1918,19.085
1919,19.464
1920,18.669
1921,18.751
1922,19.622
1923,19.649
1924,19.581
1925,19.406
1926,19.352
1927,19.676
1928,19.864
1929,19.479
1930,19.970
1931,19.634
1932,19.447
1933,19.029
1934,19.536
1935,20.078
1936,19.961
1937,20.133
1938,19.274
1939,19.773
1940,19.739
1941,19.828
1942,19.613
1943,19.165
1944,19.546
1945,18.997
1946,19.613
1947,20.372
1948,18.904
1949,18.583
1950,19.401
1951,20.029
1952,20.145
1953,19.161
1954,19.894
1955,20.328
1956,19.414
1957,19.487
1958,19.906
1959,18.861
1960,20.471
1961,19.335
1962,20.703
1963,20.345
1964,19.022
1965,19.752
1966,20.321
1967,18.645
1968,19.691
1969,20.136
1970,19.844
1971,19.332
1972,19.116
1973,19.498
1974,19.379
1975,19.272
1976,19.230
1977,19.711
1978,19.997
1979,20.508
1980,19.845
1981,19.770
1982,18.851
1983,18.918
1984,19.357
1985,19.916
1986,19.742
1987,19.897
1988,19.811
1989,19.754
1990,19.922
1991,19.792
1992,18.605
1993,19.680
1994,20.266
1995,19.848
1996,20.422
1997,19.485
1998,20.774
1999,20.621
2000,20.045
2001,20.731
2002,20.323
2003,20.331
2004,20.255
2005,20.137
2006,20.173
2007,20.440
2008,20.573
2009,20.499
2010,22.228
2011,20.115
2012,20.820
2013,21.319
