date,value
1841,13.341
1842,11.446
1843,11.627
1844,11.216
1845,11.381
1846,11.824
1847,11.660
1848,12.703
1849,11.605
1850,12.172
1851,11.118
1852,12.191
1853,13.627
1854,12.768
1855,12.041
1856,12.596
1857,11.400
1858,11.687
1859,13.896
1860,12.165
1861,13.659
1862,12.296
1863,11.808
1864,13.762
1865,11.724
1866,13.511
1867,12.839
1868,11.644
1869,11.522
1870,11.575
1871,13.872
1872,12.651
1873,13.322
1874,11.747
1875,11.687
1876,13.082
1877,12.230
1878,12.787
1879,12.078
1880,12.971
1881,12.656
1882,11.740
1883,11.408
1884,11.522
1885,13.428
1886,14.390
1887,11.678
1888,12.743
1889,12.160
1890,12.842
1891,12.965
1892,11.536
1893,13.613
1894,12.448
1895,12.705
1896,11.681
1897,11.216
1898,11.901
1899,11.828
1900,13.875
1901,11.680
1902,12.605
1903,11.843
1904,12.913
1905,12.685
1906,12.237
1907,12.451
1908,11.096
1909,13.727
1910,12.416
1911,11.980
1912,11.453
1913,12.041
1914,12.487
1915,12.061
1916,12.545
1917,12.478
1918,12.727
1919,11.951
1920,12.214
1921,11.572
1922,13.382
1923,13.064
1924,11.642
1925,12.852
1926,11.302
1927,12.877
1928,12.058
1929,14.210
1930,13.413
1931,13.833
1932,11.983
1933,14.385
1934,12.565
1935,11.893
1936,14.005
1937,12.211
1938,13.189
1939,13.265
1940,13.133
1941,11.919
1942,14.491
1943,13.127
1944,14.070
1945,13.707
1946,12.361
1947,12.417
1948,12.796
1949,12.103
1950,12.590
1951,12.147
1952,13.039
1953,11.965
1954,12.224
1955,12.729
1956,12.019
1957,12.055
1958,12.570
1959,12.958
1960,12.600
1961,14.246
1962,12.466
1963,13.441
1964,12.350
1965,11.688
1966,12.134
1967,12.266
1968,13.330
1969,11.849
1970,13.017
1971,11.983
1972,12.592
1973,12.415
1974,11.791
1975,12.337
1976,11.748
1977,14.808
1978,13.691
1979,12.843
1980,11.795
1981,12.725
1982,12.336
1983,12.122
1984,14.140
1985,13.482
1986,14.106
1987,12.544
1988,11.968
1989,12.912
1990,13.591
1991,12.783
1992,12.484
1993,12.055
1994,13.230
1995,12.475
1996,12.083
1997,12.752
1998,13.245
1999,13.080
2000,12.834
2001,12.450
2002,12.837
2003,12.507
2004,13.436
2005,12.556
2006,12.757
2007,13.192
2008,12.875
2009,12.934
2010,13.216
2011,13.900
2012,12.566
2013,12.965
