date,value
1850,23.367
1859,23.743
1864,23.450
1875,23.101
1876,23.413
1877,24.002
1878,24.135
1880,23.699
1881,23.886
1882,23.628
1883,23.490
1884,23.319
1885,23.537
1886,23.571
1887,23.365
1888,23.498
1889,23.855
1890,23.551
1891,23.525
1892,23.735
1893,23.616
1894,23.828
1895,23.845
1896,23.885
1897,23.993
1898,24.350
1899,23.908
1900,24.130
1901,24.294
1902,24.088
1903,24.034
1904,23.633
1905,23.726
1906,23.382
1907,23.468
1908,23.877
1909,23.567
1910,23.796
1911,23.829
1912,23.729
1913,23.883
1914,24.296
1915,24.265
1916,23.755
1917,23.502
1918,23.772
1919,24.088
1920,23.544
1921,23.718
1922,23.559
1923,23.536
1924,23.819
1925,23.819
1926,23.927
1927,23.905
1928,23.982
1929,24.104
1930,24.034
1931,24.458
1932,23.989
1933,24.232
1934,24.208
1935,24.151
1936,24.003
1937,23.980
1938,23.900
1939,24.158
1940,24.331
1941,24.446
1942,24.072
1943,24.130
1944,24.166
1945,24.255
1946,24.140
1947,23.969
1948,24.070
1949,24.374
1950,23.945
1951,23.990
1952,24.390
1953,24.366
1954,24.108
1955,24.129
1956,23.784
1957,24.047
1958,24.345
1959,24.297
1960,24.096
1961,24.220
1962,24.002
1963,23.945
1964,23.765
1965,23.977
1966,24.217
1967,24.136
1968,23.580
1969,24.279
1970,24.230
1971,23.857
1972,24.397
1973,24.483
1974,24.029
1975,24.149
1976,24.313
1977,24.330
1978,24.076
1979,24.241
1980,24.722
1981,24.321
1982,24.359
1983,24.776
1984,24.292
1985,24.170
1986,24.420
1987,25.016
1988,24.660
1989,24.022
1990,24.132
1991,24.372
1992,24.409
1993,24.282
1994,24.525
1995,24.475
1996,24.453
1997,24.565
1998,24.591
1999,24.571
2000,24.717
2001,24.458
2002,24.662
2003,24.858
2004,24.867
2005,25.134
2006,24.820
2007,24.789
2008,24.650
2009,25.228
2010,24.961
2011,24.966
2012,24.925
2013,24.935
