date,value
1825,26.568
1839,25.968
1840,26.146
1841,26.676
1842,26.338
1843,26.393
1844,25.855
1845,25.428
1846,26.252
1847,25.776
1850,26.131
1851,26.285
1852,26.149
1853,26.368
1854,26.388
1855,26.227
1856,25.964
1857,26.128
1858,26.312
1859,26.325
1860,26.142
1861,26.038
1862,24.869
1863,26.079
1864,25.945
1865,26.368
1866,26.350
1867,26.318
1868,26.519
1869,26.007
1870,25.967
1871,26.096
1872,26.349
1873,26.408
1874,26.468
1875,25.987
1876,25.850
1877,26.553
1878,26.918
1879,26.342
1880,26.227
1881,26.413
1882,26.306
1883,26.091
1884,25.855
1885,26.309
1886,26.179
1887,25.920
1888,26.506
1889,26.604
1890,26.252
1891,26.468
1892,25.849
1893,25.837
1894,26.069
1895,26.403
1896,26.422
1897,26.729
1898,26.242
1899,26.161
1900,26.631
1901,26.474
1902,26.596
1903,26.577
1904,26.071
1905,26.651
1906,26.618
1907,26.300
1908,26.343
1909,26.523
1910,26.506
1911,26.654
1912,26.710
1913,26.391
1914,26.806
1915,26.814
1916,26.077
1917,26.049
1918,26.213
1919,26.868
1920,26.586
1921,26.317
1922,26.575
1923,26.454
1924,26.563
1925,26.344
1926,26.845
1927,26.522
1928,26.425
1929,26.337
1930,26.519
1931,26.981
1932,26.545
1933,26.668
1934,26.396
1935,27.097
1936,26.839
1937,27.083
1938,26.686
1939,26.588
1940,26.972
1941,27.595
1942,26.873
1943,26.362
1944,26.878
1945,26.667
1946,27.202
1947,27.076
1948,26.770
1949,26.984
1950,26.789
1951,26.836
1952,26.915
1953,27.101
1954,26.944
1955,26.672
1956,26.524
1957,26.971
1958,27.206
1959,27.304
1960,27.172
1961,26.977
1962,26.699
1963,26.683
1964,27.014
1965,26.921
1966,27.380
1967,26.655
1968,27.009
1969,27.265
1970,27.009
1971,26.364
1972,26.993
1973,27.229
1974,26.732
1975,26.802
1976,26.648
1977,26.920
1978,27.027
1979,27.248
1980,27.207
1981,27.065
1982,26.948
1983,27.195
1984,26.802
1985,26.969
1986,26.807
1987,27.367
1988,27.117
1989,26.963
1990,27.259
1991,27.201
1992,27.071
1993,26.908
1994,27.123
1995,27.080
1996,26.839
1997,27.219
1998,27.957
1999,26.835
2000,27.057
2001,27.246
2002,27.555
2003,27.299
2004,27.179
2005,27.390
2006,27.414
2007,27.242
2008,26.897
2009,27.253
2010,27.875
2011,27.004
2012,27.806
2013,28.260
