date,value
1816,22.890
1817,22.223
1818,22.938
1819,22.279
1820,23.055
1821,23.217
1822,23.354
1823,23.303
1825,23.533
1833,23.239
1834,23.220
1835,22.265
1836,22.664
1837,22.991
1838,24.634
1839,23.821
1840,23.132
1841,23.608
1842,23.254
1843,23.332
1844,22.812
1845,22.665
1846,23.189
1847,22.751
1848,22.833
1849,22.997
1850,23.147
1851,23.287
1852,23.126
1853,23.451
1854,23.445
1855,23.201
1856,22.835
1857,23.440
1858,23.239
1859,23.294
1860,23.134
1861,23.007
1862,19.068
1863,23.007
1864,22.878
1865,23.390
1866,23.345
1867,23.382
1868,23.482
1869,23.048
1870,23.166
1871,23.256
1872,23.422
1873,23.368
1874,23.424
1875,23.036
1876,22.911
1877,23.449
1878,23.895
1879,23.509
1880,23.133
1881,23.334
1882,23.269
1883,22.993
1884,22.734
1885,23.135
1886,23.126
1887,23.039
1888,23.494
1889,23.594
1890,23.405
1891,23.490
1892,22.857
1893,22.761
1894,23.138
1895,23.412
1896,23.420
1897,23.721
1898,23.456
1899,23.137
1900,23.509
1901,23.472
1902,23.898
1903,23.292
1904,23.247
1905,23.525
1906,23.704
1907,23.116
1908,23.212
1909,23.596
1910,23.442
1911,23.770
1912,23.405
1913,23.103
1914,23.894
1915,23.846
1916,23.152
1917,22.918
1918,23.195
1919,23.888
1920,23.675
1921,23.451
1922,23.718
1923,23.797
1924,23.741
1925,23.228
1926,23.667
1927,23.557
1928,23.564
1929,23.498
1930,23.399
1931,24.106
1932,23.303
1933,23.505
1934,23.152
1935,24.208
1936,23.427
1937,24.105
1938,23.691
1939,23.713
1940,23.772
1941,24.410
1942,24.037
1943,23.541
1944,24.087
1945,23.607
1946,24.500
1947,24.048
1948,23.786
1949,23.894
1950,23.772
1951,23.725
1952,23.988
1953,24.147
1954,24.027
1955,23.531
1956,23.669
1957,24.125
1958,23.954
1959,24.148
1960,24.113
1961,24.031
1962,23.609
1963,23.663
1964,23.823
1965,24.028
1966,24.536
1967,23.532
1968,23.847
1969,24.126
1970,23.989
1971,23.201
1972,23.910
1973,24.074
1974,23.565
1975,23.813
1976,23.523
1977,23.806
1978,23.857
1979,24.257
1980,24.283
1981,24.024
1982,23.870
1983,23.858
1984,23.736
1985,23.820
1986,23.745
1987,24.351
1988,23.993
1989,23.819
1990,24.057
1991,24.260
1992,23.712
1993,23.770
1994,24.061
1995,23.946
1996,23.702
1997,24.118
1998,24.869
1999,23.937
2000,23.835
2001,24.155
2002,24.220
2003,24.332
2004,23.864
2005,24.318
2006,24.406
2007,24.211
2008,23.632
2009,24.366
2010,24.934
2011,23.611
2012,24.908
2013,25.385
