date,value
1808,13.802
1809,16.313
1810,16.370
1811,16.397
1812,16.341
1813,16.880
1814,16.969
1815,16.676
1816,16.247
1817,16.436
1818,17.272
1819,16.795
1820,16.946
1821,17.038
1822,16.885
1823,17.254
1824,18.065
1825,17.337
1826,17.258
1827,18.169
1828,17.332
1829,17.307
1830,17.618
1831,16.933
1832,16.287
1833,17.188
1834,17.042
1835,16.607
1836,17.042
1837,16.725
1838,16.515
1839,16.791
1840,16.810
1841,17.318
1842,17.274
1843,17.232
1844,17.056
1845,17.295
1846,17.939
1847,17.500
1848,17.418
1849,17.411
1850,16.836
1851,17.777
1852,17.498
1853,18.052
1854,17.048
1855,17.516
1856,17.010
1857,16.640
1858,17.290
1859,17.476
1860,17.878
1861,16.348
1862,16.327
1863,16.858
1864,17.517
1865,17.860
1866,17.701
1867,17.658
1868,17.255
1869,17.878
1870,17.632
1871,16.976
1872,17.735
1873,18.022
1874,17.217
1875,16.385
1876,17.761
1877,18.103
1878,18.034
1879,18.307
1880,16.955
1881,17.594
1882,16.902
1883,17.451
1884,16.963
1885,17.844
1886,17.245
1887,17.780
1888,17.638
1889,17.853
1890,17.628
1891,17.588
1892,17.841
1893,17.221
1894,16.864
1895,17.281
1896,17.316
1897,16.814
1898,17.318
1899,17.515
1900,17.877
1901,18.388
1902,17.932
1903,17.245
1904,17.206
1905,17.171
1906,17.393
1907,16.784
1908,16.948
1909,17.973
1910,17.121
1911,16.600
1912,17.387
1913,16.918
1914,17.066
1915,17.752
1916,18.030
1917,17.896
1918,17.422
1919,17.776
1920,16.830
1921,17.009
1922,17.931
1923,18.019
1924,17.832
1925,17.743
1926,17.842
1927,18.084
1928,18.175
1929,17.713
1930,18.305
1931,17.949
1932,17.800
1933,17.239
1934,17.921
1935,18.381
1936,18.141
1937,18.416
1938,17.572
1939,18.168
1940,18.054
1941,18.273
1942,17.891
1943,17.542
1944,17.787
1945,17.446
1946,18.027
1947,18.762
1948,17.294
1949,17.020
1950,17.695
1951,18.166
1952,18.303
1953,17.182
1954,18.148
1955,18.709
1956,17.691
1957,17.873
1958,18.249
1959,17.253
1960,18.837
1961,17.763
1962,18.863
1963,18.512
1964,17.334
1965,17.901
1966,18.645
1967,17.020
1968,18.079
1969,18.273
1970,18.263
1971,17.714
1972,17.344
1973,17.795
1974,17.779
1975,17.690
1976,17.479
1977,17.937
1978,18.254
1979,18.609
1980,17.885
1981,18.148
1982,17.325
1983,17.316
1984,17.773
1985,18.255
1986,18.112
1987,17.912
1988,17.970
1989,18.107
1990,18.185
1991,18.115
1992,16.921
1993,17.926
1994,18.664
1995,18.105
1996,18.500
1997,17.732
1998,19.002
1999,18.982
2000,18.377
2001,19.063
2002,18.677
2003,18.554
2004,18.474
2005,18.393
2006,18.314
2007,18.755
2008,18.957
2009,18.852
2010,20.269
2011,18.262
2012,18.989
2013,19.178
