date,value
1791,24.825
1792,22.120
1793,21.830
1794,22.121
1795,22.239
1796,22.340
1797,22.174
1798,22.526
1799,22.745
1800,22.516
1801,22.681
1802,22.770
1803,22.974
1804,22.764
1805,22.372
1806,22.143
1807,22.205
1808,21.512
1809,20.937
1810,21.016
1811,21.208
1812,20.956
1813,21.524
1814,21.241
1815,21.368
1816,20.850
1817,21.109
1818,21.925
1819,21.412
1820,21.778
1821,21.646
1822,22.095
1823,21.615
1824,22.169
1825,21.985
1826,21.957
1827,22.356
1828,22.155
1829,21.985
1830,22.329
1831,21.696
1832,21.674
1833,21.880
1834,21.783
1835,21.189
1836,21.529
1837,21.209
1838,21.605
1839,21.632
1840,21.937
1841,21.942
1842,22.043
1843,21.998
1844,21.870
1845,21.928
1846,22.600
1847,21.995
1848,21.770
1849,21.921
1850,21.539
1851,21.762
1852,22.063
1853,22.324
1854,21.728
1855,22.174
1856,21.641
1857,21.520
1858,21.935
1859,21.965
1860,22.148
1861,21.726
1862,21.943
1863,22.053
1864,22.154
1865,22.188
1866,22.320
1867,22.457
1868,21.789
1869,22.150
1870,22.223
1871,22.062
1872,22.198
1873,22.122
1874,21.861
1875,21.562
1876,22.066
1877,22.128
1878,22.639
1879,22.157
1880,22.198
1881,22.530
1882,21.646
1883,21.604
1884,21.226
1885,21.805
1886,21.536
1887,22.093
1888,21.930
1889,21.961
1890,21.710
1891,21.832
1892,22.244
1893,21.924
1894,22.112
1895,22.356
1896,22.008
1897,22.030
1898,22.205
1899,22.126
1900,22.171
1901,22.345
1902,22.120
1903,21.763
1904,21.853
1905,21.971
1906,22.129
1907,21.546
1908,21.780
1909,22.154
1910,21.665
1911,21.889
1912,21.767
1913,22.178
1914,22.396
1915,22.484
1916,22.528
1917,21.941
1918,22.219
1919,22.355
1920,22.030
1921,22.141
1922,22.216
1923,21.981
1924,22.610
1925,22.516
1926,22.548
1927,22.723
1928,22.772
1929,21.873
1930,22.706
1931,23.084
1932,22.865
1933,22.613
1934,22.624
1935,22.358
1936,22.558
1937,22.777
1938,22.078
1939,22.827
1940,22.394
1941,22.814
1942,22.784
1943,22.515
1944,22.349
1945,22.180
1946,22.828
1947,23.068
1948,22.045
1949,21.779
1950,21.881
1951,22.695
1952,22.721
1953,22.292
1954,22.058
1955,23.310
1956,22.089
1957,22.403
1958,22.794
1959,22.129
1960,23.135
1961,21.818
1962,22.629
1963,23.027
1964,22.251
1965,22.115
1966,22.513
1967,22.051
1968,22.465
1969,23.135
1970,22.254
1971,22.208
1972,22.651
1973,22.146
1974,22.135
1975,22.153
1976,22.315
1977,22.517
1978,22.411
1979,22.785
1980,22.370
1981,22.610
1982,22.410
1983,22.202
1984,22.502
1985,22.684
1986,22.542
1987,22.805
1988,23.115
1989,22.656
1990,23.101
1991,22.618
1992,22.398
1993,23.003
1994,22.816
1995,22.950
1996,23.123
1997,23.046
1998,23.276
1999,23.694
2000,22.835
2001,23.413
2002,23.409
2003,23.369
2004,23.278
2005,23.257
2006,23.315
2007,23.326
2008,23.474
2009,23.380
2010,24.516
2011,22.988
2012,23.271
2013,24.314
