date,value
1796,26.639
1797,27.162
1798,27.062
1799,26.941
1800,26.959
1801,26.930
1802,27.504
1803,27.279
1804,27.691
1805,27.099
1806,26.974
1807,26.732
1813,26.326
1814,26.122
1815,25.877
1816,25.388
1817,25.677
1818,26.135
1819,25.932
1820,26.005
1821,26.504
1822,26.456
1823,26.627
1824,27.165
1825,26.808
1826,26.959
1827,26.856
1828,26.699
1829,26.536
1830,26.577
1831,26.447
1832,26.559
1833,26.564
1834,26.691
1835,25.956
1836,26.212
1837,26.145
1838,26.292
1839,26.264
1840,26.271
1841,26.248
1842,26.351
1843,26.224
1844,26.395
1845,26.537
1846,26.990
1847,26.431
1848,26.422
1849,26.454
1850,26.449
1851,26.595
1852,26.545
1853,26.786
1854,26.679
1855,26.668
1856,26.345
1857,26.206
1858,26.720
1859,26.588
1860,26.519
1861,26.262
1862,25.150
1865,27.304
1866,27.134
1867,27.082
1868,27.308
1869,27.059
1870,26.494
1871,26.517
1872,26.643
1873,26.603
1874,26.558
1875,26.699
1876,26.689
1877,26.816
1878,27.106
1879,26.579
1880,26.661
1881,26.888
1882,26.650
1883,26.461
1884,26.433
1885,26.578
1886,26.722
1887,26.440
1888,26.874
1889,27.014
1890,26.679
1891,26.699
1892,26.752
1893,26.509
1894,26.796
1895,26.906
1896,27.049
1897,27.257
1898,26.989
1899,26.728
1900,27.242
1901,27.148
1902,27.012
1903,27.003
1904,26.590
1905,26.995
1906,27.151
1907,26.667
1908,26.700
1909,26.762
1910,26.604
1911,26.861
1912,26.980
1913,27.031
1914,27.290
1915,27.431
1916,26.908
1917,26.622
1918,26.818
1919,27.147
1920,26.935
1921,27.009
1922,26.868
1923,26.836
1924,26.981
1925,26.855
1926,27.251
1927,26.968
1928,27.136
1929,26.858
1930,26.892
1931,27.222
1932,26.819
1933,26.689
1934,26.835
1935,27.010
1936,27.086
1937,27.184
1938,27.105
1939,26.977
1940,27.260
1941,27.488
1942,27.266
1943,26.780
1944,27.025
1945,27.057
1946,27.165
1947,27.101
1948,27.285
1949,27.010
1950,26.974
1951,27.015
1952,27.271
1953,27.250
1954,27.038
1955,26.888
1956,26.869
1957,27.126
1958,27.444
1959,27.316
1960,27.039
1961,27.015
1962,27.089
1963,27.107
1964,27.240
1965,27.089
1966,27.421
1967,27.063
1968,27.136
1969,27.415
1970,27.213
1971,26.843
1972,27.163
1973,27.456
1974,26.894
1975,26.971
1976,27.151
1977,27.239
1978,27.325
1979,27.561
1980,27.655
1981,27.335
1982,27.407
1983,27.827
1984,27.082
1985,27.350
1986,27.415
1987,27.840
1988,27.613
1989,27.291
1990,27.529
1991,27.560
1992,27.270
1993,27.367
1994,27.365
1995,27.588
1996,27.400
1997,27.658
1998,28.153
1999,27.361
2000,27.470
2001,27.663
2002,27.796
2003,27.797
2004,27.606
2005,27.724
2006,27.572
2007,27.557
2008,27.441
2009,27.745
2010,27.883
2011,27.669
2012,27.950
2013,28.175
