date,value
1857,12.905
1858,13.197
1859,13.248
1860,13.563
1861,13.261
1862,12.851
1863,13.215
1864,13.259
1865,13.614
1866,13.506
1867,13.575
1868,13.218
1869,13.587
1870,13.250
1871,13.383
1872,13.365
1873,12.769
1874,13.346
1875,13.107
1876,13.097
1877,13.565
1878,13.422
1879,12.988
1880,13.654
1881,13.361
1882,13.117
1883,13.397
1884,13.072
1885,13.506
1886,13.589
1887,13.089
1888,13.518
1889,13.853
1890,13.311
1891,13.412
1892,13.356
1893,13.081
1894,13.245
1895,13.271
1896,13.998
1897,13.461
1898,12.969
1899,13.343
1900,13.843
1901,13.324
1902,13.119
1903,13.306
1904,13.189
1905,13.282
1906,13.028
1907,13.015
1908,13.366
1909,13.419
1910,12.899
1911,13.185
1912,13.721
1913,13.731
1914,13.933
1915,13.418
1916,13.415
1917,12.918
1918,13.257
1919,13.762
1920,13.652
1921,13.125
1922,13.893
1923,13.944
1924,13.020
1925,13.448
1926,13.807
1927,13.942
1928,13.661
1929,13.821
1930,13.392
1931,13.727
1932,14.095
1933,13.927
1934,13.768
1935,13.097
1936,13.479
1937,13.927
1938,13.991
1939,13.463
1940,14.131
1941,14.305
1942,13.873
1943,13.082
1944,13.971
1945,14.042
1946,14.085
1947,13.989
1948,13.809
1949,14.153
1950,14.001
1951,13.422
1952,13.998
1953,13.678
1954,13.464
1955,12.982
1956,13.582
1957,13.869
1958,14.092
1959,13.746
1960,13.900
1961,14.093
1962,14.274
1963,13.830
1964,13.765
1965,13.951
1966,14.284
1967,13.756
1968,13.541
1969,14.341
1970,14.287
1971,13.800
1972,13.912
1973,13.849
1974,13.663
1975,13.560
1976,13.428
1977,14.279
1978,13.877
1979,14.246
1980,14.109
1981,13.501
1982,14.327
1983,14.842
1984,14.321
1985,14.637
1986,14.449
1987,14.527
1988,13.982
1989,13.833
1990,14.147
1991,14.353
1992,14.890
1993,14.633
1994,13.903
1995,14.246
1996,13.656
1997,13.953
1998,14.542
1999,14.982
2000,14.054
2001,14.333
2002,14.387
2003,14.685
2004,14.563
2005,14.577
2006,13.904
2007,14.525
2008,14.428
2009,14.257
2010,14.907
2011,14.027
2012,14.387
2013,13.774
