date,value
1743,1.981
1744,9.637
1745,3.685
1750,10.652
1751,11.255
1752,3.880
1753,9.838
1754,10.789
1755,11.267
1756,12.219
1757,11.579
1758,9.668
1759,12.006
1760,10.368
1761,10.287
1762,10.315
1763,11.529
1764,11.858
1765,9.401
1766,10.210
1767,10.901
1768,10.087
1769,11.521
1770,10.805
1771,11.733
1772,11.045
1773,11.976
1774,13.312
1775,10.853
1776,10.890
1777,10.199
1778,10.965
1779,10.839
1780,9.635
1781,11.875
1782,11.671
1783,13.662
1784,10.548
1785,9.647
1786,11.563
1787,10.590
1788,12.506
1789,11.062
1790,8.566
1791,8.737
1792,10.847
1793,11.068
1794,10.541
1795,10.898
1796,10.840
1797,10.693
1798,12.018
1799,10.543
1800,10.785
1801,10.443
1802,11.265
1803,11.280
1804,12.904
1805,11.273
1806,10.451
1807,10.740
1808,12.573
1809,11.875
1810,10.686
1811,10.214
1812,11.169
1813,10.307
1814,9.946
1815,9.930
1816,9.801
1817,9.914
1818,9.039
1819,11.310
1820,10.902
1821,9.591
1822,10.499
1823,9.906
1824,8.765
1825,10.633
1826,11.888
1827,13.035
1828,10.866
1829,11.600
1830,10.623
1831,10.964
1832,10.668
1833,10.501
1834,11.772
1835,10.135
1836,10.601
1837,10.370
1838,11.463
1839,10.983
1840,9.650
1841,10.194
1842,9.865
1843,8.229
1844,11.148
1845,10.428
1846,11.547
1847,10.416
1848,10.195
1849,9.777
1850,10.853
1851,10.974
1852,11.177
1853,11.857
1854,12.430
1855,12.394
1856,11.350
1857,9.398
1858,13.089
1859,10.093
1860,12.496
1861,9.405
1862,11.688
1863,9.871
1864,9.189
1865,10.401
1866,10.835
1867,10.663
1868,11.608
1869,9.376
1870,10.225
1871,9.145
1872,12.172
1873,9.433
1874,10.121
1875,11.150
1876,10.545
1877,9.679
1878,11.118
1879,11.710
1880,10.442
1881,9.446
1882,11.120
1883,10.768
1884,11.324
1885,11.561
1886,10.895
1887,10.258
1888,10.978
1889,11.098
1890,9.987
1891,12.029
1892,11.552
1893,9.933
1894,9.333
1895,11.097
1896,11.258
1897,11.565
1898,9.249
1899,10.620
1900,10.592
1901,11.618
1902,9.848
1903,9.851
1904,9.327
1905,9.402
1906,11.390
1907,11.678
1908,11.337
1909,11.401
1910,11.053
1911,11.046
1912,8.029
1913,10.100
1914,9.736
1915,11.345
1916,10.374
1917,11.215
1918,10.937
1919,11.662
1920,10.357
1921,11.443
1922,11.067
1923,8.959
1924,10.861
1925,9.602
1926,11.053
1927,10.687
1928,10.119
1929,9.356
1930,10.086
1931,10.090
1932,10.405
1933,11.426
1934,11.351
1935,10.766
1936,9.250
1937,12.424
1938,11.025
1939,10.080
1940,10.650
1941,10.624
1942,11.794
1943,9.117
1944,10.872
1945,10.737
1946,12.518
1947,11.295
1948,10.364
1949,10.607
1950,10.177
1951,10.042
1952,10.308
1953,10.309
1954,10.047
1955,10.809
1956,11.380
1957,9.891
1958,10.793
1959,10.248
1960,10.000
1961,9.471
1962,10.383
1963,12.032
1964,11.123
1965,11.458
1966,10.038
1967,11.113
1968,9.856
1969,11.056
1970,10.801
1971,9.853
1972,9.354
1973,9.684
1974,7.916
1975,9.744
1976,9.897
1977,9.553
1978,9.471
1979,10.731
1980,11.674
1981,11.160
1982,9.090
1983,9.676
1984,11.231
1985,12.311
1986,9.963
1987,10.040
1988,12.853
1989,9.041
1990,8.843
1991,10.215
1992,10.199
1993,11.885
1994,10.170
1995,10.610
1996,11.395
1997,9.832
1998,11.059
1999,11.013
2000,9.072
2001,12.038
2002,10.263
2003,9.291
2004,9.166
2005,11.851
2006,11.767
2007,9.185
2008,9.917
2009,10.513
2010,10.925
2011,10.246
2012,10.903
2013,15.019
