date,value
1743,6.592
1744,10.433
1745,3.986
1750,10.012
1751,11.389
1752,5.548
1753,10.153
1754,8.828
1755,10.845
1756,9.977
1757,9.816
1758,9.527
1759,10.430
1760,10.374
1761,11.451
1762,9.767
1763,9.791
1764,9.189
1765,10.876
1766,10.812
1767,10.899
1768,9.743
1769,8.862
1770,8.800
1771,9.293
1772,10.598
1773,9.392
1774,9.888
1775,9.775
1776,10.141
1777,10.707
1778,10.517
1779,11.447
1780,11.403
1781,11.147
1782,9.297
1783,10.805
1784,11.367
1785,9.900
1786,8.265
1787,10.286
1788,10.193
1789,9.604
1790,9.351
1791,9.462
1792,9.285
1793,10.371
1794,10.905
1795,10.477
1796,10.062
1797,9.560
1798,10.371
1799,9.694
1800,10.058
1801,9.546
1802,10.274
1803,10.490
1804,9.925
1805,8.444
1806,9.926
1807,9.178
1808,9.209
1809,8.677
1810,10.675
1811,11.372
1812,10.080
1813,9.508
1814,10.201
1815,9.831
1816,8.331
1817,8.860
1818,10.254
1819,9.610
1820,9.357
1821,10.241
1822,11.474
1823,9.817
1824,9.304
1825,9.780
1826,10.796
1827,11.326
1828,9.750
1829,10.814
1830,10.640
1831,10.658
1832,9.458
1833,10.214
1834,10.408
1835,9.772
1836,10.019
1837,8.421
1838,10.191
1839,9.114
1840,9.342
1841,11.292
1842,9.846
1843,9.196
1844,10.208
1845,10.118
1846,11.319
1847,9.474
1848,10.382
1849,8.908
1850,9.558
1851,8.509
1852,9.749
1853,10.086
1854,8.941
1855,11.005
1856,8.964
1857,10.564
1858,10.428
1859,10.849
1860,8.712
1861,10.207
1862,9.672
1863,9.606
1864,9.764
1865,10.480
1866,9.558
1867,9.761
1868,11.285
1869,9.028
1870,10.359
1871,10.064
1872,10.030
1873,9.281
1874,9.857
1875,10.769
1876,10.239
1877,9.239
1878,9.934
1879,9.662
1880,10.407
1881,9.670
1882,9.095
1883,8.870
1884,9.541
1885,9.567
1886,10.941
1887,8.769
1888,9.756
1889,11.239
1890,10.165
1891,9.431
1892,10.452
1893,10.612
1894,9.122
1895,10.948
1896,8.507
1897,10.070
1898,9.523
1899,10.295
1900,9.487
1901,10.752
1902,8.543
1903,9.243
1904,10.211
1905,9.758
1906,10.119
1907,9.684
1908,9.429
1909,10.103
1910,9.260
1911,10.893
1912,9.006
1913,9.511
1914,10.340
1915,8.985
1916,9.324
1917,11.611
1918,9.391
1919,8.355
1920,9.518
1921,10.116
1922,9.196
1923,9.187
1924,10.544
1925,9.072
1926,9.651
1927,10.065
1928,9.605
1929,11.296
1930,9.808
1931,8.662
1932,10.134
1933,11.068
1934,10.151
1935,9.459
1936,9.377
1937,9.690
1938,10.455
1939,9.395
1940,10.478
1941,9.600
1942,11.285
1943,9.926
1944,10.071
1945,11.288
1946,11.328
1947,12.524
1948,9.883
1949,10.121
1950,10.593
1951,9.619
1952,9.230
1953,10.774
1954,10.917
1955,8.895
1956,9.534
1957,9.734
1958,9.378
1959,10.426
1960,9.633
1961,10.177
1962,9.084
1963,11.976
1964,10.309
1965,9.524
1966,10.633
1967,9.735
1968,9.943
1969,11.261
1970,9.108
1971,9.489
1972,8.970
1973,9.371
1974,9.789
1975,9.777
1976,10.090
1977,9.701
1978,8.816
1979,9.985
1980,9.719
1981,9.309
1982,10.100
1983,9.990
1984,9.237
1985,10.695
1986,10.260
1987,9.916
1988,10.187
1989,10.594
1990,10.591
1991,10.396
1992,10.224
1993,9.653
1994,10.822
1995,10.343
1996,9.468
1997,11.250
1998,9.995
1999,10.542
2000,10.793
2001,10.207
2002,10.714
2003,10.701
2004,9.983
2005,10.308
2006,11.719
2007,10.762
2008,10.129
2009,11.352
2010,11.278
2011,11.032
2012,11.110
2013,9.900
