date,value
1743,0.936
1744,9.140
1745,2.663
1750,10.221
1751,13.021
1752,4.204
1753,10.552
1754,11.811
1755,10.838
1756,11.658
1757,11.204
1758,10.438
1759,11.504
1760,11.188
1761,11.012
1762,9.748
1763,11.126
1764,11.464
1765,8.905
1766,11.037
1767,10.519
1768,9.612
1769,11.173
1770,11.969
1771,11.382
1772,10.570
1773,11.644
1774,13.025
1775,11.835
1776,12.104
1777,9.790
1778,11.958
1779,10.366
1780,10.299
1781,11.295
1782,11.153
1783,13.265
1784,9.998
1785,9.184
1786,11.367
1787,11.735
1788,12.130
1789,11.908
1790,9.117
1791,9.120
1792,12.020
1793,10.679
1794,10.121
1795,10.412
1796,12.050
1797,11.309
1798,13.336
1799,10.268
1800,10.171
1801,9.752
1802,10.610
1803,12.511
1804,12.734
1805,11.146
1806,11.306
1807,9.866
1808,11.914
1809,11.302
1810,10.019
1811,9.266
1812,10.638
1813,9.996
1814,9.606
1815,9.541
1816,10.912
1817,10.935
1818,8.586
1819,12.597
1820,11.994
1821,10.133
1822,10.005
1823,10.539
1824,10.315
1825,10.068
1826,11.567
1827,12.486
1828,11.990
1829,11.207
1830,9.968
1831,12.040
1832,10.376
1833,10.263
1834,12.709
1835,11.051
1836,9.966
1837,9.865
1838,11.142
1839,12.060
1840,10.473
1841,10.697
1842,9.368
1843,10.931
1844,10.928
1845,9.751
1846,10.971
1847,10.038
1848,9.546
1849,9.317
1850,11.796
1851,10.470
1852,12.379
1853,11.436
1854,12.223
1855,11.995
1856,10.695
1857,9.813
1858,12.796
1859,10.607
1860,12.139
1861,10.061
1862,10.919
1863,10.572
1864,10.249
1865,9.768
1866,11.899
1867,10.126
1868,12.758
1869,11.635
1870,9.883
1871,8.806
1872,11.614
1873,10.164
1874,11.151
1875,10.621
1876,10.072
1877,9.185
1878,10.667
1879,11.435
1880,11.269
1881,8.992
1882,10.784
1883,10.584
1884,11.113
1885,11.078
1886,10.536
1887,11.237
1888,10.374
1889,10.642
1890,10.763
1891,11.624
1892,10.892
1893,10.782
1894,8.871
1895,10.655
1896,12.387
1897,12.874
1898,10.026
1899,10.073
1900,9.952
1901,13.014
1902,9.415
1903,9.399
1904,10.276
1905,10.102
1906,10.963
1907,11.190
1908,10.949
1909,10.957
1910,10.706
1911,10.413
1912,9.534
1913,9.735
1914,11.989
1915,10.747
1916,9.749
1917,10.711
1918,10.416
1919,11.498
1920,10.061
1921,10.974
1922,10.871
1923,9.547
1924,10.568
1925,9.328
1926,10.402
1927,10.307
1928,9.649
1929,10.071
1930,9.736
1931,11.066
1932,9.877
1933,11.262
1934,10.868
1935,10.328
1936,9.929
1937,12.124
1938,10.764
1939,9.487
1940,10.353
1941,10.290
1942,11.298
1943,9.843
1944,10.380
1945,10.209
1946,12.026
1947,12.334
1948,11.121
1949,11.314
1950,10.826
1951,9.316
1952,11.122
1953,11.197
1954,10.697
1955,10.175
1956,10.770
1957,10.540
1958,10.267
1959,9.731
1960,9.405
1961,9.054
1962,9.949
1963,11.359
1964,10.680
1965,11.174
1966,10.581
1967,10.537
1968,11.860
1969,10.477
1970,10.296
1971,11.984
1972,9.990
1973,10.459
1974,9.214
1975,11.676
1976,9.269
1977,10.222
1978,8.992
1979,10.368
1980,11.628
1981,10.718
1982,9.511
1983,11.395
1984,12.531
1985,11.853
1986,9.568
1987,9.477
1988,12.680
1989,9.488
1990,9.152
1991,9.805
1992,10.853
1993,11.325
1994,10.845
1995,10.202
1996,10.876
1997,9.366
1998,12.140
1999,10.599
2000,9.329
2001,11.662
2002,10.539
2003,10.985
2004,9.661
2005,11.498
2006,11.273
2007,9.643
2008,9.456
2009,9.988
2010,11.884
2011,11.173
2012,10.272
2013,14.729
