date,value
1787,18.483
1788,8.775
1789,17.657
1790,17.563
1791,17.733
1792,17.625
1793,17.591
1794,17.402
1795,17.817
1796,17.581
1797,17.421
1798,17.820
1799,17.654
1800,18.072
1801,17.904
1802,18.112
1803,18.204
1804,18.214
1805,17.681
1806,17.593
1807,17.358
1808,16.768
1809,16.469
1810,16.203
1811,16.372
1812,16.447
1813,16.843
1814,16.620
1815,16.781
1816,16.434
1817,17.385
1818,17.649
1819,16.955
1820,16.896
1821,17.628
1822,17.395
1823,17.299
1824,17.722
1825,17.546
1826,17.455
1827,17.501
1828,17.460
1829,17.269
1830,17.647
1831,17.522
1832,17.051
1833,17.213
1834,17.880
1835,16.941
1836,17.219
1837,17.241
1838,17.372
1839,17.117
1840,17.336
1841,17.200
1842,17.471
1843,17.552
1844,17.180
1845,17.028
1846,17.781
1847,17.444
1848,16.970
1849,17.354
1850,17.579
1851,17.790
1852,17.609
1853,17.247
1854,17.189
1855,17.064
1856,17.297
1857,17.011
1858,17.764
1859,17.395
1860,17.306
1861,17.533
1862,17.348
1863,17.045
1864,17.739
1865,17.571
1866,17.502
1867,18.030
1868,17.358
1869,17.447
1870,17.701
1871,17.382
1872,17.395
1873,17.406
1874,17.439
1875,17.395
1876,17.613
1877,17.700
1878,17.975
1879,17.135
1880,17.087
1881,18.098
1882,17.320
1883,17.143
1884,17.076
1885,16.857
1886,17.086
1887,17.478
1888,17.152
1889,16.823
1890,16.806
1891,17.077
1892,17.399
1893,17.942
1894,17.183
1895,18.131
1896,16.960
1897,17.957
1898,17.444
1899,18.372
1900,17.567
1901,17.472
1902,17.511
1903,17.230
1904,17.480
1905,17.354
1906,17.261
1907,16.942
1908,17.502
1909,17.207
1910,17.311
1911,17.198
1912,17.358
1913,17.617
1914,17.307
1915,17.507
1916,17.278
1917,16.959
1918,17.045
1919,17.373
1920,17.813
1921,17.469
1922,17.476
1923,17.298
1924,17.807
1925,17.114
1926,18.307
1927,17.831
1928,17.643
1929,17.752
1930,17.913
1931,17.669
1932,17.228
1933,17.564
1934,17.113
1935,17.471
1936,17.468
1937,18.296
1938,17.725
1939,17.353
1940,17.909
1941,17.903
1942,17.917
1943,17.658
1944,17.621
1945,18.527
1946,17.555
1947,18.226
1948,18.175
1949,18.150
1950,17.953
1951,17.594
1952,17.893
1953,17.822
1954,17.419
1955,18.762
1956,16.934
1957,17.385
1958,18.010
1959,17.665
1960,17.856
1961,18.609
1962,18.008
1963,17.779
1964,17.976
1965,17.627
1966,17.951
1967,17.544
1968,17.718
1969,17.622
1970,17.964
1971,16.908
1972,16.595
1973,17.538
1974,17.250
1975,17.412
1976,17.035
1977,17.733
1978,17.953
1979,17.860
1980,18.057
1981,18.312
1982,17.702
1983,18.555
1984,17.714
1985,18.309
1986,17.793
1987,18.815
1988,18.212
1989,18.530
1990,18.698
1991,17.617
1992,17.686
1993,17.503
1994,18.460
1995,18.789
1996,18.248
1997,18.799
1998,18.713
1999,18.368
2000,18.565
2001,19.234
2002,18.713
2003,18.856
2004,18.486
2005,18.581
2006,18.793
2007,18.420
2008,18.382
2009,19.011
2010,19.435
2011,18.879
2012,18.669
2013,19.305
