date,value
1787,22.650
1788,21.614
1789,22.390
1790,22.341
1791,22.776
1792,22.213
1803,22.180
1804,22.778
1850,21.816
1853,22.167
1854,22.299
1855,22.145
1856,21.983
1857,21.829
1858,22.235
1859,22.374
1860,22.211
1861,22.259
1864,22.121
1875,21.262
1876,22.122
1877,22.644
1878,22.869
1880,22.103
1881,24.440
1889,22.635
1890,21.940
1891,21.998
1892,22.305
1893,21.917
1894,22.370
1895,22.453
1896,22.518
1897,22.671
1898,22.607
1899,22.267
1900,22.916
1901,22.689
1902,22.802
1903,22.574
1904,22.078
1905,22.649
1906,22.476
1907,22.288
1908,22.683
1909,22.604
1910,22.155
1911,22.173
1912,22.812
1913,22.526
1914,22.729
1915,22.720
1916,22.354
1917,22.181
1918,22.297
1919,22.629
1920,22.297
1921,22.325
1922,22.283
1923,22.677
1924,22.378
1925,22.704
1926,23.061
1927,22.423
1928,22.684
1929,22.614
1930,22.258
1931,22.931
1932,22.597
1933,22.611
1934,22.647
1935,22.497
1936,22.876
1937,22.868
1938,22.731
1939,22.781
1940,22.993
1941,23.034
1942,22.685
1943,22.369
1944,22.752
1945,22.726
1946,22.792
1947,22.741
1948,22.916
1949,22.989
1950,22.507
1951,22.673
1952,22.824
1953,22.817
1954,22.921
1955,22.699
1956,22.612
1957,22.837
1958,22.906
1959,22.765
1960,22.689
1961,23.434
1962,22.825
1963,22.545
1964,22.488
1965,22.343
1966,22.919
1967,23.153
1968,22.486
1969,23.400
1970,23.126
1971,22.583
1972,22.835
1973,22.920
1974,22.569
1975,22.578
1976,22.862
1977,23.186
1978,23.171
1979,22.990
1980,23.019
1981,22.934
1982,23.001
1983,23.262
1984,22.675
1985,22.880
1986,22.786
1987,23.367
1988,23.255
1989,22.933
1990,23.124
1991,23.327
1992,23.341
1993,23.456
1994,23.445
1995,23.480
1996,23.263
1997,23.453
1998,23.753
1999,23.419
2000,23.320
2001,23.587
2002,23.618
2003,23.495
2004,23.453
2005,23.622
2006,23.661
2007,23.650
2008,23.332
2009,23.619
2010,23.846
2011,23.777
2012,23.325
2013,22.960
