date,value
1743,5.431
1744,12.055
1745,4.565
1750,12.063
1751,15.718
1752,7.028
1753,14.242
1754,12.901
1755,12.866
1756,11.900
1757,13.212
1758,11.551
1759,11.374
1760,12.111
1761,13.345
1762,11.559
1763,10.915
1764,11.620
1765,10.515
1766,11.711
1767,12.650
1768,12.882
1769,11.144
1770,11.208
1771,11.169
1772,11.417
1773,12.768
1774,13.217
1775,13.358
1776,11.179
1777,10.942
1778,10.938
1779,12.240
1780,14.470
1781,11.845
1782,13.759
1783,12.840
1784,12.486
1785,13.065
1786,12.190
1787,11.561
1788,13.098
1789,12.713
1790,11.635
1791,10.977
1792,11.319
1793,11.275
1794,11.834
1795,11.720
1796,11.505
1797,11.196
1798,11.891
1799,13.991
1800,10.715
1801,12.278
1802,12.364
1803,12.635
1804,12.614
1805,10.498
1806,10.743
1807,12.031
1808,13.075
1809,10.731
1810,11.087
1811,11.709
1812,11.812
1813,11.967
1814,10.564
1815,11.871
1816,12.627
1817,10.797
1818,12.467
1819,11.320
1820,12.359
1821,10.981
1822,12.987
1823,11.369
1824,11.886
1825,12.276
1826,12.274
1827,10.615
1828,14.021
1829,13.072
1830,12.595
1831,11.085
1832,11.307
1833,11.258
1834,12.725
1835,11.596
1836,11.346
1837,12.568
1838,11.600
1839,11.044
1840,11.766
1841,13.179
1842,12.194
1843,11.218
1844,12.133
1845,11.286
1846,11.168
1847,12.055
1848,11.921
1849,12.315
1850,10.807
1851,12.466
1852,10.527
1853,11.680
1854,10.754
1855,12.509
1856,9.795
1857,13.057
1858,11.980
1859,11.691
1860,10.570
1861,12.705
1862,13.171
1863,11.988
1864,11.930
1865,12.331
1866,11.626
1867,11.440
1868,11.508
1869,11.642
1870,11.907
1871,11.907
1872,12.222
1873,11.751
1874,12.125
1875,12.814
1876,11.616
1877,11.131
1878,11.636
1879,12.603
1880,12.442
1881,13.069
1882,12.465
1883,13.221
1884,10.637
1885,12.806
1886,10.500
1887,12.496
1888,12.022
1889,12.311
1890,13.681
1891,12.481
1892,12.656
1893,10.719
1894,12.405
1895,11.225
1896,12.555
1897,11.119
1898,11.789
1899,11.353
1900,10.879
1901,11.622
1902,11.383
1903,11.550
1904,11.285
1905,12.673
1906,11.124
1907,12.302
1908,11.072
1909,13.058
1910,10.571
1911,12.545
1912,10.932
1913,12.176
1914,10.926
1915,10.542
1916,11.390
1917,12.794
1918,10.656
1919,10.155
1920,10.287
1921,11.237
1922,12.713
1923,12.252
1924,11.498
1925,12.817
1926,12.033
1927,13.693
1928,14.112
1929,12.449
1930,10.982
1931,11.455
1932,12.892
1933,11.867
1934,13.736
1935,11.932
1936,10.950
1937,12.191
1938,11.540
1939,10.893
1940,11.908
1941,11.987
1942,12.633
1943,12.026
1944,11.212
1945,11.801
1946,12.442
1947,12.511
1948,11.587
1949,10.181
1950,12.884
1951,11.428
1952,11.412
1953,12.400
1954,12.843
1955,10.907
1956,12.061
1957,13.108
1958,12.059
1959,12.244
1960,11.075
1961,12.096
1962,13.167
1963,11.993
1964,11.447
1965,11.327
1966,12.362
1967,11.570
1968,11.992
1969,11.696
1970,10.687
1971,10.284
1972,10.450
1973,11.025
1974,10.367
1975,12.597
1976,9.746
1977,12.209
1978,11.038
1979,11.853
1980,11.161
1981,11.537
1982,12.717
1983,11.224
1984,10.444
1985,13.110
1986,11.738
1987,11.786
1988,11.754
1989,11.657
1990,12.510
1991,13.759
1992,13.061
1993,13.359
1994,12.037
1995,11.597
1996,10.507
1997,10.460
1998,12.166
1999,11.407
2000,13.020
2001,12.922
2002,12.498
2003,12.431
2004,12.183
2005,11.617
2006,11.943
2007,13.004
2008,11.924
2009,11.644
2010,11.741
2011,12.027
2012,15.914
2013,13.260
