date,value
1743,5.645
1744,11.816
1745,4.443
1750,10.801
1751,15.331
1752,6.956
1753,13.917
1754,12.583
1755,12.613
1756,11.632
1757,12.841
1758,10.354
1759,11.231
1760,12.029
1761,13.053
1762,11.337
1763,10.775
1764,10.471
1765,10.322
1766,11.456
1767,12.323
1768,11.369
1769,10.905
1770,11.002
1771,10.928
1772,11.345
1773,11.324
1774,12.822
1775,13.052
1776,10.925
1777,10.776
1778,10.826
1779,12.095
1780,14.094
1781,11.731
1782,12.066
1783,12.650
1784,12.196
1785,12.816
1786,11.805
1787,11.390
1788,11.691
1789,12.439
1790,11.476
1791,10.835
1792,11.125
1793,11.126
1794,11.738
1795,11.508
1796,11.327
1797,11.108
1798,11.705
1799,13.526
1800,10.575
1801,11.081
1802,12.177
1803,12.296
1804,10.283
1805,10.105
1806,10.596
1807,11.822
1808,14.315
1809,10.620
1810,11.013
1811,11.759
1812,11.597
1813,10.711
1814,10.361
1815,11.676
1816,12.312
1817,9.790
1818,11.161
1819,11.176
1820,11.098
1821,10.869
1822,13.002
1823,11.171
1824,10.651
1825,10.090
1826,11.010
1827,10.373
1828,12.379
1829,12.678
1830,12.429
1831,10.991
1832,11.235
1833,11.081
1834,10.603
1835,10.357
1836,11.174
1837,12.221
1838,11.313
1839,10.940
1840,11.496
1841,13.042
1842,11.948
1843,10.127
1844,11.897
1845,11.057
1846,11.075
1847,10.610
1848,11.714
1849,12.045
1850,10.609
1851,12.044
1852,10.378
1853,11.301
1854,10.550
1855,12.230
1856,9.693
1857,11.652
1858,11.721
1859,11.508
1860,10.118
1861,12.474
1862,12.915
1863,11.853
1864,11.513
1865,12.157
1866,11.391
1867,11.284
1868,11.464
1869,11.339
1870,11.500
1871,11.508
1872,11.991
1873,11.486
1874,11.753
1875,12.554
1876,11.328
1877,10.004
1878,11.293
1879,12.122
1880,11.174
1881,11.500
1882,11.307
1883,11.591
1884,10.393
1885,12.563
1886,10.338
1887,12.083
1888,11.658
1889,11.874
1890,11.921
1891,12.265
1892,11.188
1893,10.548
1894,12.223
1895,10.998
1896,12.130
1897,10.895
1898,11.629
1899,11.024
1900,10.713
1901,12.349
1902,11.079
1903,11.284
1904,11.169
1905,12.421
1906,10.816
1907,12.186
1908,10.731
1909,12.509
1910,10.382
1911,12.417
1912,10.566
1913,11.918
1914,10.667
1915,10.227
1916,11.110
1917,12.453
1918,10.329
1919,9.823
1920,10.393
1921,11.114
1922,12.201
1923,11.043
1924,11.101
1925,11.280
1926,10.874
1927,13.523
1928,11.521
1929,12.263
1930,10.959
1931,11.231
1932,12.585
1933,11.662
1934,12.335
1935,11.689
1936,10.797
1937,11.905
1938,11.202
1939,10.696
1940,12.902
1941,11.472
1942,12.507
1943,12.096
1944,12.067
1945,11.730
1946,13.505
1947,12.365
1948,11.575
1949,10.242
1950,12.819
1951,11.411
1952,11.242
1953,10.345
1954,12.454
1955,10.631
1956,10.802
1957,11.768
1958,10.805
1959,11.049
1960,10.893
1961,11.002
1962,12.695
1963,11.771
1964,11.305
1965,11.170
1966,11.987
1967,11.498
1968,11.636
1969,11.225
1970,10.283
1971,10.233
1972,10.323
1973,10.048
1974,10.298
1975,10.370
1976,10.436
1977,11.825
1978,9.849
1979,11.633
1980,11.749
1981,11.351
1982,10.686
1983,11.174
1984,10.169
1985,12.799
1986,11.673
1987,11.583
1988,10.704
1989,10.554
1990,12.292
1991,12.277
1992,10.942
1993,11.793
1994,11.773
1995,11.345
1996,10.324
1997,10.572
1998,12.052
1999,11.249
2000,12.875
2001,12.502
2002,12.545
2003,12.462
2004,11.869
2005,12.294
2006,11.665
2007,12.650
2008,11.628
2009,11.463
2010,11.244
2011,11.235
2012,14.168
2013,12.870
