date,value
1820,10.824
1821,10.513
1822,11.098
1823,10.742
1824,11.462
1825,11.174
1826,11.413
1827,11.788
1828,11.072
1829,12.719
1830,10.883
1831,12.682
1832,10.620
1833,13.018
1834,11.344
1835,10.334
1836,10.857
1837,13.167
1838,11.339
1839,13.075
1840,11.869
1841,12.949
1842,11.375
1843,11.371
1844,9.242
1845,11.526
1846,13.967
1847,10.741
1848,11.074
1849,10.739
1850,13.078
1851,13.048
1852,13.110
1853,13.569
1854,10.096
1855,11.795
1856,11.143
1857,12.701
1858,11.325
1859,11.424
1860,11.253
1861,11.512
1862,13.145
1863,11.443
1864,12.109
1865,11.821
1866,11.066
1867,11.633
1868,10.187
1869,9.812
1870,11.650
1871,11.542
1872,13.480
1873,10.239
1874,12.671
1875,11.906
1876,10.071
1877,11.756
1878,12.073
1879,11.376
1880,11.338
1881,11.337
1882,11.972
1883,10.796
1884,11.181
1885,11.365
1886,11.997
1887,9.942
1888,13.786
1889,11.504
1890,11.145
1891,11.444
1892,10.058
1893,10.504
1894,10.082
1895,11.477
1896,11.626
1897,9.831
1898,9.977
1899,9.946
1900,12.012
1901,12.372
1902,10.941
1903,11.096
1904,13.591
1905,13.337
1906,11.624
1907,11.692
1908,11.752
1909,11.411
1910,9.757
1911,9.901
1912,10.931
1913,9.681
1914,11.892
1915,13.513
1916,13.688
1917,11.803
1918,11.600
1919,10.130
1920,10.570
1921,11.561
1922,10.177
1923,11.605
1924,11.920
1925,10.103
1926,12.353
1927,11.595
1928,10.426
1929,11.673
1930,9.796
1931,9.619
1932,10.364
1933,11.555
1934,13.296
1935,10.012
1936,11.289
1937,9.871
1938,10.200
1939,12.341
1940,9.799
1941,10.259
1942,9.935
1943,10.447
1944,12.320
1945,11.096
1946,10.821
1947,12.113
1948,12.041
1949,10.476
1950,14.258
1951,12.093
1952,11.866
1953,10.468
1954,11.204
1955,11.595
1956,9.807
1957,9.326
1958,10.132
1959,10.300
1960,9.739
1961,11.737
1962,10.089
1963,13.887
1964,12.043
1965,10.555
1966,10.099
1967,10.417
1968,11.607
1969,9.976
1970,11.638
1971,9.878
1972,12.041
1973,11.660
1974,12.023
1975,10.003
1976,9.301
1977,10.419
1978,12.131
1979,11.926
1980,14.299
1981,12.507
1982,10.812
1983,11.456
1984,9.894
1985,9.985
1986,12.184
1987,11.900
1988,10.436
1989,10.724
1990,10.424
1991,10.613
1992,12.056
1993,9.728
1994,12.459
1995,10.331
1996,10.450
1997,11.348
1998,11.658
1999,11.479
2000,13.837
2001,12.092
2002,13.556
2003,10.612
2004,11.512
2005,11.616
2006,11.007
2007,12.238
2008,11.701
2009,11.600
2010,12.880
2011,11.349
2012,11.191
2013,13.115
