date,value
1849,27.095
1850,27.267
1851,27.544
1852,27.743
1853,20.132
1854,27.736
1855,27.202
1856,27.043
1857,26.714
1858,27.105
1859,27.442
1860,27.182
1861,27.194
1862,26.871
1863,26.735
1864,27.409
1865,27.363
1866,27.222
1867,27.793
1868,27.080
1869,27.438
1870,27.515
1871,27.264
1872,27.193
1873,27.172
1874,27.047
1875,26.913
1876,27.344
1877,27.443
1878,27.824
1879,27.103
1880,26.843
1881,27.886
1882,27.358
1883,27.398
1884,26.968
1885,26.731
1886,26.873
1887,27.240
1888,27.114
1889,26.710
1890,26.620
1891,27.066
1892,27.466
1893,27.745
1894,26.986
1895,27.621
1896,27.223
1897,27.754
1898,27.315
1899,27.928
1900,27.443
1901,27.524
1902,27.694
1903,27.232
1904,26.892
1905,27.292
1906,27.231
1907,26.516
1908,27.260
1909,27.159
1910,27.534
1911,27.087
1912,27.512
1913,27.723
1914,27.648
1915,27.724
1916,27.296
1917,27.110
1918,27.087
1919,27.599
1920,27.387
1921,27.366
1922,27.577
1923,27.797
1924,27.784
1925,27.593
1926,28.251
1927,27.782
1928,27.363
1929,27.475
1930,27.499
1931,27.933
1932,27.651
1933,27.078
1934,27.143
1935,27.399
1936,27.431
1937,28.207
1938,27.711
1939,27.469
1940,27.717
1941,27.968
1942,27.727
1943,27.288
1944,27.698
1945,28.103
1946,27.328
1947,27.841
1948,27.479
1949,27.608
1950,27.310
1951,27.369
1952,27.222
1953,27.632
1954,27.109
1955,28.123
1956,27.266
1957,27.157
1958,28.013
1959,27.637
1960,27.677
1961,27.940
1962,27.806
1963,27.756
1964,27.862
1965,27.299
1966,27.986
1967,27.275
1968,27.580
1969,28.133
1970,28.368
1971,27.253
1972,27.197
1973,27.762
1974,27.067
1975,27.299
1976,26.697
1977,28.117
1978,28.001
1979,28.366
1980,28.230
1981,28.334
1982,27.583
1983,28.839
1984,27.772
1985,27.881
1986,27.500
1987,29.096
1988,27.954
1989,28.216
1990,28.536
1991,28.034
1992,27.955
1993,27.858
1994,27.911
1995,28.260
1996,28.539
1997,28.600
1998,28.970
1999,27.873
2000,28.356
2001,28.878
2002,28.650
2003,28.559
2004,28.628
2005,28.752
2006,28.451
2007,28.452
2008,28.395
2009,28.431
2010,29.373
2011,28.633
2012,28.027
2013,29.110
