date,value
1857,23.647
1858,22.007
1859,22.128
1860,22.164
1861,22.350
1862,22.067
1863,22.170
1864,22.210
1865,22.294
1866,22.590
1867,22.575
1868,21.993
1869,22.210
1870,22.372
1871,22.537
1872,22.368
1873,22.304
1874,22.416
1875,22.359
1876,22.416
1877,22.560
1878,22.869
1879,22.192
1880,22.077
1881,22.353
1882,22.198
1883,21.845
1884,22.033
1885,21.981
1886,22.237
1887,21.985
1888,22.030
1889,22.429
1890,22.102
1891,22.126
1892,22.356
1893,22.730
1894,21.952
1895,22.094
1896,22.238
1897,22.650
1898,22.551
1899,22.195
1900,22.132
1901,22.925
1902,22.070
1903,22.629
1904,21.881
1905,22.012
1906,22.371
1907,22.379
1908,22.178
1909,22.315
1910,22.466
1911,22.571
1912,22.501
1913,22.577
1914,22.563
1915,23.155
1916,22.835
1917,22.409
1918,22.417
1919,22.444
1920,22.562
1921,22.691
1922,22.518
1923,22.350
1924,22.736
1925,22.277
1926,22.425
1927,22.532
1928,22.619
1929,22.634
1930,22.414
1931,22.901
1932,22.682
1933,22.635
1934,22.340
1935,22.563
1936,22.714
1937,22.714
1938,23.009
1939,22.607
1940,22.557
1941,22.709
1942,23.186
1943,22.783
1944,22.334
1945,22.640
1946,22.886
1947,22.986
1948,22.954
1949,22.931
1950,23.263
1951,22.578
1952,23.168
1953,22.911
1954,22.854
1955,23.000
1956,22.864
1957,22.551
1958,23.045
1959,22.677
1960,22.607
1961,22.769
1962,22.882
1963,22.629
1964,23.022
1965,22.118
1966,22.196
1967,22.929
1968,22.394
1969,22.736
1970,23.191
1971,22.910
1972,22.621
1973,23.715
1974,22.992
1975,23.174
1976,22.977
1977,22.668
1978,22.914
1979,22.832
1980,22.925
1981,23.049
1982,22.687
1983,23.236
1984,23.132
1985,23.142
1986,22.940
1987,22.868
1988,23.771
1989,23.168
1990,23.413
1991,22.855
1992,22.950
1993,22.781
1994,22.672
1995,23.707
1996,23.612
1997,23.183
1998,24.299
1999,23.549
2000,23.283
2001,23.499
2002,23.469
2003,23.262
2004,23.368
2005,23.361
2006,23.194
2007,23.743
2008,23.663
2009,23.274
2010,23.869
2011,23.531
2012,23.213
2013,23.382
