date,value
1825,25.884
1826,26.133
1827,26.378
1828,25.821
1829,25.403
1837,24.900
1838,24.881
1839,25.250
1840,25.309
1841,25.165
1842,25.474
1843,25.566
1844,24.962
1845,24.997
1846,25.898
1847,25.516
1848,25.408
1849,25.980
1850,25.710
1851,25.573
1852,25.459
1853,25.298
1854,25.253
1855,25.407
1856,25.649
1857,25.271
1858,25.527
1859,25.366
1860,25.201
1861,25.541
1862,25.374
1863,25.588
1864,25.325
1865,25.627
1866,25.263
1867,25.764
1868,25.482
1869,26.504
1870,25.681
1871,25.403
1872,25.824
1873,25.427
1874,25.659
1875,25.612
1876,25.702
1877,25.952
1878,26.536
1879,25.645
1880,25.783
1881,25.765
1882,25.633
1883,25.593
1884,25.304
1885,25.298
1886,25.497
1887,25.235
1888,25.279
1889,25.733
1890,25.155
1891,25.894
1892,25.310
1893,25.440
1894,25.532
1895,25.694
1896,25.952
1897,26.357
1898,25.764
1899,25.596
1900,25.719
1901,25.143
1902,25.668
1903,25.703
1904,25.294
1905,25.528
1906,25.635
1907,25.615
1908,25.522
1909,25.682
1910,25.021
1911,25.954
1912,26.077
1913,25.570
1914,25.880
1915,26.226
1916,25.649
1917,25.246
1918,25.687
1919,26.067
1920,25.930
1921,26.032
1922,26.066
1923,25.957
1924,26.012
1925,25.891
1926,26.262
1927,25.984
1928,25.980
1929,25.961
1930,26.303
1931,26.263
1932,26.106
1933,26.040
1934,26.147
1935,25.842
1936,26.050
1937,25.967
1938,25.630
1939,25.950
1940,26.152
1941,26.604
1942,26.236
1943,26.089
1944,25.866
1945,25.916
1946,26.425
1947,26.563
1948,26.362
1949,25.785
1950,25.688
1951,26.250
1952,26.118
1953,26.362
1954,26.129
1955,26.034
1956,25.836
1957,26.462
1958,26.630
1959,26.411
1960,26.227
1961,26.178
1962,25.944
1963,26.112
1964,26.150
1965,26.279
1966,26.195
1967,25.958
1968,25.779
1969,26.364
1970,25.991
1971,25.902
1972,26.449
1973,26.382
1974,25.916
1975,25.998
1976,26.058
1977,26.538
1978,26.363
1979,26.349
1980,26.310
1981,26.099
1982,26.388
1983,26.846
1984,26.141
1985,26.215
1986,26.244
1987,26.946
1988,26.525
1989,26.155
1990,26.555
1991,26.610
1992,26.731
1993,26.611
1994,26.867
1995,26.922
1996,26.410
1997,27.027
1998,27.396
1999,26.460
2000,26.381
2001,26.410
2002,26.665
2003,26.932
2004,26.779
2005,26.839
2006,26.936
2007,26.823
2008,26.388
2009,26.782
2010,26.619
2011,26.614
2012,26.532
2013,26.872
