date,value
1816,21.070
1817,19.203
1818,19.977
1819,19.335
1820,20.683
1821,20.161
1822,20.255
1823,20.807
1833,20.192
1834,20.220
1835,19.365
1836,19.281
1837,20.953
1838,24.071
1840,19.978
1841,20.495
1842,21.512
1843,20.205
1844,19.731
1845,19.934
1846,21.007
1848,19.782
1849,19.953
1850,19.986
1851,20.132
1852,20.097
1853,20.104
1854,20.273
1855,20.765
1856,19.395
1857,19.673
1870,20.326
1871,20.272
1872,20.323
1873,20.478
1874,19.852
1875,20.689
1876,20.168
1877,20.290
1878,20.356
1879,20.224
1880,20.830
1881,20.733
1882,20.162
1883,20.083
1884,20.085
1885,19.790
1886,20.238
1887,20.330
1888,20.445
1889,20.491
1890,20.279
1891,20.034
1892,20.836
1893,19.744
1894,20.029
1895,20.544
1896,20.907
1897,20.321
1898,20.624
1899,20.957
1900,20.755
1901,20.514
1902,21.174
1903,19.927
1904,20.621
1905,19.971
1906,20.424
1907,20.207
1908,20.297
1909,20.195
1910,19.938
1911,20.244
1912,20.641
1913,20.292
1914,20.536
1915,21.147
1916,20.316
1917,20.038
1918,20.207
1919,20.335
1920,20.172
1921,20.997
1922,20.682
1923,20.079
1924,20.382
1925,20.341
1926,20.279
1927,20.192
1928,20.572
1929,20.424
1930,20.175
1931,20.506
1932,20.615
1933,20.341
1934,20.371
1935,20.006
1936,20.555
1937,20.287
1938,20.618
1939,20.556
1940,20.903
1941,21.711
1942,20.900
1943,20.628
1944,20.376
1945,20.322
1946,21.229
1947,21.382
1948,20.810
1949,20.536
1950,19.694
1951,20.749
1952,20.915
1953,21.391
1954,20.724
1955,20.681
1956,20.576
1957,19.904
1958,21.314
1959,20.919
1960,20.731
1961,20.377
1962,20.439
1963,21.251
1964,20.142
1965,20.495
1966,20.565
1967,20.349
1968,20.342
1969,21.034
1970,21.189
1971,20.966
1972,20.100
1973,20.740
1974,20.435
1975,20.115
1976,20.375
1977,21.189
1978,20.743
1979,20.763
1980,21.411
1981,21.205
1982,20.509
1983,20.573
1984,20.875
1985,21.283
1986,20.641
1987,21.437
1988,21.812
1989,20.650
1990,21.376
1991,20.901
1992,20.709
1993,21.445
1994,21.163
1995,21.074
1996,20.934
1997,20.739
1998,21.663
1999,21.863
2000,21.823
2001,21.930
2002,22.025
2003,21.432
2004,22.143
2005,21.272
2006,21.637
2007,21.691
2008,21.535
2009,21.911
2010,22.088
2011,21.768
2012,21.198
2013,22.321
